% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,3172,67,normal
tcp,OTH,2931,49,normal
tcp,SF,2147,100,normal
tcp,SF,2051,88,normal
tcp,SF,3067,72,normal
tcp,OTH,3906,51,normal
tcp,OTH,5189,40,normal
tcp,SF,2440,100,normal
tcp,OTH,1858,100,normal
tcp,SF,2511,100,normal
tcp,OTH,6237,47,normal
tcp,OTH,5707,46,normal
tcp,OTH,3207,48,normal
tcp,SF,2612,100,normal
tcp,S3,2762,100,normal
tcp,OTH,4310,48,normal
tcp,SF,280,100,normal
tcp,SF,642,100,normal
tcp,OTH,3156,52,normal
tcp,SF,2282,100,normal
tcp,SF,2125,100,normal
tcp,S3,2126,100,normal
tcp,SF,590,100,normal
tcp,SF,1925,86,normal
tcp,OTH,5092,69,normal
tcp,OTH,4840,57,normal
tcp,OTH,3838,44,normal
tcp,OTH,3186,100,normal
tcp,OTH,3294,45,normal
tcp,SF,2843,100,normal
tcp,SF,1863,100,normal
tcp,SF,2201,100,normal
tcp,S1,2159,100,normal
tcp,S2,3257,100,normal
tcp,OTH,5933,41,normal
tcp,OTH,6028,42,normal
tcp,SF,2023,100,normal
tcp,SF,3942,71,normal
tcp,SF,2357,100,normal
tcp,S2,3631,100,normal
tcp,SF,2170,100,normal
tcp,OTH,5309,81,normal
tcp,SF,3944,71,normal
tcp,SF,2818,99,normal
tcp,OTH,3037,20,normal
tcp,SF,3049,100,normal
tcp,SF,1129,100,normal
tcp,SF,1393,100,normal
tcp,SF,2127,100,normal
tcp,OTH,3810,39,normal
tcp,SF,2047,100,normal
tcp,OTH,3281,38,normal
tcp,OTH,2972,44,normal
tcp,SF,2143,91,normal
tcp,OTH,2368,52,normal
tcp,SF,3381,100,normal
tcp,OTH,2789,79,normal
tcp,SF,2263,100,normal
tcp,SF,1558,100,normal
tcp,OTH,3667,45,normal
tcp,OTH,3947,84,normal
tcp,OTH,2814,46,normal
tcp,SF,1606,100,normal
tcp,SF,2914,100,normal
tcp,SF,1580,100,normal
tcp,OTH,2608,43,normal
tcp,OTH,5789,32,normal
tcp,SF,2290,100,normal
tcp,SF,3090,100,normal
tcp,SF,1916,50,normal
tcp,SF,307,100,normal
tcp,OTH,4210,57,normal
tcp,SF,5681,72,normal
tcp,OTH,5340,81,normal
tcp,OTH,3195,43,normal
tcp,SF,3115,74,normal
tcp,OTH,3185,53,normal
tcp,OTH,2770,50,normal
tcp,OTH,4996,68,normal
tcp,OTH,5199,51,normal
tcp,SF,2102,100,normal
tcp,SF,905,99,normal
tcp,SF,976,100,normal
tcp,SF,1471,100,normal
tcp,OTH,5491,79,normal
tcp,SF,20,20,normal
tcp,OTH,6233,50,normal
tcp,SF,2057,99,normal
tcp,SF,3053,100,normal
tcp,SF,1528,100,normal
tcp,SF,2146,100,normal
tcp,OTH,3091,41,normal
tcp,S2,2575,100,normal
tcp,SF,779,100,normal
tcp,SF,1871,100,normal
tcp,OTH,2795,53,normal
tcp,SF,985,100,normal
tcp,OTH,6297,44,normal
tcp,SF,2456,100,normal
tcp,SF,3309,82,normal
tcp,OTH,2740,56,normal
tcp,OTH,1449,50,normal
tcp,SF,2153,100,normal
tcp,S2,3266,100,normal
tcp,S2,3582,100,normal
tcp,OTH,2973,63,normal
tcp,SF,4460,60,normal
tcp,OTH,5465,100,normal
tcp,OTH,1492,67,normal
tcp,OTH,2863,49,normal
tcp,OTH,2849,50,normal
tcp,SF,1126,100,normal
tcp,SF,2177,100,normal
tcp,SF,2039,100,normal
tcp,OTH,4082,99,normal
tcp,SF,1536,100,normal
tcp,SF,2251,100,normal
tcp,OTH,3186,44,normal
tcp,SF,1910,100,normal
tcp,OTH,3877,54,normal
tcp,SF,1892,99,normal
tcp,SF,2242,100,normal
tcp,SF,3358,100,normal
tcp,OTH,4879,50,normal
tcp,SF,1150,100,normal
tcp,SF,1917,85,normal
tcp,S3,3688,100,normal
tcp,SF,2978,63,normal
tcp,OTH,2026,47,normal
tcp,OTH,2129,53,normal
tcp,SF,1981,100,normal
tcp,OTH,2490,55,normal
tcp,OTH,2890,41,normal
tcp,OTH,5820,45,normal
tcp,SF,2126,100,normal
tcp,OTH,3648,85,normal
tcp,OTH,3927,80,normal
tcp,SF,3846,100,normal
tcp,SF,2120,100,normal
tcp,OTH,3865,75,normal
tcp,SF,3909,100,normal
tcp,OTH,2960,46,normal
tcp,SF,2000,86,normal
tcp,OTH,2242,48,normal
tcp,SF,1904,100,normal
tcp,SF,3022,63,normal
tcp,OTH,3973,97,normal
tcp,SF,3173,100,normal
tcp,SF,2138,100,normal
tcp,OTH,3384,52,normal
tcp,OTH,4392,32,normal
tcp,SF,2067,47,normal
tcp,SF,2272,100,normal
tcp,SF,4271,66,normal
tcp,SF,3378,100,normal
tcp,SF,1146,100,normal
tcp,OTH,3081,46,normal
tcp,SF,2842,100,normal
tcp,OTH,4394,34,normal
tcp,OTH,5659,11,normal
tcp,OTH,5833,41,normal
tcp,SF,3161,100,normal
tcp,S1,3179,100,normal
tcp,SF,2757,48,normal
tcp,OTH,4010,99,normal
tcp,SF,2619,66,normal
tcp,S1,3568,100,normal
tcp,OTH,3459,53,normal
tcp,OTH,5762,45,normal
tcp,SF,2133,99,normal
tcp,S3,2927,100,normal
tcp,SF,3098,80,normal
tcp,SF,1952,100,normal
tcp,SF,3523,100,normal
tcp,OTH,4372,39,normal
tcp,SF,2253,100,normal
tcp,OTH,3156,39,normal
tcp,SF,2989,65,normal
tcp,OTH,3266,48,normal
tcp,SF,3238,98,normal
tcp,SF,5662,72,normal
tcp,SF,2531,100,normal
tcp,SF,3901,100,normal
tcp,OTH,2930,47,normal
tcp,SF,3883,98,normal
tcp,OTH,2880,76,normal
