% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,131,33,udpFlood
udp,OTH,112,33,udpFlood
udp,OTH,153,33,udpFlood
udp,OTH,137,11,udpFlood
udp,OTH,64,26,udpFlood
udp,OTH,42,34,udpFlood
udp,OTH,141,31,udpFlood
udp,OTH,32,29,udpFlood
udp,OTH,24,24,udpFlood
udp,OTH,143,33,udpFlood
udp,OTH,114,33,udpFlood
udp,OTH,151,33,udpFlood
udp,OTH,54,23,udpFlood
udp,OTH,49,21,udpFlood
udp,OTH,146,33,udpFlood
udp,OTH,117,34,udpFlood
udp,OTH,110,34,udpFlood
udp,OTH,108,33,udpFlood
udp,OTH,142,33,udpFlood
udp,OTH,142,33,udpFlood
udp,OTH,133,33,udpFlood
udp,OTH,110,33,udpFlood
udp,OTH,8,8,udpFlood
udp,OTH,142,33,udpFlood
udp,OTH,79,41,udpFlood
udp,OTH,125,33,udpFlood
udp,OTH,125,33,udpFlood
udp,OTH,154,33,udpFlood
udp,OTH,107,34,udpFlood
udp,OTH,106,33,udpFlood
udp,OTH,98,41,udpFlood
udp,OTH,114,33,udpFlood
udp,OTH,109,34,udpFlood
udp,OTH,93,42,udpFlood
udp,OTH,138,11,udpFlood
udp,OTH,131,33,udpFlood
udp,OTH,148,33,udpFlood
udp,OTH,108,33,udpFlood
udp,OTH,142,33,udpFlood
udp,OTH,13,13,udpFlood
udp,OTH,113,33,udpFlood
udp,OTH,109,33,udpFlood
udp,OTH,141,22,udpFlood
udp,OTH,102,40,udpFlood
udp,OTH,138,33,udpFlood
udp,OTH,166,33,udpFlood
udp,OTH,10,10,udpFlood
udp,OTH,138,13,udpFlood
udp,OTH,87,42,udpFlood
udp,OTH,87,42,udpFlood
udp,OTH,104,40,udpFlood
udp,OTH,117,33,udpFlood
udp,OTH,86,43,udpFlood
udp,OTH,86,41,udpFlood
udp,OTH,91,42,udpFlood
udp,OTH,137,33,udpFlood
udp,OTH,82,42,udpFlood
udp,OTH,108,38,udpFlood
udp,OTH,109,33,udpFlood
udp,OTH,136,33,udpFlood
udp,OTH,121,33,udpFlood
udp,OTH,44,33,udpFlood
tcp,OTH,139,33,httpFlood
tcp,S3,660,100,httpFlood
tcp,S3,321,100,httpFlood
tcp,OTH,124,33,httpFlood
tcp,S3,165,100,httpFlood
tcp,OTH,6,6,httpFlood
tcp,S3,150,100,httpFlood
tcp,RSTO,691,100,httpFlood
tcp,OTH,30,29,httpFlood
tcp,S3,580,100,httpFlood
tcp,OTH,49,34,httpFlood
tcp,OTH,180,33,httpFlood
tcp,OTH,172,33,httpFlood
tcp,S1,440,100,httpFlood
tcp,S3,463,100,httpFlood
tcp,S3,105,100,httpFlood
tcp,S3,105,100,httpFlood
tcp,OTH,268,98,httpFlood
tcp,RSTO,557,100,httpFlood
tcp,RSTO,336,100,httpFlood
tcp,S3,115,100,httpFlood
tcp,RSTO,663,100,httpFlood
tcp,RSTO,379,100,httpFlood
tcp,S3,188,100,httpFlood
tcp,S3,916,100,httpFlood
tcp,S3,759,100,httpFlood
tcp,OTH,36,34,httpFlood
tcp,S3,121,82,httpFlood
tcp,OTH,178,33,httpFlood
tcp,S3,142,100,httpFlood
tcp,S3,525,100,httpFlood
tcp,OTH,0,0,httpFlood
tcp,S3,368,88,httpFlood
tcp,S3,966,100,httpFlood
tcp,OTH,190,98,httpFlood
tcp,OTH,30,30,httpFlood
tcp,S3,138,100,httpFlood
tcp,OTH,178,33,httpFlood
tcp,S3,940,100,httpFlood
tcp,OTH,179,33,httpFlood
tcp,S3,150,100,httpFlood
tcp,S3,339,100,httpFlood
tcp,S3,432,100,httpFlood
tcp,RSTO,566,100,httpFlood
tcp,S3,142,94,httpFlood
tcp,S3,945,100,httpFlood
tcp,OTH,144,53,httpFlood
tcp,OTH,129,32,httpFlood
tcp,S3,430,100,httpFlood
tcp,OTH,93,36,httpFlood
tcp,S3,156,100,httpFlood
tcp,OTH,1,1,httpFlood
tcp,S3,873,100,httpFlood
tcp,S3,145,100,httpFlood
tcp,S3,189,100,httpFlood
tcp,S3,427,100,httpFlood
tcp,S3,85,98,httpFlood
tcp,OTH,131,49,httpFlood
tcp,S3,131,100,httpFlood
tcp,OTH,136,10,httpFlood
tcp,S3,146,100,httpFlood
tcp,S3,931,100,httpFlood
tcp,OTH,58,48,httpFlood
tcp,OTH,156,100,httpFlood
tcp,RSTO,497,100,httpFlood
tcp,OTH,218,98,httpFlood
tcp,OTH,133,33,httpFlood
tcp,S3,133,100,httpFlood
tcp,S3,768,99,httpFlood
tcp,S3,447,100,httpFlood
tcp,S3,250,100,httpFlood
tcp,OTH,1,63,httpFlood
tcp,RSTO,378,100,httpFlood
tcp,S3,164,100,httpFlood
tcp,S3,140,100,httpFlood
tcp,S3,112,100,httpFlood
tcp,OTH,15,15,httpFlood
tcp,S3,371,100,httpFlood
tcp,S3,863,100,httpFlood
tcp,RSTO,642,100,httpFlood
tcp,S3,156,100,httpFlood
tcp,S3,740,100,httpFlood
tcp,S3,491,100,httpFlood
tcp,S3,104,100,httpFlood
tcp,S3,400,98,httpFlood
tcp,RSTO,563,100,httpFlood
tcp,S3,423,100,httpFlood
tcp,S1,189,100,httpFlood
tcp,S3,390,95,httpFlood
tcp,OTH,136,33,httpFlood
tcp,S3,74,74,httpFlood
tcp,S3,155,100,httpFlood
tcp,OTH,177,33,httpFlood
tcp,OTH,129,32,httpFlood
tcp,RSTO,707,100,httpFlood
tcp,S3,870,100,httpFlood
tcp,S3,741,100,httpFlood
tcp,OTH,38,32,httpFlood
tcp,OTH,43,33,httpFlood
tcp,S3,151,100,httpFlood
tcp,OTH,48,33,httpFlood
tcp,S1,152,100,httpFlood
tcp,S3,876,100,httpFlood
tcp,S3,83,98,httpFlood
tcp,S3,149,100,httpFlood
tcp,S3,346,100,httpFlood
tcp,OTH,103,100,httpFlood
tcp,RSTO,632,100,httpFlood
tcp,OTH,134,9,httpFlood
tcp,S3,404,100,httpFlood
tcp,S3,946,100,httpFlood
tcp,S3,41,98,httpFlood
tcp,RSTO,666,100,httpFlood
tcp,S3,148,100,httpFlood
tcp,OTH,55,45,httpFlood
tcp,S3,0,0,httpFlood
tcp,S3,280,100,httpFlood
tcp,OTH,129,33,httpFlood
tcp,S3,957,100,httpFlood
tcp,S1,179,100,httpFlood
tcp,S3,144,100,httpFlood
tcp,S3,443,100,httpFlood
tcp,S3,163,100,httpFlood
tcp,S3,444,100,httpFlood
tcp,S3,16,98,httpFlood
tcp,S3,559,100,httpFlood
tcp,OTH,55,37,httpFlood
tcp,OTH,134,33,httpFlood
tcp,S3,435,100,httpFlood
tcp,S3,766,99,httpFlood
tcp,OTH,174,33,httpFlood
