% isAttack HIGH_RATE:	1087
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,5,8,23,27,29,33,38,40'

@attribute total_fvolume numeric
@attribute min_fpktl numeric
@attribute std_fpktl numeric
@attribute mean_active numeric
@attribute mean_idle numeric
@attribute std_idle numeric
@attribute sflow_bbytes numeric
@attribute total_fhlen numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
604,604,0,0,0,0,0,28,NORMAL
125,125,0,0,0,0,0,28,NORMAL
76,76,0,0,0,0,0,28,NORMAL
166,166,0,0,0,0,0,28,NORMAL
1616,43,771,76434,0,0,0,68,NORMAL
126,126,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
198,66,0,0,2535060,2127059,0,68,NORMAL
30,30,0,0,0,0,0,28,NORMAL
194,194,0,0,0,0,0,28,NORMAL
322,322,0,0,0,0,0,28,NORMAL
67,67,0,0,0,0,0,28,NORMAL
319,319,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
131,131,0,0,0,0,0,28,NORMAL
94,94,0,0,0,0,0,28,NORMAL
222,48,36,425437,0,0,0,68,NORMAL
72,72,0,0,0,0,0,28,NORMAL
294,294,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
116,116,0,0,0,0,0,28,NORMAL
90,90,0,0,0,0,0,28,NORMAL
1313776,48,105,10469826,0,0,0,18028,NORMAL
169,70,20,25276,0,0,0,48,NORMAL
126,126,0,0,0,0,0,28,NORMAL
69,69,0,0,0,0,0,28,NORMAL
3052,477,122,25,5000355,4887571,0,108,NORMAL
96,96,0,0,0,0,0,28,NORMAL
77,77,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
72,72,0,0,0,0,0,28,NORMAL
703,703,0,0,0,0,0,28,NORMAL
116,116,0,0,0,0,0,28,NORMAL
354,177,0,31807,0,0,0,48,NORMAL
131,131,0,0,0,0,0,28,NORMAL
300,300,0,0,0,0,0,28,NORMAL
300,300,0,0,0,0,0,28,NORMAL
240,48,0,69217,4608353,2138586,0,108,NORMAL
122,122,0,0,0,0,0,28,NORMAL
49,49,0,0,0,0,0,28,NORMAL
636,120,6,56218,1000259,0,0,108,NORMAL
264,44,0,1003078,3108743,0,0,128,NORMAL
300,300,0,0,0,0,0,28,NORMAL
93,93,0,0,0,0,0,28,NORMAL
61,61,0,0,0,0,0,28,NORMAL
487,94,211,0,10441548,0,0,48,NORMAL
60,60,0,0,0,0,0,28,NORMAL
132,44,0,129475,0,0,0,68,NORMAL
87,87,0,0,0,0,0,28,NORMAL
48,48,0,0,0,0,0,28,NORMAL
94,94,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
88,44,0,34000,0,0,0,48,NORMAL
4520,116,9,593570,1510925,709767,0,728,NORMAL
70,70,0,0,0,0,0,28,NORMAL
48,48,0,0,0,0,0,28,NORMAL
58,58,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
67,67,0,0,0,0,0,28,NORMAL
300,300,0,0,0,0,0,28,NORMAL
94,94,0,0,0,0,0,28,NORMAL
176,176,0,0,0,0,0,28,NORMAL
617,617,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
235,235,0,0,0,0,0,28,NORMAL
132,44,0,15604,0,0,0,68,NORMAL
197,197,0,0,0,0,0,28,NORMAL
177,177,0,0,0,0,0,28,NORMAL
300,300,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
326,326,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
131,131,0,0,0,0,0,28,NORMAL
11616,1452,0,4700,0,0,0,168,NORMAL
126,126,0,0,0,0,0,28,NORMAL
48,48,0,0,0,0,0,28,NORMAL
268,268,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
81,81,0,0,0,0,0,28,NORMAL
155,155,0,0,0,0,0,28,NORMAL
275,275,0,0,0,0,0,28,NORMAL
140,140,0,0,0,0,0,28,NORMAL
296,296,0,0,0,0,0,28,NORMAL
76,76,0,0,0,0,0,28,NORMAL
158,158,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
96,96,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
96,48,0,79622,0,0,0,48,NORMAL
315,315,0,0,0,0,0,28,NORMAL
96,96,0,0,0,0,0,28,NORMAL
221,221,0,0,0,0,0,28,NORMAL
30,30,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
88,44,0,7631,0,0,0,48,NORMAL
44,44,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
97,97,0,0,0,0,0,28,NORMAL
116,116,0,0,0,0,0,28,NORMAL
