% isAttack HIGH_RATE:	1705
% isAttack LOW_RATE:	2000
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4,8-9,14-16,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
tcp,78,9487,9487,1,0,0,0.03,HIGH_RATE
tcp,78,16222,16222,1,0,0,0.03,HIGH_RATE
tcp,78,7209,7209,1,0,0,0.01,HIGH_RATE
tcp,78,10115,10115,1,0,0,0.03,HIGH_RATE
tcp,78,10090,10090,1,0,0,0.04,HIGH_RATE
tcp,78,9992,9992,1,0,0,0.03,HIGH_RATE
tcp,78,23082,23082,1,0,0,0.03,HIGH_RATE
tcp,78,7251,7251,1,0,0,0.01,HIGH_RATE
tcp,78,8131,8131,1,0,0,0.07,HIGH_RATE
tcp,78,6567,6567,1,0,0,0,HIGH_RATE
tcp,78,25467,25467,1,0,0,0.01,HIGH_RATE
tcp,78,7644,7644,1,0,0,0.03,HIGH_RATE
tcp,78,6281,6281,1,0,0,0.03,HIGH_RATE
tcp,78,11690,11690,1,0,0,0.02,HIGH_RATE
tcp,78,4139,4139,1,0,0,0.03,HIGH_RATE
tcp,78,22656,22656,1,0,0,0.01,HIGH_RATE
tcp,78,9799,9799,1,0,0,0.04,HIGH_RATE
tcp,78,10863,10863,1,0,0,0.01,HIGH_RATE
tcp,78,20383,20383,1,0,0,0.03,HIGH_RATE
tcp,78,13947,13947,1,0,0,0.03,HIGH_RATE
tcp,78,3598,3598,1,0,0,0.01,HIGH_RATE
tcp,78,9827,9827,1,0,0,0.01,HIGH_RATE
tcp,78,8725,8725,1,0,0,0.03,HIGH_RATE
tcp,78,27018,27018,1,0,0,0.02,HIGH_RATE
tcp,78,19686,19686,1,0,0,0.01,HIGH_RATE
tcp,78,19546,19546,1,0,0,0.01,HIGH_RATE
tcp,78,8040,8040,1,0,0,0.03,HIGH_RATE
tcp,78,11624,11624,1,0,0,0.03,HIGH_RATE
tcp,78,25345,25345,1,0,0,0.01,HIGH_RATE
tcp,78,710,710,1,0,0,0.01,HIGH_RATE
tcp,78,7464,7464,1,0,0,0.03,HIGH_RATE
tcp,78,9390,9390,1,0,0,0.02,HIGH_RATE
tcp,78,9901,9901,1,0,0,0.01,HIGH_RATE
tcp,78,14825,14825,1,0,0,0.03,HIGH_RATE
tcp,78,15521,15521,1,0,0,0.02,HIGH_RATE
tcp,78,3714,3714,1,0,0,0.02,HIGH_RATE
tcp,78,20623,20623,1,0,0,0.03,HIGH_RATE
tcp,78,24616,24616,1,0,0,0,HIGH_RATE
tcp,78,22843,22843,1,0,0,0.03,HIGH_RATE
tcp,78,23674,23674,1,0,0,0.04,HIGH_RATE
tcp,78,6022,6022,1,0,0,0.01,HIGH_RATE
tcp,78,7331,7331,1,0,0,0,HIGH_RATE
tcp,78,2299,2299,1,0,0,0.05,HIGH_RATE
tcp,78,5521,5521,1,0,0,0.01,HIGH_RATE
tcp,78,4541,4541,1,0,0,0.12,HIGH_RATE
tcp,78,5561,5561,1,0,0,0.01,HIGH_RATE
tcp,78,5242,5242,1,0,0,0.01,HIGH_RATE
tcp,78,8684,8684,1,0,0,0.03,HIGH_RATE
tcp,78,2123,2123,1,0,0,0.02,HIGH_RATE
tcp,78,6233,6233,1,0,0,0.03,HIGH_RATE
tcp,78,15474,15474,1,0,0,0.01,HIGH_RATE
tcp,78,11120,11120,1,0,0,0,HIGH_RATE
tcp,78,8420,8420,1,0,0,0.01,HIGH_RATE
tcp,78,22738,22738,1,0,0,0.01,HIGH_RATE
tcp,78,25991,25991,1,0,0,0.01,HIGH_RATE
tcp,78,5500,5500,1,0,0,0.02,HIGH_RATE
tcp,78,6220,6220,1,0,0,0.06,HIGH_RATE
tcp,78,6353,6353,1,0,0,0,HIGH_RATE
tcp,78,26696,26696,1,0,0,0.01,HIGH_RATE
tcp,78,10930,10930,1,0,0,0.03,HIGH_RATE
tcp,78,5642,5642,1,0,0,0.04,HIGH_RATE
tcp,78,6540,6540,1,0,0,0,HIGH_RATE
tcp,78,15117,15117,1,0,0,0,HIGH_RATE
tcp,78,6930,6930,1,0,0,0.03,HIGH_RATE
tcp,78,21965,21965,1,0,0,0.01,HIGH_RATE
tcp,78,9326,9326,1,0,0,0.05,HIGH_RATE
tcp,78,8296,8296,1,0,0,0.01,HIGH_RATE
tcp,78,8826,8826,1,0,0,0.03,HIGH_RATE
tcp,78,12049,12049,1,0,0,0.03,HIGH_RATE
tcp,78,5728,5728,1,0,0,0.04,HIGH_RATE
tcp,78,25800,25800,1,0,0,0.02,HIGH_RATE
tcp,78,15889,15889,1,0,0,0,HIGH_RATE
tcp,78,1529,1529,1,0,0,0.03,HIGH_RATE
tcp,78,19264,19264,1,0,0,0.01,HIGH_RATE
tcp,78,22916,22916,1,0,0,0.03,HIGH_RATE
tcp,78,10821,10821,1,0,0,0.03,HIGH_RATE
tcp,78,13132,13132,1,0,0,0.04,HIGH_RATE
tcp,78,5514,5514,1,0,0,0.03,HIGH_RATE
tcp,78,6591,6591,1,0,0,0.03,HIGH_RATE
tcp,78,8177,8177,1,0,0,0.04,HIGH_RATE
tcp,78,10075,10075,1,0,0,0.01,HIGH_RATE
tcp,78,21023,21023,1,0,0,0.01,HIGH_RATE
tcp,78,19419,19419,1,0,0,0,HIGH_RATE
tcp,78,15696,15696,1,0,0,0.03,HIGH_RATE
tcp,78,11538,11538,1,0,0,0,HIGH_RATE
tcp,78,18018,18018,1,0,0,0,HIGH_RATE
tcp,78,5503,5503,1,0,0,0.01,HIGH_RATE
tcp,78,10701,10701,1,0,0,0.03,HIGH_RATE
tcp,78,7536,7536,1,0,0,0.01,HIGH_RATE
tcp,78,10274,10274,1,0,0,0.03,HIGH_RATE
tcp,78,4240,4240,1,0,0,0.03,HIGH_RATE
tcp,78,8053,8053,1,0,0,0,HIGH_RATE
tcp,78,26769,26769,1,0,0,0.02,HIGH_RATE
tcp,78,20664,20664,1,0,0,0.03,HIGH_RATE
tcp,78,8956,8956,1,0,0,0.03,HIGH_RATE
tcp,78,8636,8636,1,0,0,0.03,HIGH_RATE
tcp,78,6728,6728,1,0,0,0.03,HIGH_RATE
tcp,78,11099,11099,1,0,0,0.01,HIGH_RATE
tcp,78,6555,6555,1,0,0,0,HIGH_RATE
tcp,78,12457,12457,1,0,0,0.01,HIGH_RATE
tcp,78,11702,11702,1,0,0,0.02,HIGH_RATE
tcp,78,3205,3205,1,0,0,0.03,HIGH_RATE
tcp,78,15069,15069,1,0,0,0.03,HIGH_RATE
tcp,78,19644,19644,1,0,0,0.02,HIGH_RATE
tcp,78,4679,4679,1,0,0,0.03,HIGH_RATE
tcp,78,14811,14811,1,0,0,0.03,HIGH_RATE
tcp,78,6493,6493,1,0,0,0,HIGH_RATE
tcp,78,6090,6090,1,0,0,0,HIGH_RATE
tcp,78,5158,5158,1,0,0,0.04,HIGH_RATE
tcp,78,10607,10607,1,0,0,0.03,HIGH_RATE
tcp,78,9899,9899,1,0,0,0.03,HIGH_RATE
tcp,78,14842,14842,1,0,0,0.03,HIGH_RATE
tcp,78,6968,6968,1,0,0,0.01,HIGH_RATE
tcp,78,17369,17369,1,0,0,0.01,HIGH_RATE
tcp,78,5566,5566,1,0,0,0.01,HIGH_RATE
tcp,78,10601,10601,1,0,0,0,HIGH_RATE
tcp,78,2461,2461,1,0,0,0.03,HIGH_RATE
tcp,78,6576,6576,1,0,0,0.03,HIGH_RATE
tcp,78,20547,20547,1,0,0,0.01,HIGH_RATE
tcp,78,1627,1627,1,0,0,0,HIGH_RATE
tcp,78,21299,21299,1,0,0,0,HIGH_RATE
tcp,78,23016,23016,1,0,0,0,HIGH_RATE
tcp,78,7205,7205,1,0,0,0,HIGH_RATE
tcp,78,26696,26696,1,0,0,0.03,HIGH_RATE
tcp,78,6566,6566,1,0,0,0,HIGH_RATE
tcp,78,22230,22230,1,0,0,0.01,HIGH_RATE
tcp,78,10061,10061,1,0,0,0.03,HIGH_RATE
tcp,78,27016,27016,1,0,0,0.01,HIGH_RATE
tcp,78,15942,15942,1,0,0,0.03,HIGH_RATE
tcp,78,7926,7926,1,0,0,0.04,HIGH_RATE
tcp,78,6775,6775,1,0,0,0.01,HIGH_RATE
tcp,78,24080,24080,1,0,0,0.03,HIGH_RATE
tcp,78,7619,7619,1,0,0,0.03,HIGH_RATE
tcp,78,6558,6558,1,0,0,0.04,HIGH_RATE
tcp,78,5526,5526,1,0,0,0.03,HIGH_RATE
tcp,78,5506,5506,1,0,0,0.04,HIGH_RATE
tcp,78,23617,23617,1,0,0,0.04,HIGH_RATE
tcp,78,9360,9360,1,0,0,0.03,HIGH_RATE
tcp,78,7403,7403,1,0,0,0.03,HIGH_RATE
tcp,78,11522,11522,1,0,0,0.01,HIGH_RATE
tcp,78,20807,20807,1,0,0,0.03,HIGH_RATE
tcp,78,4737,4737,1,0,0,0.01,HIGH_RATE
tcp,78,7205,7205,1,0,0,0.01,HIGH_RATE
tcp,78,23719,23719,1,0,0,0.01,HIGH_RATE
tcp,78,5434,5434,1,0,0,0,HIGH_RATE
tcp,78,6548,6548,1,0,0,0,HIGH_RATE
tcp,78,15327,15327,1,0,0,0.02,HIGH_RATE
tcp,78,25399,25399,1,0,0,0.03,HIGH_RATE
tcp,78,24910,24910,1,0,0,0.03,HIGH_RATE
tcp,78,10507,10507,1,0,0,0.03,HIGH_RATE
tcp,78,3326,3326,1,0,0,0.03,HIGH_RATE
tcp,78,6835,6835,1,0,0,0.03,HIGH_RATE
tcp,78,11559,11559,1,0,0,0,HIGH_RATE
tcp,78,15062,15062,1,0,0,0.04,HIGH_RATE
tcp,78,13583,13583,1,0,0,0.04,HIGH_RATE
tcp,78,594,594,1,0,0,0.01,HIGH_RATE
tcp,78,7141,7141,1,0,0,0.03,HIGH_RATE
tcp,78,15715,15715,1,0,0,0.03,HIGH_RATE
tcp,78,5985,5985,1,0,0,0.03,HIGH_RATE
tcp,78,19075,19075,1,0,0,0.01,HIGH_RATE
tcp,78,10837,10837,1,0,0,0.04,HIGH_RATE
tcp,78,9369,9369,1,0,0,0.03,HIGH_RATE
tcp,78,10302,10302,1,0,0,0.01,HIGH_RATE
tcp,78,12350,12350,1,0,0,0.03,HIGH_RATE
tcp,78,6510,6510,1,0,0,0.03,HIGH_RATE
tcp,78,5570,5570,1,0,0,0.06,HIGH_RATE
tcp,78,7075,7075,1,0,0,0.01,HIGH_RATE
tcp,78,20728,20728,1,0,0,0,HIGH_RATE
tcp,78,5979,5979,1,0,0,0.02,HIGH_RATE
tcp,78,10764,10764,1,0,0,0,HIGH_RATE
tcp,78,2099,2099,1,0,0,0.03,HIGH_RATE
tcp,78,12148,12148,1,0,0,0.03,HIGH_RATE
tcp,78,19589,19589,1,0,0,0.01,HIGH_RATE
tcp,78,4607,4607,1,0,0,0.03,HIGH_RATE
tcp,78,11769,11769,1,0,0,0.01,HIGH_RATE
tcp,78,367,367,1,0,0,0,HIGH_RATE
tcp,78,9915,9915,1,0,0,0.01,HIGH_RATE
tcp,78,13278,13278,1,0,0,0.03,HIGH_RATE
tcp,78,22041,22041,1,0,0,0.02,HIGH_RATE
tcp,78,5489,5489,1,0,0,0.03,HIGH_RATE
tcp,78,27166,27166,1,0,0,0.01,HIGH_RATE
tcp,78,17207,17207,1,0,0,0.04,HIGH_RATE
tcp,78,8560,8560,1,0,0,0.03,HIGH_RATE
tcp,78,16524,16524,1,0,0,0.01,HIGH_RATE
tcp,78,23691,23691,1,0,0,0.01,HIGH_RATE
tcp,78,4605,4605,1,0,0,0.05,HIGH_RATE
tcp,78,13203,13203,1,0,0,0.04,HIGH_RATE
tcp,78,9097,9097,1,0,0,0.02,HIGH_RATE
tcp,78,6320,6320,1,0,0,0,HIGH_RATE
tcp,78,17461,17461,1,0,0,0.03,HIGH_RATE
tcp,78,6608,6608,1,0,0,0.01,HIGH_RATE
tcp,78,5895,5895,1,0,0,0.02,HIGH_RATE
tcp,78,678,678,1,0,0,0.04,HIGH_RATE
tcp,78,11667,11667,1,0,0,0,HIGH_RATE
tcp,78,9897,9897,1,0,0,0.01,HIGH_RATE
tcp,78,25926,25926,1,0,0,0.01,HIGH_RATE
tcp,78,10819,10819,1,0,0,0.01,HIGH_RATE
tcp,78,19643,19643,1,0,0,0.02,HIGH_RATE
tcp,78,18386,18386,1,0,0,0.01,HIGH_RATE
tcp,78,5706,5706,1,0,0,0,HIGH_RATE
tcp,78,19931,19931,1,0,0,0.01,HIGH_RATE
tcp,78,7824,7824,1,0,0,0.05,HIGH_RATE
tcp,78,22034,22034,1,0,0,0.03,HIGH_RATE
tcp,78,7978,7978,1,0,0,0.03,HIGH_RATE
tcp,78,9864,9864,1,0,0,0.01,HIGH_RATE
tcp,78,11472,11472,1,0,0,0,HIGH_RATE
tcp,78,3027,3027,1,0,0,0.01,HIGH_RATE
tcp,78,16777,16777,1,0,0,0,HIGH_RATE
tcp,78,6304,6304,1,0,0,0.01,HIGH_RATE
