% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
OTH,78,0,5198,5198,tcpFlood
OTH,78,0,3185,3185,tcpFlood
OTH,78,0,4143,4143,tcpFlood
OTH,78,0,1853,1853,tcpFlood
OTH,78,0,3012,3012,tcpFlood
OTH,78,0,2245,2245,tcpFlood
OTH,78,0,959,959,tcpFlood
OTH,78,0,4510,4510,tcpFlood
OTH,78,0,1054,1054,tcpFlood
OTH,78,0,2065,2065,tcpFlood
OTH,78,0,2274,2274,tcpFlood
OTH,78,0,1744,1744,tcpFlood
OTH,78,0,3212,3212,tcpFlood
OTH,78,0,1050,1050,tcpFlood
OTH,78,0,3810,3810,tcpFlood
OTH,78,0,4249,4249,tcpFlood
OTH,78,0,2091,2091,tcpFlood
OTH,78,0,5136,5136,tcpFlood
OTH,78,0,4723,4723,tcpFlood
OTH,78,0,6182,6182,tcpFlood
OTH,78,0,3147,3147,tcpFlood
OTH,78,0,3112,3112,tcpFlood
OTH,78,0,4966,4966,tcpFlood
OTH,78,0,3535,3535,tcpFlood
OTH,78,0,4282,4282,tcpFlood
OTH,78,0,4701,4701,tcpFlood
OTH,78,0,1832,1832,tcpFlood
OTH,78,0,2500,2500,tcpFlood
OTH,78,0,924,924,tcpFlood
OTH,78,0,2336,2336,tcpFlood
OTH,78,0,4454,4454,tcpFlood
OTH,78,0,1562,1562,tcpFlood
OTH,78,0,4326,4326,tcpFlood
OTH,78,0,2538,2538,tcpFlood
OTH,78,0,6213,6213,tcpFlood
OTH,78,0,3388,3388,tcpFlood
OTH,78,0,3254,3254,tcpFlood
OTH,78,0,4716,4716,tcpFlood
OTH,78,0,3776,3776,tcpFlood
OTH,78,0,17,17,tcpFlood
OTH,78,0,801,801,tcpFlood
OTH,78,0,902,902,tcpFlood
