% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,8-9,18-19,22,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,OTH,0,2016,2016,47,1,0,normal
0,tcp,SF,12461,2358,2358,63,1,0,normal
0,tcp,OTH,0,3076,3076,43,1,0,normal
0,tcp,OTH,0,2506,2506,50,1,0,normal
0,tcp,SF,12461,2282,2282,100,1,0,normal
0,tcp,OTH,0,5702,5702,45,1,0,normal
0,tcp,OTH,0,4954,4954,46,1,0,normal
0,tcp,SF,12461,3207,3207,100,1,0,normal
0,tcp,SF,12461,2386,2386,100,1,0,normal
0,tcp,SF,12461,2367,2367,100,1,0,normal
0,tcp,SF,12461,2989,2989,98,1,0,normal
0,tcp,OTH,0,5178,5178,58,1,0,normal
0,tcp,OTH,0,2719,2719,52,1,0,normal
0,tcp,OTH,0,5330,5330,86,1,0,normal
0,tcp,SF,12461,2205,2205,100,1,0,normal
0,tcp,SF,12461,3295,3295,71,1,0,normal
0,tcp,SF,12406,2400,2400,85,1,0,normal
1,tcp,SF,12461,592,592,100,1,0,normal
0,tcp,SF,12461,2012,2012,100,1,0,normal
0,tcp,SF,12461,591,591,100,1,0,normal
0,tcp,OTH,0,3197,3197,49,1,0,normal
0,tcp,SF,12461,2790,2790,98,1,0,normal
0,tcp,SF,12461,795,795,100,1,0,normal
0,tcp,SF,12461,2492,2492,100,1,0,normal
0,tcp,SF,12461,1948,1948,100,1,0,normal
0,tcp,SF,12461,3349,3349,100,1,0,normal
0,tcp,OTH,0,6272,6272,47,1,0,normal
0,tcp,OTH,0,3330,3330,44,1,0,normal
0,tcp,SF,12461,3026,3026,68,1,0,normal
0,tcp,SF,12461,2321,2321,100,1,0,normal
0,tcp,SF,12461,2619,2619,100,1,0,normal
0,tcp,OTH,0,5859,5859,52,1,0,normal
0,tcp,SF,12461,1834,1834,100,1,0,normal
0,tcp,OTH,0,4301,4301,51,1,0,normal
0,tcp,SF,12461,1885,1885,100,1,0,normal
0,tcp,SF,12387,3015,3015,47,1,0,normal
0,tcp,SF,12461,2316,2316,100,1,0,normal
0,tcp,OTH,0,3615,3615,38,1,0,normal
