% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,26-27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,60,0,0,0,0,udpFlood
udp,OTH,60,115,37,37,0,udpFlood
udp,OTH,60,153,33,33,0,udpFlood
udp,OTH,60,146,33,33,0,udpFlood
udp,OTH,60,43,32,32,0,udpFlood
udp,OTH,60,108,33,33,0,udpFlood
udp,OTH,60,112,33,33,0,udpFlood
udp,OTH,60,108,33,33,0,udpFlood
udp,OTH,60,82,38,38,0,udpFlood
udp,OTH,60,105,34,34,0,udpFlood
udp,OTH,60,158,33,33,0,udpFlood
udp,OTH,60,125,33,33,0,udpFlood
udp,OTH,60,110,33,33,0,udpFlood
udp,OTH,60,84,40,40,0,udpFlood
udp,OTH,60,108,33,33,0,udpFlood
udp,OTH,60,140,33,33,0,udpFlood
udp,OTH,60,119,33,33,0,udpFlood
udp,OTH,60,45,22,22,0,udpFlood
udp,OTH,60,93,42,42,0,udpFlood
udp,OTH,60,47,22,22,0,udpFlood
udp,OTH,60,113,34,34,0,udpFlood
udp,OTH,60,118,33,33,0,udpFlood
udp,OTH,60,142,33,33,0,udpFlood
udp,OTH,60,146,33,33,0,udpFlood
udp,OTH,60,143,33,33,0,udpFlood
udp,OTH,60,113,33,33,0,udpFlood
udp,OTH,60,131,33,33,0,udpFlood
udp,OTH,60,145,33,33,0,udpFlood
udp,OTH,60,152,33,33,0,udpFlood
udp,OTH,60,7,7,7,0,udpFlood
udp,OTH,60,117,34,34,0,udpFlood
udp,OTH,60,80,41,41,0,udpFlood
udp,OTH,60,125,33,33,0,udpFlood
udp,OTH,60,20,20,20,0,udpFlood
udp,OTH,60,138,19,19,0,udpFlood
udp,OTH,60,141,25,25,0,udpFlood
udp,OTH,60,103,34,34,0,udpFlood
udp,OTH,60,138,33,33,0,udpFlood
udp,OTH,60,109,33,33,0,udpFlood
udp,OTH,60,16,16,16,0,udpFlood
udp,OTH,60,102,34,34,0,udpFlood
udp,OTH,60,81,41,41,0,udpFlood
udp,OTH,60,153,33,33,0,udpFlood
udp,OTH,60,40,37,37,0,udpFlood
udp,OTH,60,140,21,21,0,udpFlood
udp,OTH,60,87,41,41,0,udpFlood
udp,OTH,60,145,33,33,0,udpFlood
udp,OTH,60,80,42,42,0,udpFlood
udp,OTH,60,70,28,28,0,udpFlood
udp,OTH,60,134,33,33,0,udpFlood
udp,OTH,60,129,33,33,0,udpFlood
udp,OTH,60,126,33,33,0,udpFlood
udp,OTH,60,103,40,40,0,udpFlood
udp,OTH,60,142,33,33,0,udpFlood
udp,OTH,60,141,33,33,0,udpFlood
udp,OTH,60,141,30,30,0,udpFlood
udp,OTH,60,65,26,26,0,udpFlood
udp,OTH,60,131,33,33,0,udpFlood
udp,OTH,60,112,33,33,0,udpFlood
udp,OTH,60,153,33,33,0,udpFlood
udp,OTH,60,137,11,11,0,udpFlood
udp,OTH,60,64,26,26,0,udpFlood
udp,OTH,60,42,34,34,0,udpFlood
