@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,14,17,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute dst_host_count numeric
@attribute isAttack {highrate,lowrate}

@data
S3,374,150,1,100,highrate
S1,248,200,1,100,highrate
OTH,60,153,1,33,highrate
OTH,60,179,1,33,highrate
OTH,60,104,1,34,highrate
S3,374,133,1,100,highrate
S3,464,107,1,100,highrate
S3,374,142,1,100,highrate
OTH,66,85,1,57,highrate
S3,377,1028,0.7,100,highrate
OTH,66,99,1,100,highrate
S3,374,137,1,94,highrate
S3,374,170,1,100,highrate
S3,374,150,1,100,highrate
S3,374,196,1,100,highrate
S3,374,398,1,100,highrate
RSTO,446,729,1,100,highrate
OTH,60,137,1,11,highrate
OTH,66,7,1,7,highrate
S3,380,874,1,100,highrate
S3,374,294,1,100,highrate
OTH,60,141,1,31,highrate
OTH,60,119,1,31,highrate
RSTO,446,692,1,100,highrate
OTH,60,100,1,40,highrate
OTH,60,178,1,33,highrate
S3,377,821,0.63,99,highrate
S3,374,50,1,50,highrate
OTH,66,311,1,100,highrate
RSTO,446,423,1,100,highrate
S3,374,151,1,100,highrate
S3,374,296,1,100,highrate
RSTO,446,610,1,100,highrate
S3,374,170,1,100,highrate
OTH,60,112,1,38,highrate
S3,374,149,1,100,highrate
OTH,60,177,1,33,highrate
OTH,66,35,1,88,highrate
S3,377,643,0.53,100,highrate
OTH,60,136,1,33,highrate
OTH,66,60,1,41,highrate
S3,374,157,1,100,highrate
OTH,60,89,1,41,highrate
OTH,60,95,1,37,highrate
OTH,66,31,1,85,highrate
S3,374,133,1,100,highrate
OTH,66,72,1,56,highrate
OTH,66,86,1,96,highrate
RSTO,446,848,1,100,highrate
S3,380,162,1,100,highrate
S3,374,121,1,100,highrate
S3,374,444,1,100,highrate
OTH,60,107,1,33,highrate
OTH,60,126,1,33,highrate
OTH,60,178,1,33,highrate
RSTO,446,363,1,100,highrate
S3,374,154,1,100,highrate
RSTO,446,538,1,100,highrate
S3,377,713,0.57,100,highrate
S3,377,819,0.63,99,highrate
S3,374,438,1,100,highrate
OTH,60,177,1,33,highrate
OTH,66,289,1,100,highrate
OTH,60,111,1,33,highrate
S1,248,192,1,100,highrate
S3,380,906,1,100,highrate
S3,374,54,1,98,highrate
S1,242,182,1,100,highrate
S3,374,135,1,100,highrate
OTH,60,114,1,32,highrate
OTH,60,111,1,38,highrate
S3,374,150,1,100,highrate
S3,377,987,0.69,100,highrate
S3,374,145,1,100,highrate
S3,374,146,1,100,highrate
OTH,60,135,1,26,highrate
OTH,60,169,1,33,highrate
OTH,66,64,1,50,highrate
S3,374,110,1,100,highrate
OTH,60,51,1,23,highrate
S3,374,148,1,100,highrate
OTH,60,122,1,33,highrate
S3,374,39,1,39,highrate
S3,377,541,0.44,100,highrate
S3,374,93,1,98,highrate
OTH,60,125,1,33,highrate
S3,374,150,1,100,highrate
S3,377,384,0.21,93,highrate
OTH,66,42,1,38,highrate
OTH,60,104,1,33,highrate
OTH,66,265,1,98,highrate
OTH,66,105,0.01,57,highrate
OTH,60,160,1,33,highrate
S3,386,314,1,100,highrate
RSTO,446,428,1,100,highrate
S3,374,148,1,100,highrate
OTH,66,60,1,48,highrate
OTH,60,174,1,33,highrate
S3,374,156,1,100,highrate
OTH,66,142,0.23,52,highrate
OTH,66,81,1,94,highrate
S3,377,858,0.65,100,highrate
OTH,66,135,1,100,highrate
S3,377,694,0.56,100,highrate
S3,374,141,1,100,highrate
RSTO,446,671,1,100,highrate
S3,380,888,1,100,highrate
S3,392,777,1,100,highrate
S3,374,139,1,100,highrate
S3,377,828,0.63,99,highrate
S3,374,144,1,100,highrate
S3,377,569,0.47,100,highrate
S3,377,796,0.62,99,highrate
S3,374,149,1,100,highrate
S3,374,143,1,100,highrate
S3,374,141,1,100,highrate
S3,377,512,0.41,100,highrate
S3,464,104,1,100,highrate
S3,374,149,1,100,highrate
S3,380,730,1,100,highrate
S3,374,167,1,100,highrate
OTH,60,132,1,36,highrate
S3,374,242,1,100,highrate
