% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,14,16,18-19,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {highrate,lowrate}

@data
udp,OTH,60,114,1,0,33,1,0.97,0,highrate
udp,OTH,60,90,1,0,42,1,0.98,0,highrate
udp,OTH,60,137,1,0,20,1,0.95,0,highrate
udp,OTH,60,105,1,0,33,1,0.97,0,highrate
udp,OTH,60,92,1,0,42,1,0.98,0,highrate
udp,OTH,60,107,1,0,33,1,0.97,0,highrate
udp,OTH,60,113,1,0,34,1,0.97,0,highrate
udp,OTH,60,117,1,0,33,1,0.97,0,highrate
udp,OTH,60,112,1,0,34,1,0.97,0,highrate
udp,OTH,60,111,1,0,34,1,0.97,0,highrate
udp,OTH,60,145,1,0,33,1,0.97,0,highrate
udp,OTH,60,91,1,0,42,1,0.98,0,highrate
udp,OTH,60,141,1,0,23,1,0.96,0,highrate
udp,OTH,60,99,1,0,42,1,0.98,0,highrate
udp,OTH,60,109,1,0,33,1,0.97,0,highrate
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,100,1,0,42,1,0.98,0,highrate
udp,OTH,60,78,1,0,43,1,0.98,0,highrate
udp,OTH,60,103,1,0,33,1,0.97,0,highrate
udp,OTH,60,108,1,0,40,1,0.98,0,highrate
udp,OTH,60,135,1,0,18,1,0.95,0,highrate
udp,OTH,60,125,1,0,33,1,0.97,0,highrate
udp,OTH,60,82,1,0,40,1,0.98,0,highrate
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,52,1,0,24,1,0.96,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,33,1,0,30,1,0.97,0,highrate
udp,OTH,60,27,1,0,27,1,0.96,0,highrate
udp,OTH,60,161,1,0,33,1,0.97,0,highrate
udp,OTH,60,162,1,0,33,1,0.97,0,highrate
udp,OTH,60,110,1,0,33,1,0.97,0,highrate
udp,OTH,60,108,1,0,34,1,0.97,0,highrate
udp,OTH,60,139,1,0,17,1,0.94,0,highrate
udp,OTH,60,119,1,0,35,1,0.97,0,highrate
udp,OTH,60,108,1,0,34,1,0.97,0,highrate
udp,OTH,60,151,1,0,33,1,0.97,0,highrate
udp,OTH,60,102,1,0,33,1,0.97,0,highrate
udp,OTH,60,106,1,0,34,1,0.97,0,highrate
udp,OTH,60,82,1,0,42,1,0.98,0,highrate
udp,OTH,60,153,1,0,33,1,0.97,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,101,1,0,34,1,0.97,0,highrate
udp,OTH,60,118,1,0,34,1,0.97,0,highrate
udp,OTH,60,103,1,0,33,1,0.97,0,highrate
udp,OTH,60,105,1,0,33,1,0.97,0,highrate
udp,OTH,60,18,1,0,18,1,0.95,0,highrate
udp,OTH,60,109,1,0,40,1,0.98,0,highrate
udp,OTH,60,151,1,0,33,1,0.97,0,highrate
udp,OTH,60,114,1,0,33,1,0.97,0,highrate
udp,OTH,60,113,1,0,33,1,0.97,0,highrate
udp,OTH,60,106,1,0,39,1,0.97,0,highrate
udp,OTH,60,121,1,0,33,1,0.97,0,highrate
udp,OTH,60,117,1,0,33,1,0.97,0,highrate
udp,OTH,60,105,1,0,33,1,0.97,0,highrate
udp,OTH,60,111,1,0,34,1,0.97,0,highrate
udp,OTH,60,41,1,0,36,1,0.97,0,highrate
udp,OTH,60,86,1,0,40,1,0.98,0,highrate
udp,OTH,60,66,1,0,26,1,0.96,0,highrate
udp,OTH,60,116,1,0,33,1,0.97,0,highrate
udp,OTH,60,6,1,0,6,1,0.86,0,highrate
udp,OTH,60,138,1,0,15,1,0.94,0,highrate
udp,OTH,60,112,1,0,33,1,0.97,0,highrate
udp,OTH,60,96,1,0,43,1,0.98,0,highrate
udp,OTH,60,128,1,0,33,1,0.97,0,highrate
udp,OTH,60,116,1,0,34,1,0.97,0,highrate
udp,OTH,60,136,1,0,33,1,0.97,0,highrate
udp,OTH,60,160,1,0,33,1,0.97,0,highrate
udp,OTH,60,141,1,0,34,1,0.97,0,highrate
udp,OTH,60,131,1,0,33,1,0.97,0,highrate
udp,OTH,60,130,1,0,33,1,0.97,0,highrate
udp,OTH,60,115,1,0,34,1,0.97,0,highrate
udp,OTH,60,105,1,0,33,1,0.97,0,highrate
udp,OTH,60,130,1,0,33,1,0.97,0,highrate
udp,OTH,60,97,1,0,43,1,0.98,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,2,1,0,2,1,0.67,0,highrate
udp,OTH,60,125,1,0,33,1,0.97,0,highrate
udp,OTH,60,153,1,0,33,1,0.97,0,highrate
udp,OTH,60,137,1,0,11,1,0.92,0,highrate
udp,OTH,60,120,1,0,33,1,0.97,0,highrate
udp,OTH,60,141,1,0,25,1,0.96,0,highrate
udp,OTH,60,37,1,0,34,1,0.97,0,highrate
udp,OTH,60,72,1,0,28,1,0.97,0,highrate
udp,OTH,60,61,1,0,25,1,0.96,0,highrate
udp,OTH,60,104,1,0,34,1,0.97,0,highrate
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,101,1,0,40,1,0.98,0,highrate
udp,OTH,60,110,1,0,33,1,0.97,0,highrate
udp,OTH,60,34,1,0,31,1,0.97,0,highrate
udp,OTH,60,135,1,0,33,1,0.97,0,highrate
udp,OTH,60,105,1,0,40,1,0.98,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,159,1,0,33,1,0.97,0,highrate
udp,OTH,60,153,1,0,33,1,0.97,0,highrate
udp,OTH,60,115,1,0,33,1,0.97,0,highrate
udp,OTH,60,141,1,0,27,1,0.96,0,highrate
udp,OTH,60,38,1,0,35,1,0.97,0,highrate
udp,OTH,60,15,1,0,15,1,0.94,0,highrate
udp,OTH,60,35,1,0,32,1,0.97,0,highrate
udp,OTH,60,113,1,0,33,1,0.97,0,highrate
udp,OTH,60,112,1,0,33,1,0.97,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,114,1,0,33,1,0.97,0,highrate
udp,OTH,60,162,1,0,33,1,0.97,0,highrate
udp,OTH,60,0,0,0,0,0,0,0,highrate
udp,OTH,60,115,1,0,37,1,0.97,0,highrate
udp,OTH,60,153,1,0,33,1,0.97,0,highrate
udp,OTH,60,146,1,0,33,1,0.97,0,highrate
udp,OTH,60,43,1,0,32,1,0.97,0,highrate
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,112,1,0,33,1,0.97,0,highrate
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,82,1,0,38,1,0.97,0,highrate
udp,OTH,60,105,1,0,34,1,0.97,0,highrate
udp,OTH,60,158,1,0,33,1,0.97,0,highrate
udp,OTH,60,125,1,0,33,1,0.97,0,highrate
udp,OTH,60,110,1,0,33,1,0.97,0,highrate
udp,OTH,60,84,1,0,40,1,0.98,0,highrate
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,140,1,0,33,1,0.97,0,highrate
udp,OTH,60,119,1,0,33,1,0.97,0,highrate
udp,OTH,60,45,1,0,22,1,0.96,0,highrate
udp,OTH,60,93,1,0,42,1,0.98,0,highrate
udp,OTH,60,47,1,0,22,1,0.96,0,highrate
udp,OTH,60,113,1,0,34,1,0.97,0,highrate
udp,OTH,60,118,1,0,33,1,0.97,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,146,1,0,33,1,0.97,0,highrate
udp,OTH,60,143,1,0,33,1,0.97,0,highrate
udp,OTH,60,113,1,0,33,1,0.97,0,highrate
udp,OTH,60,131,1,0,33,1,0.97,0,highrate
udp,OTH,60,145,1,0,33,1,0.97,0,highrate
udp,OTH,60,152,1,0,33,1,0.97,0,highrate
udp,OTH,60,7,1,0,7,1,0.88,0,highrate
udp,OTH,60,117,1,0,34,1,0.97,0,highrate
udp,OTH,60,80,1,0,41,1,0.98,0,highrate
udp,OTH,60,125,1,0,33,1,0.97,0,highrate
udp,OTH,60,20,1,0,20,1,0.95,0,highrate
udp,OTH,60,138,1,0,19,1,0.95,0,highrate
udp,OTH,60,141,1,0,25,1,0.96,0,highrate
udp,OTH,60,103,1,0,34,1,0.97,0,highrate
udp,OTH,60,138,1,0,33,1,0.97,0,highrate
udp,OTH,60,109,1,0,33,1,0.97,0,highrate
udp,OTH,60,16,1,0,16,1,0.94,0,highrate
udp,OTH,60,102,1,0,34,1,0.97,0,highrate
udp,OTH,60,81,1,0,41,1,0.98,0,highrate
udp,OTH,60,153,1,0,33,1,0.97,0,highrate
udp,OTH,60,40,1,0,37,1,0.97,0,highrate
udp,OTH,60,140,1,0,21,1,0.95,0,highrate
udp,OTH,60,87,1,0,41,1,0.98,0,highrate
udp,OTH,60,145,1,0,33,1,0.97,0,highrate
udp,OTH,60,80,1,0,42,1,0.98,0,highrate
udp,OTH,60,70,1,0,28,1,0.97,0,highrate
udp,OTH,60,134,1,0,33,1,0.97,0,highrate
udp,OTH,60,129,1,0,33,1,0.97,0,highrate
udp,OTH,60,126,1,0,33,1,0.97,0,highrate
udp,OTH,60,103,1,0,40,1,0.98,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,141,1,0,33,1,0.97,0,highrate
udp,OTH,60,141,1,0,30,1,0.97,0,highrate
udp,OTH,60,65,1,0,26,1,0.96,0,highrate
udp,OTH,60,131,1,0,33,1,0.97,0,highrate
udp,OTH,60,112,1,0,33,1,0.97,0,highrate
udp,OTH,60,153,1,0,33,1,0.97,0,highrate
udp,OTH,60,137,1,0,11,1,0.92,0,highrate
udp,OTH,60,64,1,0,26,1,0.96,0,highrate
udp,OTH,60,42,1,0,34,1,0.97,0,highrate
udp,OTH,60,141,1,0,31,1,0.97,0,highrate
udp,OTH,60,32,1,0,29,1,0.97,0,highrate
udp,OTH,60,24,1,0,24,1,0.96,0,highrate
udp,OTH,60,143,1,0,33,1,0.97,0,highrate
udp,OTH,60,114,1,0,33,1,0.97,0,highrate
udp,OTH,60,151,1,0,33,1,0.97,0,highrate
udp,OTH,60,54,1,0,23,1,0.96,0,highrate
udp,OTH,60,49,1,0,21,1,0.95,0,highrate
udp,OTH,60,146,1,0,33,1,0.97,0,highrate
udp,OTH,60,117,1,0,34,1,0.97,0,highrate
udp,OTH,60,110,1,0,34,1,0.97,0,highrate
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,133,1,0,33,1,0.97,0,highrate
udp,OTH,60,110,1,0,33,1,0.97,0,highrate
udp,OTH,60,8,1,0,8,1,0.89,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,79,1,0,41,1,0.98,0,highrate
udp,OTH,60,125,1,0,33,1,0.97,0,highrate
udp,OTH,60,125,1,0,33,1,0.97,0,highrate
udp,OTH,60,154,1,0,33,1,0.97,0,highrate
udp,OTH,60,107,1,0,34,1,0.97,0,highrate
udp,OTH,60,106,1,0,33,1,0.97,0,highrate
udp,OTH,60,98,1,0,41,1,0.98,0,highrate
udp,OTH,60,114,1,0,33,1,0.97,0,highrate
udp,OTH,60,109,1,0,34,1,0.97,0,highrate
udp,OTH,60,93,1,0,42,1,0.98,0,highrate
udp,OTH,60,138,1,0,11,1,0.92,0,highrate
udp,OTH,60,131,1,0,33,1,0.97,0,highrate
udp,OTH,60,148,1,0,33,1,0.97,0,highrate
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,13,1,0,13,1,0.93,0,highrate
udp,OTH,60,113,1,0,33,1,0.97,0,highrate
udp,OTH,60,109,1,0,33,1,0.97,0,highrate
udp,OTH,60,141,1,0,22,1,0.96,0,highrate
udp,OTH,60,102,1,0,40,1,0.98,0,highrate
udp,OTH,60,138,1,0,33,1,0.97,0,highrate
udp,OTH,60,166,1,0,33,1,0.97,0,highrate
udp,OTH,60,10,1,0,10,1,0.91,0,highrate
udp,OTH,60,138,1,0,13,1,0.93,0,highrate
udp,OTH,60,87,1,0,42,1,0.98,0,highrate
udp,OTH,60,87,1,0,42,1,0.98,0,highrate
udp,OTH,60,104,1,0,40,1,0.98,0,highrate
udp,OTH,60,117,1,0,33,1,0.97,0,highrate
udp,OTH,60,86,1,0,43,1,0.98,0,highrate
udp,OTH,60,86,1,0,41,1,0.98,0,highrate
udp,OTH,60,91,1,0,42,1,0.98,0,highrate
udp,OTH,60,137,1,0,33,1,0.97,0,highrate
udp,OTH,60,82,1,0,42,1,0.98,0,highrate
udp,OTH,60,108,1,0,38,1,0.97,0,highrate
udp,OTH,60,109,1,0,33,1,0.97,0,highrate
udp,OTH,60,136,1,0,33,1,0.97,0,highrate
udp,OTH,60,121,1,0,33,1,0.97,0,highrate
udp,OTH,60,44,1,0,33,1,0.97,0,highrate
udp,OTH,60,153,1,0,33,1,0.97,0,highrate
udp,OTH,60,71,1,0,29,1,0.97,0,highrate
udp,OTH,60,145,1,0,33,1,0.97,0,highrate
udp,OTH,60,76,1,0,32,1,0.97,0,highrate
udp,OTH,60,114,1,0,33,1,0.97,0,highrate
udp,OTH,60,114,1,0,33,1,0.97,0,highrate
udp,OTH,60,110,1,0,37,1,0.97,0,highrate
udp,OTH,60,81,1,0,37,1,0.97,0,highrate
udp,OTH,60,143,1,0,30,1,0.97,0,highrate
udp,OTH,60,141,1,0,28,1,0.97,0,highrate
udp,OTH,60,117,1,0,33,1,0.97,0,highrate
udp,OTH,60,145,1,0,33,1,0.97,0,highrate
udp,OTH,60,142,1,0,33,1,0.97,0,highrate
udp,OTH,60,141,1,0,32,1,0.97,0,highrate
udp,OTH,60,70,1,0,28,1,0.97,0,highrate
udp,OTH,60,86,1,0,42,1,0.98,0,highrate
