@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-10,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
SF,946,1833,1833,0,100,normal
OTH,66,2803,2803,0,47,normal
OTH,66,5983,5983,0,51,normal
OTH,66,3780,3780,0,45,normal
SF,946,1251,1251,0,100,normal
OTH,66,3112,3112,0,41,normal
OTH,66,3066,3066,0,32,normal
OTH,66,3205,3205,0,43,normal
SF,946,2039,2039,0,100,normal
S2,752,2844,2844,0.41,100,normal
OTH,78,1871,1871,0,100,normal
OTH,66,1855,1855,0,31,normal
OTH,66,2212,2212,0,48,normal
SF,946,1498,1498,0,95,normal
SF,946,4060,4060,0,100,normal
OTH,66,5198,5198,0,41,normal
OTH,66,2931,2931,0,31,normal
SF,946,2329,2329,0,100,normal
SF,946,1850,1850,0,100,normal
SF,946,1963,1963,0,100,normal
SF,946,1686,1686,0,100,normal
OTH,66,2811,2811,0,63,normal
OTH,66,2703,2703,0,52,normal
SF,946,2529,2529,0,100,normal
SF,946,2444,2444,0,100,normal
SF,946,1501,1501,0,100,normal
OTH,78,2864,2864,0,86,normal
OTH,66,3019,3019,0,8,normal
OTH,146,5617,5617,0,51,normal
OTH,66,2616,2616,0,67,normal
OTH,146,2555,2555,0,70,normal
SF,946,2527,2527,0,99,normal
OTH,66,5812,5812,0,47,normal
OTH,146,1833,1833,0,51,normal
S2,946,3295,3295,0.47,100,normal
S3,814,1670,1670,0.05,100,normal
OTH,66,3016,3016,0,46,normal
SF,946,2054,2054,0,88,normal
OTH,66,5178,5178,0,48,normal
S2,1024,3620,3620,0.5,100,normal
OTH,66,2828,2828,0,43,normal
SF,946,5728,5728,0,57,normal
OTH,66,3597,3597,0,63,normal
OTH,66,5121,5121,0,58,normal
OTH,66,3593,3593,0,49,normal
OTH,66,5756,5756,0,60,normal
OTH,66,3322,3322,0,65,normal
SF,946,2401,2401,0,98,normal
SF,946,2192,2192,0,100,normal
OTH,66,2911,2911,0,41,normal
OTH,66,5450,5450,0,100,normal
SF,1120,1872,1872,0,94,normal
OTH,66,2988,2988,0,71,normal
OTH,66,2809,2809,0,43,normal
OTH,66,5090,5090,0,67,normal
OTH,66,2775,2775,0,48,normal
SF,946,777,777,0,100,normal
OTH,78,5539,5539,0,92,normal
SF,946,1913,1913,0,100,normal
SF,946,2628,2628,0,100,normal
SF,946,2515,2515,0,100,normal
OTH,66,2868,2868,0,55,normal
SF,880,1429,1429,0,100,normal
OTH,66,2898,2898,0,12,normal
SF,946,3875,3875,0,100,normal
SF,946,1849,1849,0,100,normal
SF,946,2289,2289,0,100,normal
SF,880,2185,2185,0,100,normal
SF,880,2182,2182,0,100,normal
OTH,66,4758,4758,0,53,normal
SF,946,1378,1378,0,100,normal
SF,946,3945,3945,0,54,normal
OTH,66,3490,3490,0,57,normal
SF,946,1836,1836,0,100,normal
SF,946,2054,2054,0,100,normal
OTH,66,5271,5271,0,43,normal
SF,946,2165,2165,0,100,normal
OTH,66,2921,2921,0,54,normal
SF,946,3347,3347,0,96,normal
SF,1012,3285,3285,0,92,normal
OTH,66,2899,2899,0,47,normal
SF,946,779,779,0,100,normal
SF,880,886,886,0,99,normal
SF,946,2362,2362,0,100,normal
OTH,66,3500,3500,0,51,normal
SF,946,2239,2239,0,100,normal
OTH,66,3315,3315,0,51,normal
OTH,146,5230,5230,0,40,normal
SF,880,3365,3365,0,75,normal
SF,946,2213,2213,0,100,normal
OTH,66,2941,2941,0,52,normal
OTH,66,3678,3678,0,46,normal
OTH,66,3447,3447,0,73,normal
OTH,66,6231,6231,0,52,normal
SF,946,2724,2724,0,100,normal
SF,946,2013,2013,0,100,normal
SF,946,1146,1146,0,100,normal
SF,946,2287,2287,0,100,normal
SF,946,3091,3091,0,40,normal
OTH,66,3825,3825,0,40,normal
SF,946,2144,2144,0,91,normal
SF,946,1935,1935,0,100,normal
SF,946,1488,1488,0,95,normal
SF,1012,2095,2095,0,99,normal
SF,946,2228,2228,0,100,normal
RSTR,826,3071,3071,0.44,100,normal
SF,946,2882,2882,0,100,normal
OTH,66,5857,5857,0,36,normal
OTH,66,6038,6038,0,48,normal
OTH,66,3144,3144,0,44,normal
OTH,66,2706,2706,0,37,normal
OTH,66,3850,3850,0,46,normal
OTH,66,4988,4988,0,34,normal
SF,946,1916,1916,0,100,normal
SF,880,18,18,0,18,normal
SF,946,2301,2301,0,100,normal
S1,286,2404,2404,0.31,100,normal
SF,946,2950,2950,0,100,normal
OTH,66,2749,2749,0,52,normal
SF,1120,1665,1665,0,100,normal
OTH,66,4807,4807,0,38,normal
S1,140,3215,3215,0.46,100,normal
SF,946,2389,2389,0,100,normal
SF,946,2611,2611,0,99,normal
SF,946,1916,1916,0,85,normal
S3,286,1885,1885,0.13,100,normal
OTH,66,3222,3222,0,52,normal
S1,286,1826,1826,0.1,100,normal
SF,946,1314,1314,0,100,normal
SF,880,2143,2143,0,100,normal
SF,946,2952,2952,0,100,normal
SF,946,2172,2172,0,100,normal
OTH,66,4982,4982,0,40,normal
SF,946,2273,2273,0,100,normal
SF,946,1979,1979,0,100,normal
OTH,66,5183,5183,0,37,normal
OTH,66,3606,3606,0,63,normal
S1,880,3504,3504,0.48,100,normal
SF,946,4133,4133,0,100,normal
OTH,66,2781,2781,0,46,normal
OTH,66,5494,5494,0,80,normal
SF,1024,3827,3827,0,58,normal
SF,946,2241,2241,0,100,normal
SF,946,3885,3885,0,100,normal
SF,880,2912,2912,0,100,normal
OTH,66,3117,3117,0,56,normal
OTH,78,5831,5831,0,63,normal
OTH,66,5472,5472,0,93,normal
OTH,66,4853,4853,0,45,normal
SF,946,2012,2012,0,100,normal
