% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,SF,1120,1512,1512,0,100,100,normal
tcp,OTH,66,5246,5246,0,72,72,normal
tcp,OTH,66,3287,3287,0,34,34,normal
tcp,OTH,66,3905,3905,0,80,80,normal
tcp,OTH,66,3849,3849,0,45,45,normal
tcp,SF,946,1998,1998,0,100,100,normal
tcp,OTH,66,2729,2729,0,48,48,normal
tcp,OTH,146,4862,4862,0,46,46,normal
tcp,OTH,66,2700,2700,0,45,45,normal
tcp,SF,946,2211,2211,0,100,100,normal
tcp,SF,946,5668,5668,0,72,72,normal
tcp,S1,74,2677,2677,0,100,100,normal
tcp,SF,946,467,467,0,100,100,normal
tcp,OTH,66,5364,5364,0,96,96,normal
tcp,OTH,78,3393,3393,0,99,99,normal
tcp,SF,946,2081,2081,0,88,88,normal
tcp,SF,946,1835,1835,0,100,100,normal
tcp,OTH,66,2985,2985,0,71,71,normal
tcp,SF,946,3886,3886,0,100,100,normal
tcp,OTH,66,2344,2344,0,68,68,normal
tcp,SF,946,2150,2150,0,100,100,normal
tcp,SF,1020,1444,1444,0,100,100,normal
tcp,SF,946,3513,3513,0,100,100,normal
tcp,OTH,66,2431,2431,0,52,52,normal
tcp,SF,946,2109,2109,0,100,100,normal
tcp,OTH,66,5880,5880,0,48,48,normal
tcp,SF,946,2435,2435,0,100,100,normal
