@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,2858,0,100,normal
tcp,SF,2172,0,98,normal
tcp,OTH,3547,0,53,normal
tcp,SF,45,0,45,normal
tcp,OTH,5119,0,44,normal
tcp,SF,2678,0,95,normal
tcp,SF,3927,0,100,normal
tcp,OTH,5257,0,33,normal
tcp,OTH,3790,0,100,normal
tcp,OTH,2946,0,55,normal
tcp,OTH,1570,0,100,normal
tcp,OTH,4116,0,100,normal
tcp,SF,1454,0,100,normal
tcp,SF,2721,0,100,normal
tcp,SF,2150,0,100,normal
tcp,SF,2134,0,100,normal
tcp,S2,2905,0,100,normal
tcp,OTH,6035,0,36,normal
tcp,SF,1235,0,100,normal
tcp,SF,2557,0,100,normal
tcp,OTH,5106,0,46,normal
tcp,OTH,2797,0,50,normal
tcp,OTH,4983,0,46,normal
tcp,OTH,3102,0,46,normal
tcp,SF,2091,0,100,normal
tcp,SF,3515,0,100,normal
tcp,OTH,3727,0,52,normal
tcp,OTH,1865,0,100,normal
tcp,SF,4123,0,100,normal
tcp,OTH,3226,0,47,normal
tcp,OTH,3307,0,44,normal
tcp,OTH,2650,0,47,normal
tcp,OTH,5893,0,42,normal
tcp,OTH,5898,0,45,normal
tcp,SF,2336,0,100,normal
tcp,OTH,3933,0,9,normal
tcp,OTH,6327,0,11,normal
tcp,SF,1996,0,100,normal
tcp,SF,1879,0,100,normal
tcp,OTH,4916,0,48,normal
tcp,S1,2000,0,100,normal
tcp,OTH,2900,0,43,normal
tcp,SF,1994,0,100,normal
tcp,SF,3066,0,71,normal
tcp,OTH,5825,0,45,normal
tcp,OTH,5183,0,51,normal
tcp,SF,1956,0,100,normal
tcp,RSTR,3014,0,100,normal
tcp,OTH,5925,0,45,normal
tcp,SF,1920,0,96,normal
tcp,SF,2171,0,100,normal
tcp,OTH,4417,0,43,normal
tcp,OTH,4902,0,45,normal
tcp,OTH,2594,0,71,normal
tcp,OTH,4937,0,60,normal
tcp,SF,2138,0,100,normal
tcp,OTH,2708,0,46,normal
tcp,SF,3294,0,70,normal
tcp,OTH,5071,0,48,normal
tcp,OTH,5722,0,48,normal
tcp,OTH,2974,0,43,normal
tcp,OTH,5144,0,47,normal
tcp,SF,4142,0,100,normal
tcp,S3,2008,0,100,normal
tcp,OTH,3356,0,51,normal
tcp,SF,1569,0,100,normal
tcp,SF,2140,0,100,normal
tcp,SF,2269,0,100,normal
tcp,OTH,5264,0,90,normal
tcp,OTH,5047,0,51,normal
tcp,OTH,3406,0,52,normal
tcp,SF,2821,0,100,normal
tcp,SF,2441,0,100,normal
tcp,SF,2091,0,100,normal
tcp,SF,2191,0,100,normal
tcp,SF,2970,0,100,normal
tcp,OTH,5260,0,88,normal
tcp,SF,2509,0,94,normal
tcp,SF,2229,0,100,normal
tcp,SF,4047,0,100,normal
tcp,OTH,2846,0,78,normal
tcp,SF,3254,0,75,normal
tcp,OTH,2897,0,21,normal
tcp,SF,2072,0,100,normal
tcp,SF,1868,0,99,normal
tcp,SF,2968,0,100,normal
tcp,SF,1964,0,100,normal
tcp,SF,2206,0,100,normal
tcp,OTH,3240,0,36,normal
tcp,SF,1850,0,94,normal
tcp,OTH,4899,0,43,normal
tcp,SF,2262,0,100,normal
tcp,OTH,3021,0,30,normal
tcp,OTH,4693,0,54,normal
tcp,SF,2109,0,99,normal
