@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-4,9,16-17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,60,141,0,32,udpFlood
udp,OTH,60,70,0,28,udpFlood
udp,OTH,60,86,0,42,udpFlood
udp,OTH,60,117,0,36,udpFlood
udp,OTH,60,110,0,33,udpFlood
udp,OTH,60,107,0,34,udpFlood
udp,OTH,60,128,0,33,udpFlood
udp,OTH,60,145,0,33,udpFlood
udp,OTH,60,131,0,33,udpFlood
udp,OTH,60,110,0,33,udpFlood
udp,OTH,60,137,0,33,udpFlood
udp,OTH,60,112,0,33,udpFlood
udp,OTH,60,145,0,33,udpFlood
udp,OTH,60,160,0,33,udpFlood
udp,OTH,60,138,0,33,udpFlood
udp,OTH,60,153,0,33,udpFlood
udp,OTH,60,104,0,34,udpFlood
udp,OTH,60,113,0,34,udpFlood
udp,OTH,60,124,0,33,udpFlood
udp,OTH,60,85,0,41,udpFlood
udp,OTH,60,131,0,33,udpFlood
udp,OTH,60,142,0,33,udpFlood
udp,OTH,60,117,0,33,udpFlood
udp,OTH,60,87,0,40,udpFlood
udp,OTH,60,155,0,33,udpFlood
udp,OTH,60,17,0,17,udpFlood
udp,OTH,60,141,0,24,udpFlood
udp,OTH,60,112,0,33,udpFlood
udp,OTH,60,141,0,33,udpFlood
udp,OTH,60,109,0,38,udpFlood
udp,OTH,60,83,0,42,udpFlood
udp,OTH,60,138,0,14,udpFlood
udp,OTH,60,88,0,40,udpFlood
udp,OTH,60,114,0,37,udpFlood
udp,OTH,60,75,0,31,udpFlood
udp,OTH,60,109,0,33,udpFlood
udp,OTH,60,112,0,33,udpFlood
udp,OTH,60,57,0,24,udpFlood
udp,OTH,60,138,0,21,udpFlood
udp,OTH,60,128,0,33,udpFlood
udp,OTH,60,101,0,34,udpFlood
udp,OTH,60,138,0,33,udpFlood
udp,OTH,60,137,0,33,udpFlood
udp,OTH,60,53,0,23,udpFlood
udp,OTH,60,107,0,33,udpFlood
udp,OTH,60,153,0,33,udpFlood
udp,OTH,60,62,0,25,udpFlood
udp,OTH,60,85,0,42,udpFlood
udp,OTH,60,127,0,33,udpFlood
udp,OTH,60,132,0,33,udpFlood
udp,OTH,60,160,0,33,udpFlood
udp,OTH,60,160,0,33,udpFlood
udp,OTH,60,89,0,41,udpFlood
udp,OTH,60,163,0,33,udpFlood
udp,OTH,60,107,0,33,udpFlood
udp,OTH,60,108,0,33,udpFlood
udp,OTH,60,80,0,36,udpFlood
udp,OTH,60,131,0,33,udpFlood
udp,OTH,60,108,0,34,udpFlood
udp,OTH,60,101,0,34,udpFlood
udp,OTH,60,117,0,33,udpFlood
udp,OTH,60,11,0,11,udpFlood
udp,OTH,60,135,0,33,udpFlood
udp,OTH,60,25,0,25,udpFlood
udp,OTH,60,114,0,33,udpFlood
udp,OTH,60,109,0,33,udpFlood
udp,OTH,60,102,0,34,udpFlood
udp,OTH,60,87,0,42,udpFlood
udp,OTH,60,121,0,33,udpFlood
udp,OTH,60,95,0,42,udpFlood
udp,OTH,60,141,0,24,udpFlood
udp,OTH,60,147,0,33,udpFlood
udp,OTH,60,74,0,30,udpFlood
udp,OTH,60,142,0,33,udpFlood
udp,OTH,60,50,0,22,udpFlood
udp,OTH,60,141,0,24,udpFlood
udp,OTH,60,130,0,33,udpFlood
udp,OTH,60,56,0,24,udpFlood
udp,OTH,60,160,0,33,udpFlood
udp,OTH,60,105,0,33,udpFlood
udp,OTH,60,117,0,33,udpFlood
udp,OTH,60,98,0,42,udpFlood
udp,OTH,60,109,0,33,udpFlood
udp,OTH,60,117,0,33,udpFlood
udp,OTH,60,113,0,38,udpFlood
udp,OTH,60,110,0,34,udpFlood
udp,OTH,60,153,0,33,udpFlood
udp,OTH,60,104,0,34,udpFlood
udp,OTH,60,100,0,40,udpFlood
udp,OTH,60,112,0,38,udpFlood
udp,OTH,60,89,0,41,udpFlood
udp,OTH,60,107,0,33,udpFlood
udp,OTH,60,111,0,33,udpFlood
udp,OTH,60,111,0,38,udpFlood
udp,OTH,60,51,0,23,udpFlood
udp,OTH,60,122,0,33,udpFlood
udp,OTH,60,125,0,33,udpFlood
udp,OTH,60,104,0,33,udpFlood
udp,OTH,60,160,0,33,udpFlood
udp,OTH,60,19,0,19,udpFlood
udp,OTH,60,122,0,33,udpFlood
udp,OTH,60,110,0,33,udpFlood
udp,OTH,60,110,0,40,udpFlood
udp,OTH,60,94,0,42,udpFlood
udp,OTH,60,161,0,33,udpFlood
udp,OTH,60,138,0,33,udpFlood
udp,OTH,60,111,0,33,udpFlood
udp,OTH,60,105,0,39,udpFlood
udp,OTH,60,88,0,41,udpFlood
udp,OTH,60,142,0,33,udpFlood
udp,OTH,60,110,0,33,udpFlood
tcp,S3,374,114,0,100,httpFlood
tcp,OTH,60,143,0,31,httpFlood
tcp,OTH,66,78,0.69,49,httpFlood
udp,OTH,60,67,0,27,udpFlood
tcp,S3,380,959,0,100,httpFlood
tcp,RSTO,446,448,0,100,httpFlood
tcp,S3,377,437,0.33,100,httpFlood
tcp,S3,374,13,0,13,httpFlood
tcp,S1,248,177,0,100,httpFlood
tcp,S3,386,136,0,100,httpFlood
udp,OTH,60,133,0,33,udpFlood
tcp,S1,242,174,0,100,httpFlood
tcp,S3,374,123,0,100,httpFlood
tcp,S3,377,568,0.25,100,httpFlood
tcp,S3,377,403,0.36,100,httpFlood
tcp,S3,386,143,0,100,httpFlood
tcp,S3,374,149,0,100,httpFlood
tcp,S3,374,132,0,100,httpFlood
tcp,S3,374,228,0,100,httpFlood
tcp,S3,374,152,0,100,httpFlood
tcp,RSTO,446,652,0,100,httpFlood
tcp,S3,377,773,0.19,100,httpFlood
tcp,OTH,66,5,0,5,httpFlood
tcp,S3,374,83,0,83,httpFlood
tcp,OTH,60,180,0,33,httpFlood
tcp,OTH,66,319,0,100,httpFlood
udp,OTH,60,141,0,23,udpFlood
tcp,S3,374,145,0,100,httpFlood
tcp,S3,374,100,0,100,httpFlood
tcp,RSTO,446,627,0,100,httpFlood
tcp,S3,377,486,0.3,100,httpFlood
tcp,OTH,60,174,0,33,httpFlood
tcp,S3,374,146,0,100,httpFlood
tcp,S3,374,157,0,100,httpFlood
tcp,S3,377,228,0.63,94,httpFlood
tcp,S3,374,79,0,79,httpFlood
tcp,S3,374,134,0,100,httpFlood
tcp,S3,380,895,0,100,httpFlood
tcp,S3,374,147,0,100,httpFlood
tcp,S3,374,158,0,100,httpFlood
tcp,S3,374,181,0,100,httpFlood
tcp,S3,386,335,0,100,httpFlood
tcp,S3,377,316,0.46,100,httpFlood
tcp,S3,374,134,0,100,httpFlood
tcp,S3,374,156,0,100,httpFlood
tcp,S3,377,741,0.19,100,httpFlood
tcp,S3,374,94,0,94,httpFlood
tcp,S3,374,171,0,100,httpFlood
