% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-10,23,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
78,0,4119,4119,0,0,tcpFlood
78,0,673,673,0,0,tcpFlood
78,0,5204,5204,0,0,tcpFlood
78,0,1094,1094,0,0,tcpFlood
78,0,1763,1763,0,0,tcpFlood
78,0,2648,2648,0,0,tcpFlood
78,0,5466,5466,0,0,tcpFlood
78,0,5900,5900,0,0,tcpFlood
78,0,4331,4331,0,0,tcpFlood
78,0,3065,3065,0,0,tcpFlood
78,0,2439,2439,0,0,tcpFlood
78,0,3480,3480,0,0,tcpFlood
78,0,1195,1195,0,0,tcpFlood
78,0,2682,2682,0,0,tcpFlood
78,0,4604,4604,0,0,tcpFlood
78,0,598,598,0,0,tcpFlood
78,0,2991,2991,0,0,tcpFlood
78,0,835,835,0,0,tcpFlood
78,0,261,261,0,0,tcpFlood
78,0,2476,2476,0,0,tcpFlood
78,0,3296,3296,0,0,tcpFlood
78,0,4558,4558,0,0,tcpFlood
78,0,1330,1330,0,0,tcpFlood
78,0,1151,1151,0,0,tcpFlood
78,0,2619,2619,0,0,tcpFlood
78,0,5198,5198,0,0,tcpFlood
78,0,3185,3185,0,0,tcpFlood
78,0,4143,4143,0,0,tcpFlood
78,0,1853,1853,0,0,tcpFlood
78,0,3012,3012,0,0,tcpFlood
78,0,2245,2245,0,0,tcpFlood
78,0,959,959,0,0,tcpFlood
78,0,4510,4510,0,0,tcpFlood
78,0,1054,1054,0,0,tcpFlood
78,0,2065,2065,0,0,tcpFlood
