% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,8-9,16,18,22,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,tcp,66,3281,3281,0,38,0,normal
0,tcp,146,2972,2972,0,44,0,normal
0,tcp,946,2143,2143,0,91,0,normal
0,tcp,66,2368,2368,0,52,0,normal
0,tcp,946,3381,3381,0,100,0,normal
0,tcp,146,2789,2789,0,79,0,normal
0,tcp,946,2263,2263,0,100,0,normal
0,tcp,946,1558,1558,0,100,0,normal
0,tcp,66,3667,3667,0,45,0,normal
0,tcp,66,3947,3947,0,84,0,normal
0,tcp,66,2814,2814,0,46,0,normal
0,tcp,946,1606,1606,0,100,0,normal
0,tcp,946,2914,2914,0,100,0,normal
0,tcp,946,1580,1580,0,100,0,normal
0,tcp,66,2608,2608,0,43,0,normal
0,tcp,66,5789,5789,0,32,0,normal
0,tcp,946,2290,2290,0,100,0,normal
0,tcp,946,3090,3090,0,100,0,normal
0,tcp,946,1916,1916,0,50,0,normal
0,tcp,946,307,307,0,100,0,normal
0,tcp,66,4210,4210,0,57,0,normal
0,tcp,946,5681,5681,0,72,0,normal
0,tcp,66,5340,5340,0,81,0,normal
0,tcp,66,3195,3195,0,43,0,normal
0,tcp,1024,3115,3115,0,74,0,normal
0,tcp,66,3185,3185,0,53,0,normal
0,tcp,66,2770,2770,0,50,0,normal
0,tcp,66,4996,4996,0,68,0,normal
0,tcp,66,5199,5199,0,51,0,normal
0,tcp,946,2102,2102,0,100,0,normal
0,tcp,946,905,905,0,99,0,normal
0,tcp,946,976,976,0,100,0,normal
0,tcp,880,1471,1471,0,100,0,normal
0,tcp,66,5491,5491,0,79,0,normal
0,tcp,946,20,20,0,20,0,normal
0,tcp,66,6233,6233,0,50,0,normal
0,tcp,946,2057,2057,0,99,0,normal
0,tcp,946,3053,3053,0,100,0,normal
0,tcp,946,1528,1528,0,100,0,normal
0,tcp,946,2146,2146,0,100,0,normal
0,tcp,146,3091,3091,0,41,0,normal
0,tcp,206,2575,2575,0,100,0,normal
0,tcp,946,779,779,0,100,0,normal
0,tcp,946,1871,1871,0,100,0,normal
0,tcp,66,2795,2795,0,53,0,normal
0,tcp,946,985,985,0,100,0,normal
0,tcp,66,6297,6297,0,44,0,normal
0,tcp,946,2456,2456,0,100,0,normal
0,tcp,430,3309,3309,0,82,0,normal
0,tcp,66,2740,2740,0,56,0,normal
0,tcp,66,1449,1449,0,50,0,normal
0,tcp,946,2153,2153,0,100,0,normal
0,tcp,1024,3266,3266,0,100,0,normal
0,tcp,946,3582,3582,0,100,0,normal
0,tcp,66,2973,2973,0,63,0,normal
0,tcp,880,4460,4460,0,60,0,normal
0,tcp,66,5465,5465,0,100,0,normal
0,tcp,66,1492,1492,0,67,0,normal
0,tcp,66,2863,2863,0,49,0,normal
0,tcp,66,2849,2849,0,50,0,normal
0,tcp,946,1126,1126,0,100,0,normal
0,tcp,946,2177,2177,0,100,0,normal
0,tcp,946,2039,2039,0,100,0,normal
0,tcp,66,4082,4082,0,99,0,normal
0,tcp,946,1536,1536,0,100,0,normal
0,tcp,946,2251,2251,0,100,0,normal
0,tcp,66,3186,3186,0,44,0,normal
0,tcp,946,1910,1910,0,100,0,normal
0,tcp,66,3877,3877,0,54,0,normal
0,tcp,946,1892,1892,0,99,0,normal
0,tcp,1092,2242,2242,0,100,0,normal
0,tcp,946,3358,3358,0,100,0,normal
0,tcp,66,4879,4879,0,50,0,normal
0,tcp,946,1150,1150,0,100,0,normal
0,tcp,946,1917,1917,0,85,0,normal
0,tcp,800,3688,3688,0,100,0,normal
0,tcp,946,2978,2978,0,63,0,normal
0,tcp,66,2026,2026,0,47,0,normal
0,tcp,66,2129,2129,0,53,0,normal
0,tcp,946,1981,1981,0,100,0,normal
0,tcp,78,2490,2490,0,55,0,normal
0,tcp,66,2890,2890,0,41,0,normal
0,tcp,66,5820,5820,0,45,0,normal
0,tcp,946,2126,2126,0,100,0,normal
0,tcp,66,3648,3648,0,85,0,normal
0,tcp,66,3927,3927,0,80,0,normal
0,tcp,946,3846,3846,0,100,0,normal
0,tcp,946,2120,2120,0,100,0,normal
0,tcp,78,3865,3865,0,75,0,normal
0,tcp,946,3909,3909,0,100,0,normal
0,tcp,66,2960,2960,0,46,0,normal
0,tcp,946,2000,2000,0,86,0,normal
0,tcp,66,2242,2242,0,48,0,normal
0,tcp,946,1904,1904,0,100,0,normal
0,tcp,946,3022,3022,0,63,0,normal
0,tcp,66,3973,3973,0,97,0,normal
0,tcp,946,3173,3173,0,100,0,normal
0,tcp,946,2138,2138,0,100,0,normal
0,tcp,66,3384,3384,0,52,0,normal
