% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,7-8,16,30,38-40'

@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute std_fiat numeric
@attribute sflow_fpackets numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
52,244,6,9618,4860,252728,182992,tcpFlood
52,256,12,24600,1023,53204,42504,tcpFlood
52,220,10,94668,137,21380,6532,tcpFlood
52,292,19,87732,229,11916,2920,tcpFlood
52,376,11,17511,1792,93192,69120,tcpFlood
52,1500,37,17484,1865,96988,67020,tcpFlood
52,820,29,19055,1821,94700,55228,tcpFlood
52,1168,46,21079,1484,77176,52364,tcpFlood
52,952,11,11509,6768,351944,101636,tcpFlood
52,148,5,26408,208,10824,1256,tcpFlood
52,496,19,19132,1638,85184,52468,tcpFlood
52,460,13,2494,1321,68700,56064,tcpFlood
52,184,11,43670,133,6924,3336,tcpFlood
52,436,10,1784,3666,190640,149456,tcpFlood
52,316,13,18971,1702,88512,58364,tcpFlood
52,508,20,19739,1460,75928,50676,tcpFlood
52,652,24,19643,1545,80348,64324,tcpFlood
52,1500,110,97252,113,17688,5688,tcpFlood
52,868,10,10714,7587,394532,119016,tcpFlood
52,256,5,3408,2033,105724,27672,tcpFlood
52,484,11,20498,3692,191992,120516,tcpFlood
52,208,5,10132,4588,238584,175456,tcpFlood
52,736,13,13152,5543,288244,79640,tcpFlood
52,64,1,53776,58,3024,736,tcpFlood
52,340,18,24890,984,51176,41840,tcpFlood
52,640,19,19181,1731,90020,59756,tcpFlood
52,496,7,10599,8450,439408,135188,tcpFlood
52,100,4,39287,144,7496,3128,tcpFlood
52,232,5,9653,5081,264220,193228,tcpFlood
52,88,3,50743,73,3804,1100,tcpFlood
52,88,2,85236,163,8484,2660,tcpFlood
52,208,6,1683,624,32456,31208,tcpFlood
52,964,34,18955,1587,82532,56920,tcpFlood
52,184,11,64059,67,28244,10132,tcpFlood
52,460,13,23077,3254,169216,125080,tcpFlood
52,172,6,20211,269,13996,1464,tcpFlood
52,184,10,37723,157,8172,4036,tcpFlood
52,496,16,17100,1902,98912,60056,tcpFlood
52,148,7,38990,138,7184,2504,tcpFlood
52,1500,40,19444,1637,85132,58608,tcpFlood
52,388,8,9502,5153,267964,183048,tcpFlood
52,172,9,7730,209,10876,1464,tcpFlood
52,1500,118,67721,95,19768,5200,tcpFlood
78,78,0,0,2,48,0,tcpFlood
52,328,8,1458,5270,274048,195852,tcpFlood
52,292,8,26329,453,47120,5416,tcpFlood
52,388,8,9867,4933,256524,187608,tcpFlood
52,292,9,29121,336,34952,5636,tcpFlood
52,184,7,95257,134,20964,5732,tcpFlood
52,316,9,1620,3895,202548,158568,tcpFlood
52,388,8,9531,5064,263336,189164,tcpFlood
52,340,10,1771,3328,173064,143112,tcpFlood
52,304,9,23643,548,57000,5988,tcpFlood
40,40,0,32955,4485,89708,0,udpFlood
40,40,0,37621,734,58748,0,udpFlood
40,40,0,21459,1479,118388,0,udpFlood
40,40,0,36194,4420,88408,0,udpFlood
40,40,0,22919,1751,140108,0,udpFlood
40,40,0,42288,537,53708,0,udpFlood
40,40,0,2059,4959,99188,0,udpFlood
40,40,0,30984,1958,117528,0,udpFlood
40,40,0,2130,15415,308308,0,udpFlood
40,40,0,943,19090,381808,0,udpFlood
40,40,0,46750,1506,60268,0,udpFlood
40,40,0,28167,2209,132568,0,udpFlood
40,40,0,32930,4612,92248,0,udpFlood
40,40,0,53944,719,43148,0,udpFlood
40,40,0,51964,1637,65508,0,udpFlood
40,40,0,2212,4814,96288,0,udpFlood
40,40,0,13815,10025,200508,0,udpFlood
40,40,0,1275,18029,360588,0,udpFlood
40,40,0,1434,17506,350128,0,udpFlood
40,40,0,43006,993,59608,0,udpFlood
40,40,0,23279,2257,135468,0,udpFlood
40,40,0,22756,6127,122548,0,udpFlood
40,40,0,13646,7481,149628,0,udpFlood
40,40,0,14065,7677,153548,0,udpFlood
