% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8-9,11,14,16-19,21-22,24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,60,0,53,65,0,1,0.18,38,38,1,0.97,0,0,normal
0,tcp,60,0,46,80,0,1,0.42,36,36,1,0.97,0,0,normal
0,tcp,60,0,113,113,0,1,0,17,17,1,0.94,0,0,normal
0,tcp,60,0,95,96,0,1,0.01,42,42,1,0.98,0,0,normal
0,tcp,66,0,3,9,0,1,0.67,12,51,1,0.15,0.76,0,normal
0,tcp,155,0,98,136,0,1,0.28,29,39,1,0.72,0.26,0,normal
0,tcp,66,0,2,2,0,1,0,12,54,1,0.15,0.78,0,normal
0,tcp,66,0,170,171,0,1,0.01,24,24,1,0.96,0,0,normal
2,tcp,3036,2960,4,234,0.29,1,0.98,3,41,1,0,0.93,0.56,normal
0,tcp,60,0,59,78,0,1,0.24,38,38,1,0.97,0,0,normal
0,tcp,60,0,93,96,0,1,0.03,32,34,1,0.91,0.06,0,normal
0,tcp,60,0,41,45,0,1,0.09,41,44,1,0.91,0.07,0,normal
0,tcp,60,0,312,314,0,1,0.01,32,32,1,0.97,0,0,normal
6,tcp,1335,1681,2,4,0,1,0.5,2,41,1,0,0.95,0,normal
0,tcp,60,0,57,66,0,1,0.14,34,34,1,0.97,0,0,normal
0,tcp,74,0,173,176,0,1,0.02,39,39,1,0.97,0,0,normal
0,tcp,60,0,310,312,0,1,0.01,33,33,1,0.97,0,0,normal
0,tcp,60,0,225,225,0,1,0,27,27,1,0.96,0,0,normal
0,tcp,66,0,1,1,0,1,0,1,38,1,0.03,0.97,0,normal
0,tcp,108,0,4,4,0,1,0,37,54,1,0.67,0.31,0,normal
0,tcp,60,0,38,39,0,1,0.03,38,39,1,0.95,0.03,0,normal
0,tcp,60,0,35,36,0,1,0.03,35,36,1,0.95,0.03,0,normal
