% isAttack slowRead:	1333
% isAttack slowHeaders:	1333
% isAttack slowBody:	1333
@relation 'Slowrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,19-20,24,27'

@attribute dst_bytes numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {slowRead,slowHeaders,slowBody}

@data
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
953,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
140,1,0,1,slowHeaders
0,1,0,0,slowRead
140,1,0,1,slowHeaders
0,1,0,1,slowRead
206,0.98,0.02,0.23,slowRead
1019,1,0,0,slowHeaders
0,1,0,0.95,slowRead
1820,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,1,slowHeaders
0,1,0,1,slowRead
0,1,0,1,slowHeaders
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,0,slowHeaders
0,1,0,0.6,slowHeaders
0,1,0,0,slowRead
0,1,0,0,slowHeaders
1820,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,0.37,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowRead
0,1,0,0.66,slowRead
0,1,0,0.96,slowHeaders
0,1,0,1,slowRead
0,1,0,0.74,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,1,slowRead
140,1,0,1,slowHeaders
0,1,0,0,slowRead
74,1,0,0.05,slowHeaders
0,1,0,0,slowRead
0,1,0,1,slowHeaders
0,1,0,0,slowRead
0,1,0,0.6,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,1,slowHeaders
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,1,slowRead
0,1,0,1,slowRead
0,1,0,0.57,slowRead
1019,1,0,0,slowHeaders
0,1,0,1,slowRead
140,1,0,0.99,slowRead
0,1,0,0,slowHeaders
1688,1,0,1,slowRead
958,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,0.97,slowHeaders
0,1,0,0,slowRead
1019,1,0,0,slowHeaders
0,0.99,0.01,0.98,slowHeaders
0,1,0,0.4,slowHeaders
0,1,0,1,slowRead
0,1,0,0,slowRead
0,1,0,0,slowRead
1820,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,1,slowHeaders
0,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowRead
1820,1,0,0,slowRead
689,1,0,0.99,slowHeaders
1754,1,0,0,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,1,slowRead
0,1,0,0,slowRead
0,1,0,1,slowRead
760,1,0,0.95,slowRead
0,1,0,0,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,0.97,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowRead
1688,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,0.95,slowRead
0,1,0,0.95,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,0,slowHeaders
0,1,0,0.78,slowRead
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,1,slowRead
0,0.99,0.01,0.96,slowRead
0,1,0,1,slowBody
140,1,0,1,slowHeaders
0,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,1,slowBody
958,1,0,0,slowBody
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,0.26,slowHeaders
0,1,0,0,slowHeaders
140,1,0,0.99,slowBody
0,1,0,0,slowHeaders
1886,1,0,0,slowRead
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowBody
0,1,0,0,slowBody
0,1,0,1,slowBody
0,1,0,1,slowBody
1019,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,0.39,slowHeaders
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,1,slowBody
953,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowBody
0,1,0,1,slowRead
958,1,0,0,slowBody
0,1,0,0.73,slowBody
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,0,slowBody
206,1,0,1,slowBody
1424,1,0,0,slowRead
0,1,0,0,slowBody
140,1,0,1,slowBody
0,1,0,0.56,slowRead
0,1,0,1,slowBody
0,1,0,0,slowBody
206,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,1,slowRead
0,1,0,0,slowBody
0,1,0,0.56,slowBody
140,1,0,1,slowHeaders
0,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,0,slowRead
140,1,0,1,slowBody
0,1,0,0,slowHeaders
1754,1,0,0,slowRead
1688,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,1,slowHeaders
0,1,0,1,slowRead
0,1,0,0,slowBody
206,1,0,1,slowBody
140,1,0,0.52,slowBody
0,1,0,0,slowHeaders
0,1,0,0,slowBody
0,1,0,1,slowBody
0,1,0,0,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,1,slowRead
0,1,0,0.43,slowRead
0,1,0,0,slowBody
0,1,0,0.37,slowRead
11980,1,0,0,slowRead
0,1,0,0.41,slowBody
0,1,0,0.91,slowBody
0,1,0,0,slowHeaders
0,1,0,0,slowBody
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,0.45,slowBody
0,1,0,1,slowRead
0,1,0,1,slowBody
0,1,0,0,slowBody
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
140,1,0,1,slowRead
958,1,0,0,slowBody
0,1,0,0,slowRead
0,1,0,0.95,slowRead
0,1,0,1,slowBody
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,0,slowBody
0,1,0,1,slowHeaders
206,1,0,1,slowBody
0,1,0,1,slowHeaders
0,1,0,0,slowBody
1754,1,0,1,slowRead
0,1,0,0.97,slowBody
0,1,0,1,slowBody
0,1,0,0.13,slowBody
0,1,0,0,slowBody
0,1,0,1,slowBody
0,1,0,0,slowBody
0,1,0,0.48,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowBody
1490,1,0,1,slowRead
958,0.98,0.02,0,slowHeaders
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,0,slowRead
1688,1,0,1,slowRead
0,1,0,1,slowBody
0,1,0,0,slowBody
0,1,0,1,slowHeaders
0,1,0,1,slowRead
0,1,0,0.98,slowRead
0,1,0,0,slowBody
12244,1,0,0.64,slowBody
0,1,0,1,slowBody
1024,1,0,0,slowHeaders
0,1,0,0,slowBody
0,1,0,0,slowHeaders
1024,1,0,0,slowBody
0,1,0,0,slowBody
0,1,0,0,slowHeaders
148,1,0,0.67,slowBody
0,1,0,1,slowRead
0,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,1,slowHeaders
958,0.98,0.02,0,slowBody
958,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowBody
0,1,0,0,slowRead
206,1,0,1,slowRead
0,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,1,slowHeaders
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,0,slowBody
0,1,0,0.62,slowHeaders
0,1,0,0,slowBody
0,1,0,1,slowRead
953,1,0,0,slowHeaders
0,1,0,0,slowBody
0,1,0,0,slowRead
140,1,0,1,slowHeaders
958,1,0,0,slowBody
0,1,0,0,slowHeaders
0,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,1,slowRead
0,1,0,1,slowBody
0,1,0,1,slowRead
140,1,0,0.25,slowBody
0,1,0,1,slowBody
206,1,0,1,slowHeaders
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,0.98,slowBody
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowRead
206,1,0,1,slowBody
0,1,0,0.3,slowHeaders
0,1,0,0,slowBody
0,1,0,0,slowBody
1019,1,0,0.6,slowHeaders
0,1,0,1,slowBody
0,1,0,0.8,slowBody
0,1,0,0,slowBody
0,1,0,1,slowHeaders
140,1,0,0.99,slowRead
0,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,0.97,slowHeaders
0,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,0,slowBody
0,1,0,0,slowHeaders
0,1,0,0.96,slowRead
0,1,0,1,slowHeaders
0,1,0,1,slowBody
