% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,9,11,15,17,23,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,60,0,138,0,0,33,0,udpFlood
udp,60,0,166,0,0,33,0,udpFlood
udp,60,0,10,0,0,10,0,udpFlood
udp,60,0,138,0,0,13,0,udpFlood
udp,60,0,87,0,0,42,0,udpFlood
udp,60,0,87,0,0,42,0,udpFlood
udp,60,0,104,0,0,40,0,udpFlood
udp,60,0,117,0,0,33,0,udpFlood
udp,60,0,86,0,0,43,0,udpFlood
udp,60,0,86,0,0,41,0,udpFlood
udp,60,0,91,0,0,42,0,udpFlood
udp,60,0,137,0,0,33,0,udpFlood
udp,60,0,82,0,0,42,0,udpFlood
udp,60,0,108,0,0,38,0,udpFlood
udp,60,0,109,0,0,33,0,udpFlood
udp,60,0,136,0,0,33,0,udpFlood
udp,60,0,121,0,0,33,0,udpFlood
udp,60,0,44,0,0,33,0,udpFlood
tcp,60,0,139,0,0,33,0,httpFlood
tcp,377,755,500,0.71,0.46,100,1,httpFlood
tcp,374,755,321,1,0,100,1,httpFlood
tcp,60,0,124,0,0,33,0,httpFlood
tcp,374,755,165,0.39,0,100,0.65,httpFlood
tcp,66,0,6,0,0,6,0,httpFlood
tcp,374,755,150,1,0,100,1,httpFlood
tcp,446,755,691,0,0,100,0,httpFlood
tcp,66,0,30,0,0,29,0,httpFlood
tcp,377,755,420,0.66,0.52,100,1,httpFlood
tcp,66,0,49,0,0,34,0,httpFlood
tcp,60,0,180,0,0,33,0,httpFlood
tcp,60,0,172,0,0,33,0,httpFlood
tcp,242,140,440,1,0,100,1,httpFlood
tcp,377,755,303,0.52,0.66,100,1,httpFlood
tcp,374,755,105,1,0,100,1,httpFlood
tcp,374,755,105,1,0,100,1,httpFlood
tcp,66,0,268,0,0,98,0,httpFlood
tcp,446,755,557,0,0,100,0,httpFlood
tcp,446,755,336,0,0,100,0,httpFlood
tcp,386,821,115,1,0,100,1,httpFlood
tcp,446,755,663,0,0,100,0,httpFlood
tcp,446,755,379,0,0,100,0,httpFlood
tcp,374,755,188,0.47,0,100,0.88,httpFlood
tcp,377,755,756,0.81,0.33,100,1,httpFlood
tcp,380,755,759,0.23,0,100,1,httpFlood
tcp,66,0,36,0,0,34,0,httpFlood
tcp,374,755,121,0.17,0,82,0.26,httpFlood
tcp,60,0,178,0,0,33,0,httpFlood
tcp,374,755,142,1,0,100,1,httpFlood
tcp,377,755,365,0.61,0.58,100,1,httpFlood
tcp,66,0,0,0,0,0,0,httpFlood
tcp,377,755,208,0.31,0.83,88,0.73,httpFlood
