% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,60,110,33,udpFlood
udp,OTH,60,34,31,udpFlood
udp,OTH,60,135,33,udpFlood
udp,OTH,60,105,40,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,159,33,udpFlood
udp,OTH,60,153,33,udpFlood
udp,OTH,60,115,33,udpFlood
udp,OTH,60,141,27,udpFlood
udp,OTH,60,38,35,udpFlood
udp,OTH,60,15,15,udpFlood
udp,OTH,60,35,32,udpFlood
udp,OTH,60,113,33,udpFlood
udp,OTH,60,112,33,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,114,33,udpFlood
udp,OTH,60,162,33,udpFlood
udp,OTH,60,0,0,udpFlood
udp,OTH,60,115,37,udpFlood
udp,OTH,60,153,33,udpFlood
udp,OTH,60,146,33,udpFlood
udp,OTH,60,43,32,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,112,33,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,82,38,udpFlood
udp,OTH,60,105,34,udpFlood
udp,OTH,60,158,33,udpFlood
udp,OTH,60,125,33,udpFlood
udp,OTH,60,110,33,udpFlood
udp,OTH,60,84,40,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,140,33,udpFlood
udp,OTH,60,119,33,udpFlood
udp,OTH,60,45,22,udpFlood
udp,OTH,60,93,42,udpFlood
udp,OTH,60,47,22,udpFlood
udp,OTH,60,113,34,udpFlood
udp,OTH,60,118,33,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,146,33,udpFlood
udp,OTH,60,143,33,udpFlood
udp,OTH,60,113,33,udpFlood
udp,OTH,60,131,33,udpFlood
udp,OTH,60,145,33,udpFlood
udp,OTH,60,152,33,udpFlood
udp,OTH,60,7,7,udpFlood
udp,OTH,60,117,34,udpFlood
udp,OTH,60,80,41,udpFlood
udp,OTH,60,125,33,udpFlood
udp,OTH,60,20,20,udpFlood
udp,OTH,60,138,19,udpFlood
udp,OTH,60,141,25,udpFlood
udp,OTH,60,103,34,udpFlood
udp,OTH,60,138,33,udpFlood
udp,OTH,60,109,33,udpFlood
udp,OTH,60,16,16,udpFlood
udp,OTH,60,102,34,udpFlood
udp,OTH,60,81,41,udpFlood
udp,OTH,60,153,33,udpFlood
udp,OTH,60,40,37,udpFlood
udp,OTH,60,140,21,udpFlood
udp,OTH,60,87,41,udpFlood
udp,OTH,60,145,33,udpFlood
udp,OTH,60,80,42,udpFlood
udp,OTH,60,70,28,udpFlood
udp,OTH,60,134,33,udpFlood
udp,OTH,60,129,33,udpFlood
udp,OTH,60,126,33,udpFlood
udp,OTH,60,103,40,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,141,33,udpFlood
udp,OTH,60,141,30,udpFlood
udp,OTH,60,65,26,udpFlood
udp,OTH,60,131,33,udpFlood
