% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,7-9,14,18,22,38,40'

@attribute total_fpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute min_active numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
232,4478,52,352,24,52,30049,100619,46500,12084,tcpFlood
257,3204,52,160,12,52,31315,134558,48910,13372,tcpFlood
411,5012,52,316,14,52,24610,111728,67245,21380,tcpFlood
3,0,195,195,0,-1,0,0,0,68,tcpFlood
5167,191154,52,388,8,52,3132,4418,16181963,268692,tcpFlood
452,7234,52,448,20,52,22603,77838,61899,23512,tcpFlood
5026,186018,52,388,9,52,3306,4660,16612904,261360,tcpFlood
205,2884,60,124,4,52,33919,138043,3134446,10668,tcpFlood
5238,193310,52,268,7,52,3089,4369,16179850,272384,tcpFlood
374,7486,52,1500,87,52,22849,64103,3707,19456,tcpFlood
131,3140,52,88,3,52,10380,23651,1397410,6820,tcpFlood
4773,184094,52,364,8,52,1829,2473,8730964,248204,tcpFlood
4072,47796,52,1060,16,52,3681,16324,14987282,211752,tcpFlood
769,12898,52,124,2,52,2555,8293,1966647,39996,tcpFlood
3039,135890,52,292,9,52,1870,2183,5683563,158036,tcpFlood
609,7012,52,268,14,52,17382,81826,3989803,31676,tcpFlood
5475,189438,52,388,8,52,2916,4399,15970123,284708,tcpFlood
2763,122358,52,352,11,52,1872,2208,5173174,143684,tcpFlood
1542,54046,52,388,17,52,5186,7816,7997045,80216,tcpFlood
4131,163594,52,400,9,52,1869,2461,7719712,214820,tcpFlood
446,6560,52,100,1,52,2022,7050,900080,23200,tcpFlood
9189,155838,52,280,6,52,3120,9603,28675716,477836,tcpFlood
107,2348,52,220,15,52,15917,38265,1687830,5572,tcpFlood
487,8300,52,1500,79,52,20654,65229,3478470,25332,tcpFlood
510,5272,52,172,9,52,19667,100695,3460039,26540,tcpFlood
398,6020,52,148,8,52,18749,66371,36038,20704,tcpFlood
4739,177798,52,256,6,52,3409,4746,16157041,246436,tcpFlood
346,2972,52,172,5,52,9463,57685,3265078,18000,tcpFlood
