@relation 'highrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute service {aol,auth,bgp,courier,csnet_ns,ctf,daytime,discard,domain,domain_u,echo,eco_i,ecr_i,efs,exec,finger,ftp,ftp_data,gopher,harvest,hostnames,http,http_2784,http_443,http_8001,imap4,IRC,iso_tsap,klogin,kshell,ldap,link,login,mtp,name,netbios_dgm,netbios_ns,netbios_ssn,netstat,nnsp,nntp,ntp_u,other,pm_dump,pop_2,pop_3,printer,private,red_i,remote_job,rje,shell,smtp,sql_net,ssh,sunrpc,supdup,systat,telnet,tftp_u,tim_i,time,urh_i,urp_i,uucp,uucp_path,vmnet,whois,X11,Z39_50}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute land {0,1}
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {NORMAL,neptune,smurf,pod,back,land,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
0,tcp,http_443,OTH,60,0,0,0,0,77,78,0,0,0,0,1,0,0.01,32,33,1,0,0.94,0.03,0,0,0,0,NORMAL
122,tcp,http_443,RSTO,2450,6609,0,0,0,1,11,0,0.27,0,0,1,0,0.91,1,32,1,0,0,0.97,0,0.09,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,180,176,0,0,0,0,0.98,0.02,0,68,67,0.99,0.01,0.99,0,0,0,0,0,NORMAL
7,tcp,http_443,RSTO,1205,4233,0,0,0,3,24,0,0.29,0,0,1,0,0.88,3,20,1,0,0,0.85,0,0.35,0,0,NORMAL
0,udp,domain_u,SF,150,227,0,0,0,3,3,0,0,0,0,1,0,0,3,3,1,0,0,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,422,422,0,0,0,0,1,0,0,82,82,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,306,285,0,0,0,0,0.93,0.07,0,67,67,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,276,276,0,0,0,0,1,0,0,68,68,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,325,331,0,0,0,0,1,0,0.02,50,50,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,151,148,0,0,0,0,0.98,0.02,0,65,63,0.97,0.03,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,276,276,0,0,0,0,1,0,0,60,60,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,433,433,0,0,0,0,1,0,0,70,70,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,71,72,0,0,0,0,1,0,0.01,39,39,1,0,0.97,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,432,437,0,0,0,0,1,0,0.01,48,48,1,0,0.98,0,0,0,0,0,NORMAL
116,tcp,http,SF,1530,1264,0,0,0,0,4,0,0,0,0,0,0,1,0,48,0,0,0,1,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,14,17,0,0,0,0,1,0,0.18,14,60,1,0,0.23,0.77,0,0,0,0,NORMAL
0,tcp,private,OTH,66,0,0,0,0,17,14,0,0,0,0,0.82,0.18,0,43,25,0.58,0.42,0.96,0,0,0,0,0,NORMAL
0,tcp,other,OTH,1456,0,0,0,0,4,4,0,0,0,0,1,0,0,52,4,0.08,0.92,0.8,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,407,406,0,0,0,0,1,0,0,72,72,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1127,0,0,0,0,60,39,0,0,0,0,0.65,0.35,0,50,29,0.58,0.42,0.97,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,209,176,0,0,0,0,0.84,0.16,0,60,51,0.85,0.15,0.98,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,66,0,0,0,0,278,278,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,NORMAL
2,tcp,http_443,SF,1628,6690,0,0,0,0,1,0,0,0,0,0,0,1,0,46,0,0,0,1,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,460,453,0,0,0,0,0.98,0.02,0,61,54,0.89,0.11,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,253,232,0,0,0,0,0.92,0.08,0,71,71,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,33,33,0,0,0,0,1,0,0,62,62,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,87,87,0,0,0,0,1,0,0,63,63,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,350,355,0,0,0,0,1,0,0.01,49,49,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,68,68,0,0,0,0,1,0,0,58,58,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,377,356,0,0,0,0,0.94,0.06,0,84,84,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,513,513,0,0,0,0,1,0,0,63,63,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,539,539,0,0,0,0,1,0,0,63,63,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,601,600,0,0,0,0,1,0,0,93,93,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,82,0,0,0,0,153,132,0,0,0,0,0.86,0.14,0,67,67,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,504,496,0,0,0,0,0.98,0.02,0,75,74,0.99,0.01,0.97,0,0,0,0,0,NORMAL
0,tcp,private,OTH,66,0,0,0,0,36,36,0,0,0,0,1,0,0,36,36,1,0,0.97,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,239,239,0,0,0,0,1,0,0,66,66,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,12,13,0,0,0,0,1,0,0.08,17,23,1,0,0.71,0.26,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,82,78,0,0,0,0,0.95,0.05,0,62,62,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1440,0,0,0,0,9,6,0,0,0,0,0.67,0.33,0,58,55,0.95,0.05,0.98,0,0,0,0,0,NORMAL
0,udp,domain_u,SF,150,244,0,0,0,243,243,0,0,0,0,1,0,0,82,82,1,0,0,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,581,580,0,0,0,0,1,0,0,67,67,1,0,0.99,0,0,0,0,0,NORMAL
