% isAttack HIGH_RATE:	2000
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,7-9,12,17,27,34-35,40'

@attribute total_fpackets numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute std_bpktl numeric
@attribute min_biat numeric
@attribute mean_idle numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
5331,2948,112,52,10,2,1128604,5315,1,HIGH_RATE
11,1500,433,60,0,0,4940742,6,0,HIGH_RATE
2910,1500,45,52,13,4,0,2905,1,HIGH_RATE
43,88,4,52,6,429,0,41,0,HIGH_RATE
12545,1500,33,52,6,5,0,12539,1,HIGH_RATE
8241,2948,118,52,8,2,1090272,8217,1,HIGH_RATE
2538,2948,142,52,17,2,1117785,2533,1,HIGH_RATE
1135,1996,220,52,5,11,0,1122,0,HIGH_RATE
1224,2948,241,52,5,2,0,1213,0,HIGH_RATE
11389,2488,77,40,7,2,1082960,11373,1,HIGH_RATE
17,304,117,60,0,0,3288732,14,0,HIGH_RATE
2375,2948,184,52,6,1,0,2364,0,HIGH_RATE
8434,2948,68,52,8,2,0,8427,1,HIGH_RATE
3306,2056,147,52,12,1,0,3294,1,HIGH_RATE
10,1500,454,60,0,0,8287729,7,0,HIGH_RATE
1764,2948,183,52,5,2,0,1754,0,HIGH_RATE
8300,1500,39,52,7,3,0,8294,1,HIGH_RATE
11220,2948,77,40,7,1,1082466,11200,1,HIGH_RATE
5950,2948,103,52,9,2,1129731,5938,1,HIGH_RATE
2051,2948,210,52,6,2,0,2037,0,HIGH_RATE
1339,2948,194,52,6,2,0,1329,0,HIGH_RATE
17,244,78,60,0,0,4127650,15,0,HIGH_RATE
8977,2948,63,52,8,2,0,8970,1,HIGH_RATE
4382,2948,136,52,11,2,1116095,4370,1,HIGH_RATE
7908,2320,52,52,9,2,0,7904,1,HIGH_RATE
2455,1500,101,52,6,33,1148013,2450,0,HIGH_RATE
3857,2948,165,52,11,2,1158903,3834,1,HIGH_RATE
5712,2948,122,52,10,1,1096516,5699,1,HIGH_RATE
2046,2948,191,52,5,31,0,2038,0,HIGH_RATE
1598,2948,209,52,6,2,0,1590,0,HIGH_RATE
4936,2948,128,52,11,2,1179100,4920,1,HIGH_RATE
1958,2548,179,52,6,2,0,1948,0,HIGH_RATE
1901,2948,141,52,6,2,0,1897,0,HIGH_RATE
683,1500,89,52,5,36,0,680,0,HIGH_RATE
8520,2948,62,52,9,2,0,8512,1,HIGH_RATE
8906,1792,27,52,8,2,0,8903,1,HIGH_RATE
3977,2948,141,52,12,2,1111033,3962,1,HIGH_RATE
12048,2948,57,52,6,2,1074678,12041,1,HIGH_RATE
1139,2548,159,52,5,2,1032428,1132,0,HIGH_RATE
5206,2176,88,52,10,2,1114041,5199,1,HIGH_RATE
7306,2260,54,52,9,4,0,7303,1,HIGH_RATE
12,1500,415,60,0,0,2938676,7,0,HIGH_RATE
4838,2948,127,52,11,2,1144658,4821,1,HIGH_RATE
8231,2728,45,52,7,4,0,8226,1,HIGH_RATE
7245,2948,98,52,9,2,0,7229,1,HIGH_RATE
2156,1500,128,52,5,2,1150701,2149,0,HIGH_RATE
5608,2948,118,52,10,2,1181574,5592,1,HIGH_RATE
10652,2948,93,40,7,2,1102472,10635,1,HIGH_RATE
2222,2428,172,52,6,2,0,2212,0,HIGH_RATE
12118,2716,37,52,6,59,0,12114,1,HIGH_RATE
6160,2300,105,52,9,2,1202227,6142,1,HIGH_RATE
8812,2948,65,52,8,32,0,8803,1,HIGH_RATE
13726,1528,12,52,4,57,1004365,13723,1,HIGH_RATE
10,1480,747,60,0,0,1632318,6,0,HIGH_RATE
2808,2948,108,52,5,3,1104354,2804,0,HIGH_RATE
4530,2948,144,52,10,2,1141160,4517,1,HIGH_RATE
1178,1736,199,52,6,2,0,1165,0,HIGH_RATE
10,1500,454,60,0,0,1602973,5,0,HIGH_RATE
12642,2948,71,40,7,2,1100918,12629,1,HIGH_RATE
2473,2948,146,52,5,21,1145082,2469,0,HIGH_RATE
2046,2948,233,52,6,2,0,2020,0,HIGH_RATE
11682,2836,35,52,6,4,0,11678,1,HIGH_RATE
1048,2948,223,52,5,2,0,1041,0,HIGH_RATE
7848,2948,56,52,9,5,0,7841,1,HIGH_RATE
11364,1500,22,52,7,2,0,11360,1,HIGH_RATE
1761,1500,134,52,5,2,1081202,1753,0,HIGH_RATE
2257,2260,165,52,6,2,0,2244,0,HIGH_RATE
1551,2152,137,52,5,3,0,1544,0,HIGH_RATE
1192,2948,218,52,5,30,0,1179,0,HIGH_RATE
5210,2948,128,52,10,2,1170395,5193,1,HIGH_RATE
6586,2948,105,52,9,2,1090999,6572,1,HIGH_RATE
2244,2948,195,52,5,2,0,2237,0,HIGH_RATE
83,2948,532,52,2,8,9524975,78,0,HIGH_RATE
10817,2332,37,52,7,2,0,10812,1,HIGH_RATE
2021,2948,181,52,6,2,0,2008,0,HIGH_RATE
8270,2788,49,52,7,32,0,8266,1,HIGH_RATE
1738,2948,265,52,6,2,0,1718,0,HIGH_RATE
2362,2948,151,52,5,31,1147278,2356,0,HIGH_RATE
4709,2948,124,52,10,2,1168849,4691,1,HIGH_RATE
10785,1828,26,52,7,28,0,10782,1,HIGH_RATE
2285,2948,136,52,5,32,1150746,2278,0,HIGH_RATE
2592,2632,66,52,24,2,0,2588,1,HIGH_RATE
