% isAttack HIGH_RATE:	1533
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,7,21,26,30,40'

@attribute total_fvolume numeric
@attribute max_fpktl numeric
@attribute duration numeric
@attribute min_idle numeric
@attribute sflow_fpackets numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
58296,472,5963040,1036526,436,HIGH_RATE
59556,232,1616654,0,922,HIGH_RATE
502584,424,25605200,0,7792,HIGH_RATE
106108,1500,7222416,0,1598,HIGH_RATE
341852,352,16182419,0,5289,HIGH_RATE
17308,172,1432874,0,269,HIGH_RATE
333304,316,18495153,0,5153,HIGH_RATE
12460,196,2217855,0,191,HIGH_RATE
24132,100,724648,0,376,HIGH_RATE
4464,64,1075129,0,70,HIGH_RATE
79200,340,2147409,0,1228,HIGH_RATE
1264,64,80255,0,20,HIGH_RATE
326664,388,16419403,0,5056,HIGH_RATE
71632,292,5890774,0,1082,HIGH_RATE
7400,100,1897633,0,114,HIGH_RATE
36128,1072,12749488,1948018,265,HIGH_RATE
252136,460,16871462,0,3887,HIGH_RATE
364084,1500,20507867,0,5552,HIGH_RATE
379844,1500,21536270,0,5775,HIGH_RATE
104116,304,7798263,0,1595,HIGH_RATE
135544,1492,8633964,0,2033,HIGH_RATE
107912,496,7821216,0,1644,HIGH_RATE
105300,256,4503144,0,1636,HIGH_RATE
34000,196,11433566,1418243,172,HIGH_RATE
27156,328,11338360,4363883,200,HIGH_RATE
29480,196,12308037,1387435,151,HIGH_RATE
15428,148,2093595,0,240,HIGH_RATE
239944,484,16435340,0,3686,HIGH_RATE
490672,316,24584444,0,7601,HIGH_RATE
151252,424,4668885,0,2321,HIGH_RATE
8084,196,1816991,0,123,HIGH_RATE
70680,304,7783813,1192428,548,HIGH_RATE
337096,388,15685502,0,5192,HIGH_RATE
108300,496,7995952,0,1642,HIGH_RATE
123036,1500,8541847,0,1840,HIGH_RATE
29836,316,10731338,1946794,220,HIGH_RATE
103732,640,8269364,0,1559,HIGH_RATE
111208,496,7996117,0,1691,HIGH_RATE
24104,220,12300302,1053698,92,HIGH_RATE
137532,1456,8331015,0,2056,HIGH_RATE
212964,484,16454704,0,3268,HIGH_RATE
63788,340,5704094,0,972,HIGH_RATE
26996,256,13619847,1425074,137,HIGH_RATE
43328,292,6564503,1240167,336,HIGH_RATE
119632,1500,8409015,0,1778,HIGH_RATE
29512,400,13661462,1327429,150,HIGH_RATE
13380,148,1467912,0,208,HIGH_RATE
333064,232,16158994,0,5156,HIGH_RATE
104552,1500,8640017,0,1548,HIGH_RATE
31012,196,12726531,1419037,157,HIGH_RATE
65744,292,6423493,0,990,HIGH_RATE
328444,256,15769692,0,5084,HIGH_RATE
112436,1500,7940608,0,1680,HIGH_RATE
100716,1500,8564335,0,1492,HIGH_RATE
360024,316,19498765,0,5560,HIGH_RATE
356572,328,9742240,0,5534,HIGH_RATE
111304,1468,8248111,0,1646,HIGH_RATE
388148,400,21030029,0,6009,HIGH_RATE
5332,208,231246,0,80,HIGH_RATE
92544,496,7708071,0,1390,HIGH_RATE
22236,172,3265078,0,346,HIGH_RATE
37580,256,13723791,3937782,289,HIGH_RATE
124784,640,8653799,0,1908,HIGH_RATE
69684,340,5899016,0,1057,HIGH_RATE
202256,280,8767608,0,3141,HIGH_RATE
42848,100,13948544,3938234,333,HIGH_RATE
308064,388,16568620,0,4753,HIGH_RATE
35200,292,12461365,1946422,265,HIGH_RATE
24480,160,13208023,1429488,125,HIGH_RATE
130812,316,4986050,0,2026,HIGH_RATE
329408,388,16147025,0,5085,HIGH_RATE
298832,316,16561972,0,4623,HIGH_RATE
78204,292,5882234,0,1186,HIGH_RATE
65804,340,5738651,0,996,HIGH_RATE
10092,184,1831128,0,154,HIGH_RATE
301076,208,16163554,0,4665,HIGH_RATE
16092,172,1440708,0,250,HIGH_RATE
122236,1500,8187266,0,1829,HIGH_RATE
105100,640,8372991,0,1583,HIGH_RATE
81160,1500,28290361,1003322,160,HIGH_RATE
30408,352,11145093,1991060,227,HIGH_RATE
63932,340,5773500,0,966,HIGH_RATE
542552,364,27136495,0,8403,HIGH_RATE
8416,88,1944587,0,131,HIGH_RATE
33848,1500,11431325,1144093,140,HIGH_RATE
34308,172,12095382,1876239,174,HIGH_RATE
28084,304,5111883,1233869,217,HIGH_RATE
585204,280,28168652,0,9073,HIGH_RATE
77032,1500,25361213,1346193,173,HIGH_RATE
29208,244,13016870,1418978,148,HIGH_RATE
9772,196,1907273,0,149,HIGH_RATE
33228,208,23356492,1283709,62,HIGH_RATE
179400,40,29325947,0,4485,HIGH_RATE
117480,40,28248724,1002580,734,HIGH_RATE
236760,40,28820330,1151280,1479,HIGH_RATE
176800,40,29370397,0,4420,HIGH_RATE
280200,40,28822443,1151289,1751,HIGH_RATE
107400,40,23481726,1010415,537,HIGH_RATE
198360,40,9642057,0,4959,HIGH_RATE
235040,40,28820005,1171235,1958,HIGH_RATE
616600,40,29672326,0,15415,HIGH_RATE
763600,40,30326448,0,19090,HIGH_RATE
120520,40,28360143,1367156,1506,HIGH_RATE
265120,40,28565534,1173882,2209,HIGH_RATE
184480,40,29370207,0,4612,HIGH_RATE
86280,40,22377920,1106069,719,HIGH_RATE
131000,40,27116141,1111927,1637,HIGH_RATE
192560,40,9652161,0,4814,HIGH_RATE
401000,40,29360989,0,10025,HIGH_RATE
721160,40,29956269,0,18029,HIGH_RATE
700240,40,29955681,0,17506,HIGH_RATE
119200,40,28354983,1231989,993,HIGH_RATE
270920,40,28805244,1171371,2257,HIGH_RATE
