% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,9,17,20,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute srv_count numeric
@attribute dst_host_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
udp,10,10,0,udpFlood
tcp,188,98,0,httpFlood
tcp,174,33,0,httpFlood
tcp,179,33,0,httpFlood
tcp,841,100,0,httpFlood
tcp,146,100,0,httpFlood
tcp,101,100,0,httpFlood
tcp,163,100,0,httpFlood
tcp,622,99,0,httpFlood
udp,138,13,0,udpFlood
tcp,157,100,0,httpFlood
tcp,789,100,0,httpFlood
tcp,173,100,0,httpFlood
tcp,173,100,0,httpFlood
tcp,148,100,0,httpFlood
udp,87,42,0,udpFlood
tcp,423,100,0,httpFlood
tcp,201,86,0.34,httpFlood
udp,87,42,0,udpFlood
udp,104,40,0,udpFlood
tcp,424,100,0,httpFlood
tcp,176,33,0,httpFlood
tcp,150,100,0,httpFlood
tcp,248,100,0,httpFlood
tcp,169,100,0,httpFlood
tcp,747,100,0,httpFlood
tcp,108,100,0,httpFlood
tcp,71,98,0,httpFlood
udp,117,33,0,udpFlood
tcp,151,100,0,httpFlood
tcp,838,100,0,httpFlood
tcp,376,100,0,httpFlood
tcp,356,100,0,httpFlood
tcp,180,33,0,httpFlood
tcp,148,100,0,httpFlood
udp,86,43,0,udpFlood
tcp,99,9,0,httpFlood
tcp,933,100,0,httpFlood
tcp,692,99,0,httpFlood
tcp,152,100,0,httpFlood
tcp,544,100,0,httpFlood
tcp,124,100,0,httpFlood
tcp,119,31,0,httpFlood
udp,86,41,0,udpFlood
tcp,521,100,0,httpFlood
tcp,163,100,0,httpFlood
tcp,139,100,0,httpFlood
tcp,50,94,0,httpFlood
udp,91,42,0,udpFlood
tcp,12,12,0,httpFlood
tcp,489,100,0,httpFlood
tcp,147,100,0,httpFlood
tcp,156,100,0,httpFlood
tcp,866,100,0,httpFlood
tcp,6,6,0,httpFlood
