% isAttack slowRead:	1333
% isAttack slowHeaders:	1333
% isAttack slowBody:	1333
@relation 'Slowrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,9,11,15,18,20,23-24,27'

@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {slowRead,slowHeaders,slowBody}

@data
OTH,98,0,176,0,0,50,0,0,0,slowHeaders
S1,222,0,250,1,0,99,0,1,1,slowHeaders
S1,296,0,423,1,0,100,0,1,1,slowHeaders
OTH,60,0,6,0,0,25,0,0,0,slowHeaders
OTH,112,0,97,0,0,50,0,0,0,slowHeaders
S1,370,0,75,0.97,0,100,0,0.8,0.8,slowHeaders
S1,370,0,328,0.38,0,100,0,0.98,0.98,slowHeaders
S1,370,0,221,1,0,100,0,1,1,slowHeaders
RSTO,1072,1019,133,0,0,100,0,0,0,slowHeaders
S1,370,0,93,0.98,0,100,0,0.98,0.98,slowHeaders
RSTO,1094,1019,151,0.64,0,100,0,0.49,0.49,slowHeaders
OTH,66,0,483,0,0,100,0,0,0,slowHeaders
OTH,66,0,333,0,0,77,0,0,0,slowHeaders
OTH,78,0,188,0,0,50,0,0,0,slowHeaders
RSTO,1210,1024,390,0.4,0,100,0,0.72,0.72,slowHeaders
S1,370,0,89,0.97,0,100,0,0.88,0.88,slowHeaders
RSTO,915,953,84,0,0,93,0,0,0,slowHeaders
S1,74,0,157,0.98,0,100,0,1,1,slowHeaders
OTH,112,0,176,0,0,50,0,0,0,slowHeaders
S1,821,206,398,1,0,100,0,1,1,slowHeaders
S1,370,0,405,0.4,0,100,0,0.57,0.57,slowHeaders
OTH,60,0,724,0,0,49,0,0,0,slowHeaders
OTH,109,0,117,0,0,50,0,0,0,slowHeaders
S1,296,0,504,1,0,99,0,1,1,slowHeaders
S1,370,0,18,0.83,0,100,0,0.17,0.17,slowHeaders
OTH,60,0,1036,0,0,44,0,0,0,slowHeaders
OTH,60,0,844,0,0,48,0,0,0,slowHeaders
S1,370,0,642,0.56,0,100,0,0.97,0.97,slowHeaders
S1,400,140,696,1,0,99,0,1,1,slowHeaders
S1,370,0,248,0.17,0,100,0,0.43,0.43,slowHeaders
OTH,54,0,3,0,0,16,0,0,0,slowHeaders
S1,74,0,495,1,0,99,0,1,1,slowHeaders
S1,222,0,561,1,0,100,0,1,1,slowHeaders
S1,400,140,120,1,0.01,99,0,1,1,slowHeaders
S1,370,0,274,0.25,0,100,0,0.68,0.68,slowHeaders
S1,400,140,19,1,0.05,92,0.01,0.97,0.98,slowHeaders
S1,370,0,223,1,0,100,0,1,1,slowHeaders
S1,74,0,125,0.98,0,100,0,1,1,slowHeaders
OTH,123,0,168,0,0,50,0,0,0,slowHeaders
RSTO,908,953,171,0,0,100,0,0,0,slowHeaders
OTH,122,0,134,0,0,50,0,0,0,slowHeaders
S1,370,0,274,0.87,0,100,0,0.85,0.85,slowHeaders
S1,74,0,489,1,0,99,0,1,1,slowHeaders
OTH,74,0,26,0,0,55,0,0,0,slowHeaders
OTH,66,0,521,0,0,100,0,0,0,slowHeaders
RSTO,979,953,113,0,0,100,0,0,0,slowHeaders
RSTO,942,953,20,0,0,51,0,0,0,slowHeaders
S1,370,0,501,0.51,0,100,0,1,1,slowHeaders
OTH,66,0,394,0,0,85,0,0,0,slowHeaders
OTH,106,0,261,0,0,50,0,0,0,slowHeaders
RSTO,901,953,77,0,0,91,0,0,0,slowHeaders
OTH,125,0,165,0,0,50,0,0,0,slowHeaders
OTH,91,0,219,0,0,50,0,0,0,slowHeaders
OTH,102,0,178,0,0,50,0,0,0,slowHeaders
OTH,75,0,219,0,0,50,0,0,0,slowHeaders
OTH,60,0,651,0,0,50,0,0,0,slowHeaders
OTH,101,0,267,0,0,50,0,0,0,slowHeaders
RSTO,983,953,145,0,0,100,0,0,0,slowHeaders
S1,148,0,116,0.9,0,100,0,1,1,slowHeaders
OTH,60,0,1052,0,0,53,0,0,0,slowHeaders
S1,665,140,160,0.99,0.01,100,0,1,1,slowHeaders
OTH,93,0,231,0,0,50,0,0,0,slowRead
S1,665,140,170,0.99,0.01,100,0,1,1,slowHeaders
S1,370,0,941,1,0,100,0,1,1,slowRead
S1,736,206,15,1,0.06,65,0.02,0.23,0.23,slowRead
RSTO,897,1019,87,0,0,95,0,0,0,slowHeaders
S1,370,0,830,0.66,0,100,0,0.95,0.95,slowRead
RSTO,1256,1820,347,0,0,100,0,0,0,slowRead
S1,370,0,564,1,0,100,0,1,1,slowRead
OTH,66,0,479,0,0,100,0,0,0,slowHeaders
OTH,66,0,429,0,0,83,0,0,0,slowRead
S1,370,0,347,0.42,0,100,0,1,1,slowHeaders
S1,296,0,463,1,0,100,0,1,1,slowRead
S1,222,0,435,1,0,100,0,1,1,slowHeaders
OTH,60,0,877,0,0,43,0,0,0,slowRead
OTH,123,0,166,0,0,50,0,0,0,slowRead
S1,370,0,683,1,0,100,0,1,1,slowRead
OTH,97,0,155,0,0,50,0,0,0,slowHeaders
OTH,80,0,87,0,0,50,0,0,0,slowRead
OTH,120,0,129,0,0,50,0,0,0,slowHeaders
S1,370,0,330,0.88,0,100,0,0.6,0.6,slowHeaders
OTH,60,0,1053,0,0,52,0,0,0,slowRead
OTH,102,0,221,0,0,50,0,0,0,slowHeaders
RSTO,1078,1820,163,0,0,100,0,0,0,slowRead
OTH,60,0,956,0,0,30,0,0,0,slowRead
S1,370,0,37,1,0,100,0,0.37,0.37,slowHeaders
S1,74,0,346,1,0,100,0,1,1,slowHeaders
OTH,60,0,287,0,0,51,0,0,0,slowRead
S1,222,0,86,0.76,0,98,0,0.66,0.66,slowRead
S1,370,0,298,0.32,0,100,0,0.96,0.96,slowHeaders
S1,296,0,534,1,0,100,0,1,1,slowRead
S1,370,0,303,0.24,0,100,0,0.74,0.74,slowHeaders
OTH,60,0,634,0,0,48,0,0,0,slowHeaders
S1,296,0,97,1,0,98,0,1,1,slowRead
S1,296,0,157,1,0,100,0,1,1,slowRead
S1,400,140,181,1,0.01,99,0,1,1,slowHeaders
OTH,66,0,533,0,0,94,0,0,0,slowRead
