% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,12,21,27'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,OTH,3459,0,0.07,normal
0,OTH,5762,0,0.02,normal
0,SF,2133,0,0,normal
0,S3,2927,0,0,normal
0,SF,3098,0,0,normal
0,SF,1952,0,0,normal
0,SF,3523,0,0,normal
0,OTH,4372,0,0.07,normal
0,SF,2253,0,0,normal
0,OTH,3156,0,0.12,normal
0,SF,2989,0,0,normal
0,OTH,3266,0,0.02,normal
0,SF,3238,0,0,normal
0,SF,5662,0,0,normal
0,SF,2531,0,0,normal
0,SF,3901,0,0,normal
0,OTH,2930,0,0.04,normal
0,SF,3883,0,0,normal
0,OTH,2880,0,0.01,normal
0,SF,2112,0,0,normal
1,SF,2963,0,0,normal
0,S3,1739,0,0,normal
0,SF,3045,0,0,normal
0,OTH,3661,0,0.05,normal
0,OTH,3306,0,0.02,normal
0,SF,1737,0,0,normal
0,OTH,5211,0,0.14,normal
0,SF,3331,0,0,normal
0,SF,2168,0,0,normal
0,SF,3081,0,0,normal
0,S2,1927,0,0,normal
0,SF,1853,0,0,normal
0,SF,2150,0,0,normal
0,SF,2066,0,0,normal
0,SF,2235,0,0,normal
0,OTH,6134,0,0.11,normal
0,SF,1188,0,0,normal
0,OTH,3282,0,0.01,normal
0,OTH,2954,0,0.02,normal
0,OTH,3186,0,0,normal
0,OTH,5892,0,0.09,normal
0,OTH,3117,0,0.2,normal
0,OTH,6264,0,0.08,normal
0,SF,4091,0,0,normal
0,OTH,5512,0,0.05,normal
0,OTH,4904,0,0.14,normal
0,SF,2393,0,0,normal
0,SF,2519,0,0,normal
0,OTH,3368,0,0.11,normal
0,SF,2555,0,0,normal
0,SF,4251,0,0,normal
0,OTH,3777,0,0,normal
0,OTH,5902,0,0.11,normal
0,SF,3386,0,0,normal
0,OTH,3666,0,0.07,normal
0,OTH,3834,0,0.18,normal
0,SF,2512,0,0,normal
0,SF,3371,0,0,normal
0,OTH,3600,0,0.07,normal
0,SF,804,0,0,normal
0,SF,2238,0,0,normal
