@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4,9,11,13,15,16,17,22,23,24,25,30,31,32,33,36,37-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, normal:normal, normal:normal, normal:normal, normal:normal, normal:normal, normal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowHeaders:attack, slowRead:attack'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_f_bytes numeric
@attribute pps_f numeric
@attribute bps_f numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute isAttack {normal,attack,slowRead,tcpFlood,udpFlood,httpFlood}

@data
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.105963,22,2,92,18.874557,868.22961,46,46,46,0,0.105963,0.105963,0.105963,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.104182,22,2,92,19.197217,883.071991,46,46,46,0,0.104182,0.104182,0.104182,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.033027,22,2,92,60.557073,2785.625365,46,46,46,0,0.033027,0.033027,0.033027,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.02803,22,2,92,71.352937,3282.235087,46,46,46,0,0.02803,0.02803,0.02803,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.110143,22,2,92,18.158261,835.279991,46,46,46,0,0.110143,0.110143,0.110143,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.03556,22,2,92,56.242762,2587.167067,46,46,46,0,0.03556,0.03556,0.03556,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.108575,22,2,92,18.42051,847.343445,46,46,46,0,0.108575,0.108575,0.108575,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.107927,22,2,92,18.531071,852.42925,46,46,46,0,0.107927,0.107927,0.107927,0,0,0,normal
0.10901,22,2,92,18.347024,843.963107,46,46,46,0,0.10901,0.10901,0.10901,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.112352,22,2,92,17.801251,818.857535,46,46,46,0,0.112352,0.112352,0.112352,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.026768,22,2,92,74.716831,3436.974206,46,46,46,0,0.026768,0.026768,0.026768,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.030385,22,2,92,65.82243,3027.831799,46,46,46,0,0.030385,0.030385,0.030385,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.026593,22,2,92,75.206498,3459.498911,46,46,46,0,0.026593,0.026593,0.026593,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.036134,22,2,92,55.34916,2546.061363,46,46,46,0,0.036134,0.036134,0.036134,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.035465,22,2,92,56.393624,2594.106715,46,46,46,0,0.035465,0.035465,0.035465,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.108807,22,2,92,18.381236,845.536865,46,46,46,0,0.108807,0.108807,0.108807,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000014,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.032598,22,2,92,61.352525,2822.216137,46,46,46,0,0.032598,0.032598,0.032598,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.033195,22,2,92,60.249571,2771.480259,46,46,46,0,0.033195,0.033195,0.033195,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.031939,22,2,92,62.618843,2880.466756,46,46,46,0,0.031939,0.031939,0.031939,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.10473,22,2,92,19.096745,878.450262,46,46,46,0,0.10473,0.10473,0.10473,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.027527,22,2,92,72.656319,3342.190687,46,46,46,0,0.027527,0.027527,0.027527,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.030912,22,2,92,64.698957,2976.152033,46,46,46,0,0.030912,0.030912,0.030912,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.104019,22,2,92,19.227314,884.456453,46,46,46,0,0.104019,0.104019,0.104019,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.029391,22,2,92,68.049029,3130.255352,46,46,46,0,0.029391,0.029391,0.029391,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000004,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
0.036739,22,2,92,54.438605,2504.175842,46,46,46,0,0.036739,0.036739,0.036739,0,0,0,normal
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,normal
