% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,25,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_rerror_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,SF,734,3015,47,47,0,normal
tcp,SF,946,2316,100,100,0,normal
tcp,OTH,66,3615,38,38,0,normal
tcp,OTH,66,3076,43,43,0,normal
tcp,SF,946,1865,94,94,0,normal
tcp,OTH,66,4913,78,78,0,normal
tcp,OTH,66,4416,43,43,0,normal
tcp,SF,946,4231,95,95,0,normal
tcp,OTH,66,4746,42,42,0,normal
tcp,SF,946,2531,100,100,0,normal
tcp,OTH,66,5982,32,32,0,normal
tcp,OTH,66,2864,50,50,0,normal
tcp,SF,946,3539,100,100,0,normal
tcp,S2,1024,3615,100,100,0,normal
tcp,SF,946,1973,100,100,0,normal
tcp,SF,946,2337,78,78,0,normal
tcp,OTH,66,5109,42,42,0,normal
tcp,OTH,66,3268,35,35,0,normal
tcp,OTH,66,5784,41,41,0,normal
tcp,SF,946,3428,95,95,0,normal
tcp,SF,946,2778,100,100,0,normal
tcp,S1,140,2986,100,100,0,normal
tcp,OTH,66,4679,32,32,0,normal
tcp,OTH,66,2999,45,45,0,normal
tcp,SF,946,2285,100,100,0,normal
tcp,SF,1024,2786,89,89,0,normal
tcp,OTH,66,3358,48,48,0,normal
tcp,SF,946,1479,100,100,0,normal
tcp,OTH,66,2905,49,49,0,normal
tcp,OTH,66,3850,49,49,0,normal
tcp,OTH,66,2766,47,47,0,normal
tcp,SF,1024,3017,55,55,0,normal
tcp,OTH,66,3945,18,18,0,normal
tcp,OTH,66,2142,52,52,0,normal
tcp,SF,946,2021,86,86,0,normal
tcp,OTH,66,4980,33,33,0,normal
tcp,OTH,66,5076,25,25,0,normal
tcp,SF,946,2533,100,100,0,normal
tcp,OTH,66,4883,48,48,0,normal
tcp,SF,946,2114,100,100,0,normal
tcp,OTH,78,5993,50,50,0,normal
tcp,SF,946,3098,85,85,0,normal
tcp,OTH,66,5510,100,100,0,normal
tcp,RSTR,286,3342,100,100,0,normal
tcp,OTH,146,3316,47,47,0,normal
tcp,SF,946,1548,100,100,0,normal
tcp,OTH,66,3185,43,43,0,normal
tcp,SF,946,1943,100,100,0,normal
tcp,OTH,146,3535,45,45,0,normal
tcp,OTH,66,4059,37,37,0,normal
tcp,OTH,66,5084,42,42,0,normal
tcp,OTH,66,4937,59,59,0,normal
tcp,OTH,146,4073,34,34,0,normal
tcp,SF,946,2413,100,100,0,normal
tcp,SF,946,2251,100,100,0,normal
tcp,SF,946,1926,100,100,0,normal
tcp,OTH,66,5701,31,31,0,normal
tcp,OTH,66,3261,47,47,0,normal
tcp,OTH,66,3948,68,68,0,normal
tcp,OTH,66,5147,49,49,0,normal
tcp,SF,946,2139,100,100,0,normal
