% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R7,11-12,18,21,26,30,32,40'

@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute mean_biat numeric
@attribute duration numeric
@attribute min_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_bpackets numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
1756,566,7,3372,19157706,0,11144,5681,tcpFlood
2680,566,6,2918,19179658,0,11982,6572,tcpFlood
2128,80,6,20336,20885159,0,2361,1028,tcpFlood
2104,80,6,16760,15055587,0,1805,899,tcpFlood
2596,566,11,9209,25502136,1110578,2549,1324,tcpFlood
2948,72,5,17736,14523188,1147266,1156,371,tcpFlood
2036,72,5,15537,9807761,0,1255,632,tcpFlood
2356,566,7,3408,18166743,0,10921,5331,tcpFlood
1936,72,5,7416,8622490,1017768,85,49,tcpFlood
64,566,6,2459,15294985,0,11814,6219,tcpFlood
2212,566,9,4455,12788675,0,6778,2866,tcpFlood
1500,60,0,0,31439450,1887961,2,0,tcpFlood
1888,80,5,27161,22326469,0,1965,823,tcpFlood
2200,80,6,20686,18183184,0,2098,880,tcpFlood
1996,80,5,20461,18149710,0,2080,888,tcpFlood
1288,566,4,1424,18993306,0,14552,13331,tcpFlood
2948,80,6,18481,12569590,0,1471,681,tcpFlood
2948,566,11,6899,18004650,1184753,2339,1220,tcpFlood
2428,80,4,8178,22679089,0,4978,2774,tcpFlood
2948,566,10,6256,17586190,1155638,2398,1314,tcpFlood
1500,566,9,4660,13537425,0,7408,2906,tcpFlood
2068,80,5,17000,10438446,0,1225,615,tcpFlood
2948,566,9,8551,30010008,1107195,3089,1688,tcpFlood
2948,80,6,17712,10910943,0,1177,617,tcpFlood
2948,586,13,8205,23070225,3024934,949,643,tcpFlood
2248,80,6,20768,19294342,0,2153,930,tcpFlood
2948,566,7,5789,31078680,1082911,5156,2589,tcpFlood
2948,566,10,5632,18886487,1143667,2892,1576,tcpFlood
1924,72,5,15901,14476021,1148392,1214,412,tcpFlood
1500,72,5,11263,2763732,0,444,246,tcpFlood
2800,566,8,3059,12360402,0,7339,4040,tcpFlood
2692,566,8,4337,17222436,0,8410,3971,tcpFlood
2368,566,8,4646,17345107,0,8177,3734,tcpFlood
1720,566,14,11356,17722340,1090221,1567,733,tcpFlood
1500,566,14,4009,5391132,0,3030,1344,tcpFlood
1828,566,18,6655,5392399,0,2417,811,tcpFlood
2948,566,12,9536,18904142,1116981,1724,933,tcpFlood
1912,566,15,11796,16744755,1105402,1426,663,tcpFlood
1732,566,13,3750,5392657,0,3182,1439,tcpFlood
2948,566,10,5373,18371787,1224259,2965,1557,tcpFlood
2872,566,10,7883,22286657,0,4641,2828,tcpFlood
2948,566,9,5463,18927893,1182632,2971,1625,tcpFlood
2948,72,5,18506,23565739,1633627,293,141,tcpFlood
1804,566,10,7376,21826072,0,4922,2960,tcpFlood
2764,566,8,4597,17371883,0,8720,3779,tcpFlood
2800,566,6,3024,19157514,0,11641,6335,tcpFlood
2512,566,11,9123,22428462,1124742,2207,1168,tcpFlood
2824,566,6,3063,17608647,0,10850,5746,tcpFlood
2948,80,5,21825,21192738,0,2355,972,tcpFlood
328,72,4,6283,601655,0,189,96,tcpFlood
2948,80,5,18686,9742079,0,900,522,tcpFlood
1500,60,0,0,9791772,2657688,2,0,tcpFlood
76,566,9,2454,15631038,0,12115,6369,tcpFlood
328,60,0,0,6341874,1635992,6,0,tcpFlood
2948,72,6,18510,10939853,0,1269,592,tcpFlood
2536,566,13,3651,5378494,0,2960,1474,tcpFlood
2948,566,10,8676,26615859,1105613,2702,1470,tcpFlood
2236,566,9,4176,13775743,0,8035,3299,tcpFlood
2512,566,7,5101,31624516,1174472,5533,2984,tcpFlood
2200,80,6,18721,11500196,0,1184,615,tcpFlood
1500,80,6,16217,12392314,0,1726,765,tcpFlood
1500,80,6,17072,14872397,1093706,936,404,tcpFlood
2452,566,10,8155,24548823,1111505,2489,1437,tcpFlood
2812,566,10,7800,23112955,1116629,2507,1410,tcpFlood
1672,80,6,20928,13373365,0,1380,640,tcpFlood
1500,80,5,15725,14505266,1147883,1269,417,tcpFlood
760,566,4,1506,20356957,0,15370,13510,tcpFlood
1768,566,6,3315,19036470,0,11898,5740,tcpFlood
2948,80,5,23594,20763358,0,2074,881,tcpFlood
1804,566,7,3560,18242939,0,11498,5125,tcpFlood
2948,72,5,20885,18149431,0,2161,870,tcpFlood
2948,566,18,17145,15522845,1082859,966,421,tcpFlood
2948,80,5,20210,14478133,1146253,1176,324,tcpFlood
2948,566,7,5469,31055564,1117647,5474,2732,tcpFlood
2948,72,5,18244,14521062,1148401,1081,360,tcpFlood
2716,566,8,3198,11890408,0,6992,3718,tcpFlood
2320,566,7,3449,17927914,0,10958,5198,tcpFlood
2948,566,10,7849,26234715,1107413,2933,1601,tcpFlood
2948,578,10,7698,27704803,1082970,3082,1713,tcpFlood
1500,80,5,17126,14549009,1144395,1162,392,tcpFlood
2948,80,5,18773,15052707,1084382,875,371,tcpFlood
2948,72,6,21119,13081374,0,1452,620,tcpFlood
2948,72,6,18911,15187072,0,1689,804,tcpFlood
2948,566,7,5318,31104903,1100189,5343,2821,tcpFlood
1500,60,0,0,9662884,1694895,2,0,tcpFlood
2524,80,6,16575,11328543,0,1279,684,tcpFlood
1924,80,5,14012,6140042,0,987,439,tcpFlood
1500,566,9,4157,12799138,0,7570,3078,tcpFlood
2284,566,9,4286,12788291,0,7423,2984,tcpFlood
1840,566,14,3999,5361896,0,2964,1341,tcpFlood
2332,566,10,6539,18498229,1168140,2563,1326,tcpFlood
2776,566,8,3174,11379040,0,6699,3585,tcpFlood
2948,566,10,5637,18662041,1145860,2909,1554,tcpFlood
1552,72,6,15471,4796124,0,653,311,tcpFlood
76,566,6,2510,14030160,0,10557,5590,tcpFlood
2948,80,6,18028,14531131,1148078,1249,365,tcpFlood
2948,566,15,12661,17658750,1082243,1378,653,tcpFlood
2948,72,5,17473,14795306,0,1834,846,tcpFlood
1500,72,5,10332,2318839,0,485,225,tcpFlood
1500,80,5,13952,5232088,0,849,376,tcpFlood
2948,566,11,6679,17974003,1145527,2303,1260,tcpFlood
2836,80,6,23845,19243011,0,2027,808,tcpFlood
2128,72,5,16302,13649784,0,1968,838,tcpFlood
2236,80,6,21600,20995487,0,2212,973,tcpFlood
2416,566,9,4263,13532850,0,7189,3175,tcpFlood
2584,566,10,7325,22532021,0,4925,3077,tcpFlood
2948,80,6,20762,19246819,0,2105,928,tcpFlood
2548,80,6,15827,10054773,0,1289,636,tcpFlood
2164,80,6,16735,8186015,0,1068,490,tcpFlood
2512,566,7,3570,19147263,0,11801,5363,tcpFlood
2948,80,6,23557,18728412,0,1821,796,tcpFlood
2948,566,10,6080,18979059,1169653,2704,1465,tcpFlood
2948,80,5,17687,9414562,0,970,533,tcpFlood
2948,566,7,3672,18144670,0,11172,4940,tcpFlood
2572,72,5,24509,22254424,0,2113,909,tcpFlood
2272,566,9,4190,13758907,0,8217,3284,tcpFlood
2860,566,7,2951,13569684,0,8301,4598,tcpFlood
1936,80,6,22785,20826401,0,2104,915,tcpFlood
2452,80,5,17744,14973183,1081900,945,391,tcpFlood
2144,72,5,17650,14538706,1148250,1142,373,tcpFlood
1500,566,13,3713,5385102,0,3004,1451,tcpFlood
2848,566,7,3014,16135610,0,9707,5354,tcpFlood
2948,566,10,5913,17963465,1128604,2665,1424,tcpFlood
1500,60,0,0,25535802,2497490,1,0,tcpFlood
1500,566,13,3891,5366227,0,2910,1380,tcpFlood
88,72,6,1710,65011,0,43,39,tcpFlood
1500,566,6,3011,20200942,0,12545,6708,tcpFlood
2948,566,8,6000,30639021,1090272,4120,2461,tcpFlood
2948,566,17,14528,15953758,1117785,1269,511,tcpFlood
1996,72,5,19005,11107164,0,1135,585,tcpFlood
2948,72,5,18173,12012654,0,1224,662,tcpFlood
2488,566,7,4712,31009453,1082960,5694,3174,tcpFlood
304,60,0,0,14717122,1028088,3,0,tcpFlood
2948,80,6,21448,21427451,0,2375,1000,tcpFlood
2948,566,8,4556,17322982,0,8434,3803,tcpFlood
2056,578,12,7715,16769064,0,3306,2171,tcpFlood
1500,60,0,0,26523185,1637818,2,0,tcpFlood
2948,72,5,18374,14046742,0,1764,765,tcpFlood
1500,566,7,2990,13534119,0,8300,4526,tcpFlood
2948,566,7,5324,31197386,1082466,5610,2828,tcpFlood
2948,566,9,5764,18918126,1129731,2975,1544,tcpFlood
2948,80,6,24373,20254427,0,2051,832,tcpFlood
2948,80,6,17018,11161575,0,1339,655,tcpFlood
244,60,0,0,13024010,1149345,4,0,tcpFlood
2948,566,8,4831,18410374,0,8977,3811,tcpFlood
2948,566,11,9334,22604927,1116095,2191,1151,tcpFlood
2320,566,9,4303,13753003,0,7908,3194,tcpFlood
1500,80,6,16257,14122124,1148013,1227,398,tcpFlood
2948,566,11,7995,18229508,1158903,1928,1068,tcpFlood
2948,566,10,8349,26458976,1096516,2856,1518,tcpFlood
2948,72,5,21684,18172007,0,2046,839,tcpFlood
2948,80,6,19875,14079733,0,1598,709,tcpFlood
2948,566,11,6922,18319366,1179100,2468,1239,tcpFlood
2548,80,6,22428,19434898,0,1958,867,tcpFlood
2948,80,6,15991,13012137,0,1901,814,tcpFlood
1500,72,5,12730,3765543,0,683,296,tcpFlood
2948,566,9,4924,17235240,0,8520,3501,tcpFlood
1792,566,8,3554,14396463,0,8906,4050,tcpFlood
2948,566,12,8948,20599979,1111033,1988,1088,tcpFlood
2948,566,6,2567,20212328,1074678,6024,3558,tcpFlood
2548,72,5,16589,9426521,1032428,569,253,tcpFlood
2176,566,10,7474,22801084,1114041,2603,1451,tcpFlood
2260,566,9,4101,12677289,0,7306,3092,tcpFlood
1500,60,0,0,16357220,1029273,2,0,tcpFlood
2948,566,11,7009,18087773,1144658,2419,1209,tcpFlood
2728,566,7,3007,13559027,0,8231,4509,tcpFlood
2948,566,9,5129,16399495,0,7245,3198,tcpFlood
1500,72,5,17047,14048093,1150701,1078,377,tcpFlood
2948,566,10,6071,19104248,1181574,2804,1477,tcpFlood
2948,566,7,5580,30976035,1102472,5326,2677,tcpFlood
2428,80,6,21584,20872427,0,2222,968,tcpFlood
2716,566,6,2899,19164676,0,12118,6610,tcpFlood
2300,566,9,5461,19371519,1202227,3080,1664,tcpFlood
2948,566,8,4793,17358932,0,8812,3622,tcpFlood
1528,566,4,1408,18991101,1004365,6863,6384,tcpFlood
1480,60,0,0,6753378,1018222,2,0,tcpFlood
2948,80,5,11973,16348235,1104354,1404,637,tcpFlood
2948,566,10,6132,18150993,1101424,1510,850,tcpFlood
1736,80,6,18388,11015535,0,1178,600,tcpFlood
1500,60,0,0,6537114,1022845,2,0,tcpFlood
2948,566,7,4863,31289333,1100918,6321,3104,tcpFlood
2948,72,5,19276,14561290,1145082,1236,342,tcpFlood
2948,80,6,27164,22301822,0,2046,822,tcpFlood
2836,566,6,2824,19187969,0,11682,6794,tcpFlood
2948,80,5,18521,10353616,0,1048,560,tcpFlood
2948,566,9,4202,13776390,0,7848,3279,tcpFlood
1500,566,7,3488,19079986,0,11364,5470,tcpFlood
1500,80,5,18727,14985077,1081202,880,371,tcpFlood
2260,80,6,22693,20810365,0,2257,918,tcpFlood
2152,80,5,14604,10531803,0,1551,720,tcpFlood
2948,80,5,17910,10970659,0,1192,613,tcpFlood
2948,566,10,5941,18669299,1170395,2605,1473,tcpFlood
2948,578,9,7598,28856543,1090999,3293,1828,tcpFlood
2948,72,5,22418,21230212,0,2244,948,tcpFlood
2948,64,2,12416,31032970,1887519,20,12,tcpFlood
2332,566,7,3323,18016076,0,10817,5422,tcpFlood
2948,80,6,20874,18160720,0,2021,871,tcpFlood
2788,566,7,2961,13544388,0,8270,4574,tcpFlood
2948,72,6,27543,21428581,0,1738,779,tcpFlood
2948,80,5,18485,14541306,1147278,1181,356,tcpFlood
2948,578,10,6313,17983018,1168849,2354,1332,tcpFlood
1828,566,7,3380,17940997,0,10785,5306,tcpFlood
2948,80,5,17866,14501223,1150746,1142,373,tcpFlood
2632,566,24,11721,5392079,0,2592,461,tcpFlood
2500,80,6,19635,21029230,0,2799,1072,tcpFlood
2524,566,9,5671,19373576,1154595,2973,1606,tcpFlood
2164,566,10,6014,19307981,1203116,2878,1506,tcpFlood
2948,566,10,8068,25334263,1108812,2808,1502,tcpFlood
2948,578,9,5230,19342305,1128602,2986,1741,tcpFlood
2948,566,7,3400,18974824,0,10928,5581,tcpFlood
2948,566,14,10846,17583446,1122749,1437,759,tcpFlood
2284,80,6,17325,11525678,0,1510,666,tcpFlood
2192,72,6,20003,13362094,0,1447,669,tcpFlood
1852,566,10,5971,17327856,1168032,2802,1354,tcpFlood
64,566,7,2490,12168922,0,9152,4886,tcpFlood
2948,72,6,16246,9293033,0,1228,573,tcpFlood
2948,80,5,17592,24559622,1007521,227,130,tcpFlood
2500,566,8,4666,18436856,0,9059,3952,tcpFlood
2948,80,5,17037,16020559,1027318,482,232,tcpFlood
280,60,0,0,2483801,1007702,8,0,tcpFlood
2080,72,5,23001,21391104,0,2372,931,tcpFlood
2948,566,8,4555,17369116,0,8959,3814,tcpFlood
2824,566,7,2970,14758909,0,9293,4969,tcpFlood
2392,566,7,3359,19097342,0,11194,5686,tcpFlood
2296,80,6,24366,20321990,0,2059,835,tcpFlood
1348,60,0,0,7611662,1005567,2,0,tcpFlood
2632,578,14,11792,18082225,1119919,1432,720,tcpFlood
2948,566,10,6105,18029283,1126209,2531,1384,tcpFlood
1672,566,8,3517,14388062,0,9140,4090,tcpFlood
2728,80,6,21403,18128569,0,2104,848,tcpFlood
2284,80,5,17472,11497145,0,1541,659,tcpFlood
532,72,6,16930,4220837,0,603,250,tcpFlood
2692,566,6,2924,19150330,0,11957,6550,tcpFlood
2224,80,6,22013,20318797,0,2399,924,tcpFlood
1500,566,8,3584,14380462,0,9065,4011,tcpFlood
340,60,0,0,672537,0,15,1,tcpFlood
2428,566,10,5570,15826100,0,4131,2842,tcpFlood
2296,566,12,8050,24070898,1020031,772,523,tcpFlood
2948,566,7,5177,31083386,1081900,5140,2894,tcpFlood
2248,566,13,3871,5384657,0,3020,1391,tcpFlood
2564,80,6,20701,21156432,0,2558,1023,tcpFlood
2752,566,6,2883,19166692,0,11792,6649,tcpFlood
1500,60,0,0,26526286,8190072,3,0,tcpFlood
760,566,4,1512,20359828,0,15398,13460,tcpFlood
2948,80,6,17200,12712465,1642975,703,321,tcpFlood
544,80,6,13849,6844047,0,1226,495,tcpFlood
2948,566,11,7442,17949223,1147676,2099,1129,tcpFlood
1876,80,6,16504,10841011,0,1305,656,tcpFlood
2020,80,6,24142,21197370,0,1988,879,tcpFlood
2948,566,8,5721,31140740,1084406,4740,2627,tcpFlood
1500,566,13,3614,5365860,0,2963,1485,tcpFlood
2948,80,5,20815,14538104,1145768,1080,316,tcpFlood
2948,566,9,4360,13751995,0,7712,3154,tcpFlood
2948,80,4,5345,30465003,1088518,4751,2746,tcpFlood
2644,566,7,2958,14755339,0,9369,4988,tcpFlood
2948,80,5,21371,21039309,1014167,350,161,tcpFlood
328,-1,0,0,20330165,7758169,1,0,tcpFlood
1876,566,9,4203,12783663,0,7545,3042,tcpFlood
2948,80,6,23948,20858794,0,1937,872,tcpFlood
2924,80,6,21417,20881891,0,2217,976,tcpFlood
2948,566,12,8729,15825098,0,2660,1813,tcpFlood
2704,566,10,5799,18390032,1182512,2858,1484,tcpFlood
2948,566,8,5664,31176411,1081125,4650,2656,tcpFlood
2896,566,10,7368,23098801,1100536,2567,1493,tcpFlood
2948,72,5,19072,14537638,0,1621,763,tcpFlood
88,566,5,1567,11590754,0,8631,7397,tcpFlood
1780,566,7,3372,19079913,0,11715,5659,tcpFlood
2764,72,6,21166,21060501,0,2190,996,tcpFlood
2188,578,10,5615,19105882,1181955,3081,1596,tcpFlood
2788,566,6,2883,18641816,0,11469,6466,tcpFlood
2948,80,5,17108,12663252,1146855,997,330,tcpFlood
2948,80,5,23154,20515077,0,2106,887,tcpFlood
1500,566,7,3491,18986475,0,11446,5439,tcpFlood
1500,64,1,3937,5309865,0,2932,1349,tcpFlood
2896,566,7,2940,15083872,0,8662,5131,tcpFlood
1500,72,5,13560,4569932,0,715,338,tcpFlood
2948,72,6,27639,38398634,1445556,414,163,tcpFlood
1500,80,6,12953,5023697,0,849,387,tcpFlood
64,60,0,0,28348909,4030227,1,0,tcpFlood
2500,80,6,19730,21368171,0,2446,1084,tcpFlood
2728,566,9,3024,18147179,0,10679,5999,tcpFlood
2524,566,10,6447,17970806,1200983,2839,1301,tcpFlood
2248,566,8,4703,17305707,0,8586,3680,tcpFlood
2948,80,6,21861,21249171,0,2319,973,tcpFlood
2948,80,5,17686,14112061,1147292,969,360,tcpFlood
2948,80,6,16656,14531247,1147718,1282,395,tcpFlood
2344,566,11,7827,16711189,0,3041,2136,tcpFlood
3076,566,8,5735,31142601,1096338,4580,2620,tcpFlood
64,566,7,2508,12580114,0,9413,5015,tcpFlood
2296,80,6,19128,17464127,0,2232,914,tcpFlood
1948,72,5,16882,11671797,0,1543,692,tcpFlood
1500,80,6,15442,7648427,0,1144,496,tcpFlood
2948,566,11,8702,22251276,1096548,2297,1216,tcpFlood
2704,72,6,22302,21209361,0,2503,952,tcpFlood
1912,566,8,4679,17232896,0,8763,3684,tcpFlood
1516,566,9,4206,12787365,0,7648,3037,tcpFlood
2848,566,7,3013,13545319,0,8182,4496,tcpFlood
2684,566,10,4312,11049343,0,6046,2563,tcpFlood
2948,566,17,16221,15784602,1082207,1027,453,tcpFlood
2948,566,13,10064,18264188,1094432,1548,851,tcpFlood
1500,80,6,14855,9405871,0,1496,634,tcpFlood
2200,80,5,16035,9579652,0,1275,598,tcpFlood
1780,566,9,5673,19304875,1131808,3023,1602,tcpFlood
2044,566,14,11524,17773306,1123330,1467,723,tcpFlood
2948,566,7,5415,31039173,1081026,4962,2764,tcpFlood
1500,566,10,4106,10589317,0,6247,2579,tcpFlood
2948,80,5,17934,14530803,1150750,1218,372,tcpFlood
2948,80,6,22789,19598668,0,1987,861,tcpFlood
1500,80,5,17007,14533041,1148825,1142,387,tcpFlood
2812,566,8,3141,11791149,0,6831,3752,tcpFlood
2404,566,9,4383,13703445,0,7860,3122,tcpFlood
2948,72,5,19489,13081216,0,1349,672,tcpFlood
2948,566,7,5562,31539753,1081882,5715,2737,tcpFlood
2788,566,6,3018,20171951,0,12245,6683,tcpFlood
2948,566,8,4926,18379174,0,8714,3731,tcpFlood
2948,566,8,6221,31240859,1168849,4167,2360,tcpFlood
2948,566,9,7152,30380439,1103175,3912,2047,tcpFlood
1744,566,13,3681,5364496,0,2967,1458,tcpFlood
2948,566,10,6100,19361435,1131621,2725,1495,tcpFlood
1984,566,10,4273,10120228,0,5864,2369,tcpFlood
2740,566,8,4667,17083312,0,8617,3661,tcpFlood
1500,60,0,0,8830762,1731429,2,0,tcpFlood
1600,72,5,8858,1899301,0,427,214,tcpFlood
2948,566,10,6297,18368337,1181855,2808,1365,tcpFlood
2008,72,5,16926,11244542,0,1461,665,tcpFlood
2584,566,9,7447,30466172,1147952,3493,1954,tcpFlood
2948,566,9,5621,18905269,1169494,2774,1578,tcpFlood
2948,80,6,20783,13059586,0,1223,628,tcpFlood
1972,566,9,5337,18948558,1174626,3055,1666,tcpFlood
2948,566,14,11340,16976241,1129535,1318,699,tcpFlood
2480,566,11,6367,17918031,1202398,2527,1313,tcpFlood
2948,566,11,8511,23237788,1107766,2269,1300,tcpFlood
2948,566,7,5419,31003852,1203624,5407,2749,tcpFlood
2948,72,5,16527,12152470,0,1476,736,tcpFlood
2948,80,6,22628,22243944,0,2419,984,tcpFlood
328,-1,0,0,24847883,11615728,1,0,tcpFlood
1660,566,7,3474,19078952,0,11415,5492,tcpFlood
2080,72,5,15164,6873958,0,1066,454,tcpFlood
2368,80,6,21018,20073055,0,2307,956,tcpFlood
316,60,0,0,6787715,1695191,5,0,tcpFlood
2948,578,12,9586,20216026,1112453,1709,996,tcpFlood
1780,566,13,3693,5385552,0,3103,1459,tcpFlood
2320,566,7,3452,18155909,0,10766,5257,tcpFlood
2948,80,5,16798,14521361,1147441,1158,391,tcpFlood
280,60,0,0,1472573,0,15,1,tcpFlood
1500,566,13,3945,5365985,0,2989,1361,tcpFlood
2948,566,10,5892,18201512,1202775,2891,1443,tcpFlood
2948,566,7,5098,31127507,1108651,5193,2833,tcpFlood
2948,566,10,6356,18078325,1142795,2655,1333,tcpFlood
2948,72,5,16907,14963269,0,1992,886,tcpFlood
2948,566,17,15264,15920100,1103942,1028,486,tcpFlood
71,-1,0,0,10014543,1555062,1,0,tcpFlood
2596,566,9,4064,13778600,0,8116,3390,tcpFlood
2948,80,5,20269,14054985,0,1460,694,tcpFlood
2692,80,5,22178,21025416,0,2234,949,tcpFlood
2764,566,6,2906,17101087,0,10480,5885,tcpFlood
2948,80,6,18630,15062445,0,1661,809,tcpFlood
1500,60,0,0,18551420,1015610,2,0,tcpFlood
316,60,0,0,3150630,1663239,8,0,tcpFlood
2948,566,9,5540,19074236,1128835,3095,1620,tcpFlood
1500,80,5,19053,14377348,1148424,1086,341,tcpFlood
748,566,4,1506,20350472,0,15360,13512,tcpFlood
2740,566,8,2736,20194059,0,12313,7380,tcpFlood
2948,586,12,9737,20784946,1118155,1851,1010,tcpFlood
2560,80,6,21253,18129271,0,2037,854,tcpFlood
2132,566,10,6993,22750829,0,5653,3254,tcpFlood
64,566,7,2500,13143293,0,9880,5257,tcpFlood
2164,72,5,13644,3784892,0,536,278,tcpFlood
1948,80,5,15279,11482071,0,1491,752,tcpFlood
2948,566,18,16721,15449374,1133025,940,429,tcpFlood
2200,80,6,17444,13362795,0,1556,767,tcpFlood
4396,566,9,5348,16013674,0,7164,2995,tcpFlood
340,60,0,0,6604498,1657315,6,0,tcpFlood
2948,566,11,8144,22301601,1672045,1995,1246,tcpFlood
2948,80,6,16183,13562161,0,1883,839,tcpFlood
1996,80,6,22705,22296688,0,2191,983,tcpFlood
1888,566,9,5274,18936459,1157717,3199,1686,tcpFlood
2488,80,6,21454,20832772,0,2337,972,tcpFlood
2512,566,7,5488,31049003,1083813,5051,2731,tcpFlood
2948,566,12,9745,21753918,1109171,1979,1060,tcpFlood
2188,586,14,11648,18535335,1100939,1387,749,tcpFlood
2948,566,9,7622,27123778,1089247,3342,1708,tcpFlood
2948,566,10,4098,11207633,0,6529,2735,tcpFlood
