% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {highrate,lowrate}

@data
udp,OTH,60,117,117,0,33,33,highrate
udp,OTH,60,105,105,0,33,33,highrate
udp,OTH,60,111,111,0,34,34,highrate
udp,OTH,60,41,41,0,36,36,highrate
udp,OTH,60,86,86,0,40,40,highrate
udp,OTH,60,66,66,0,26,26,highrate
udp,OTH,60,116,116,0,33,33,highrate
udp,OTH,60,6,6,0,6,6,highrate
udp,OTH,60,138,138,0,15,15,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,96,96,0,43,43,highrate
udp,OTH,60,128,128,0,33,33,highrate
udp,OTH,60,116,116,0,34,34,highrate
udp,OTH,60,136,136,0,33,33,highrate
udp,OTH,60,160,160,0,33,33,highrate
udp,OTH,60,141,141,0,34,34,highrate
udp,OTH,60,131,131,0,33,33,highrate
udp,OTH,60,130,130,0,33,33,highrate
udp,OTH,60,115,115,0,34,34,highrate
udp,OTH,60,105,105,0,33,33,highrate
udp,OTH,60,130,130,0,33,33,highrate
udp,OTH,60,97,97,0,43,43,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,2,2,0,2,2,highrate
udp,OTH,60,125,125,0,33,33,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,137,137,0,11,11,highrate
udp,OTH,60,120,120,0,33,33,highrate
udp,OTH,60,141,141,0,25,25,highrate
udp,OTH,60,37,37,0,34,34,highrate
udp,OTH,60,72,72,0,28,28,highrate
udp,OTH,60,61,61,0,25,25,highrate
udp,OTH,60,104,104,0,34,34,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,101,101,0,40,40,highrate
udp,OTH,60,110,110,0,33,33,highrate
udp,OTH,60,34,34,0,31,31,highrate
udp,OTH,60,135,135,0,33,33,highrate
udp,OTH,60,105,105,0,40,40,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,159,159,0,33,33,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,115,115,0,33,33,highrate
udp,OTH,60,141,141,0,27,27,highrate
udp,OTH,60,38,38,0,35,35,highrate
udp,OTH,60,15,15,0,15,15,highrate
udp,OTH,60,35,35,0,32,32,highrate
udp,OTH,60,113,113,0,33,33,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,114,114,0,33,33,highrate
udp,OTH,60,162,162,0,33,33,highrate
udp,OTH,60,0,0,0,0,0,highrate
udp,OTH,60,115,115,0,37,37,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,146,146,0,33,33,highrate
udp,OTH,60,43,43,0,32,32,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,82,82,0,38,38,highrate
udp,OTH,60,105,105,0,34,34,highrate
udp,OTH,60,158,158,0,33,33,highrate
udp,OTH,60,125,125,0,33,33,highrate
udp,OTH,60,110,110,0,33,33,highrate
udp,OTH,60,84,84,0,40,40,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,140,140,0,33,33,highrate
udp,OTH,60,119,119,0,33,33,highrate
udp,OTH,60,45,45,0,22,22,highrate
udp,OTH,60,93,93,0,42,42,highrate
udp,OTH,60,47,47,0,22,22,highrate
