% isAttack normal:	2000
% isAttack attack:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,16,18,20-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,66,4955,0,57,0,0.02,0,normal
tcp,SF,946,2243,0,100,0,0,0,normal
tcp,OTH,66,3140,0,39,0,0,0,normal
tcp,OTH,78,5813,0,50,0,0.08,0,normal
tcp,S3,880,1674,0,100,0,0,0,normal
tcp,SF,1024,3832,0,54,0,0,0,normal
tcp,OTH,66,4935,0,45,0,0.11,0,normal
tcp,SF,946,3062,0,24,0,0,0,normal
tcp,OTH,78,5701,0,45,0,0,0,normal
tcp,SF,946,2599,0,100,0,0,0,normal
tcp,SF,946,2968,0,63,0,0,0,normal
tcp,SF,880,3348,0,93,0,0,0,normal
tcp,S1,218,2462,0,100,0,0,0,normal
tcp,OTH,66,3430,0,47,0,0.08,0,normal
tcp,OTH,66,3142,0,50,0,0.02,0,normal
tcp,OTH,66,4051,0,99,0,0.08,0,normal
tcp,OTH,78,5515,0,81,0,0,0,normal
tcp,SF,946,1939,0,100,0,0,0,normal
tcp,OTH,66,3286,0,69,0,0,0,normal
tcp,SF,946,3042,0,88,0,0,0,normal
tcp,OTH,66,3483,0,60,0,0,0,normal
tcp,OTH,66,3201,0,49,0,0.06,0,normal
tcp,OTH,78,4813,0,44,0,0,0,normal
tcp,OTH,146,2521,0,44,0,0.02,0,normal
tcp,OTH,66,2494,0,34,0,0,0,normal
tcp,SF,946,2222,0,100,0,0,0,normal
tcp,OTH,146,2618,0,41,0,0,0,normal
tcp,SF,1120,2613,0,100,0,0,0,normal
tcp,OTH,66,4192,0,45,0,0.13,0,normal
tcp,SF,946,2225,0,100,0,0,0,normal
tcp,S1,74,2830,0,100,0,0,0,normal
tcp,SF,946,2515,0,94,0,0,0,normal
tcp,SF,946,3521,0,100,0,0,0,normal
tcp,SF,946,1525,0,100,0,0,0,normal
tcp,SF,946,2222,0,100,0,0,0,normal
tcp,SF,880,2201,0,100,0,0,0,normal
tcp,SF,946,2228,0,100,0,0,0,normal
tcp,OTH,66,2903,0,49,0,0.14,0,normal
tcp,SF,946,1899,0,100,0,0,0,normal
tcp,SF,946,4252,0,73,0,0,0,normal
tcp,SF,946,2155,0,98,0,0,0,normal
tcp,SF,946,3998,0,95,0,0,0,normal
tcp,SF,946,1140,0,100,0,0,0,normal
tcp,SF,1024,2725,0,72,0,0,0,normal
tcp,SF,946,2012,0,100,0,0,0,normal
tcp,OTH,66,2883,0,45,0,0,0,normal
tcp,SF,946,4468,0,55,0,0,0,normal
tcp,OTH,66,3848,0,44,0,0.18,0,normal
tcp,OTH,66,3031,0,58,0,0,0,normal
tcp,SF,946,2250,0,100,0,0,0,normal
tcp,SF,946,3348,0,96,0,0,0,normal
tcp,OTH,66,3393,0,42,0,0,0,normal
tcp,OTH,66,4874,0,57,0,0.16,0,normal
tcp,OTH,66,4042,0,44,0,0.2,0,normal
tcp,SF,946,2062,0,100,0,0,0,normal
tcp,SF,946,3916,0,69,0,0,0,normal
tcp,SF,946,2157,0,100,0,0,0,normal
tcp,SF,946,2853,0,63,0,0,0,normal
tcp,OTH,66,6211,0,52,0,0,0,normal
tcp,OTH,66,3146,0,41,0,0.12,0,normal
tcp,S1,286,1611,0,100,0,0,0,normal
tcp,SF,946,2026,0,100,0,0,0,normal
tcp,OTH,66,3299,0,36,0,0.03,0,normal
tcp,SF,946,2189,0,41,0,0,0,normal
tcp,OTH,66,2953,0,38,0,0,0,normal
tcp,SF,946,1827,0,100,0,0,0,normal
tcp,SF,946,1931,0,100,0,0,0,normal
tcp,SF,946,2050,0,100,0,0,0,normal
tcp,SF,946,2130,0,100,0,0,0,normal
tcp,OTH,66,3343,0,49,0,0.06,0,normal
tcp,SF,1012,2040,0,100,0,0,0,normal
tcp,OTH,66,2726,0,42,0,0.09,0,normal
tcp,SF,946,1940,0,100,0,0,0,normal
tcp,OTH,66,4974,0,28,0,0,0,normal
tcp,SF,946,2390,0,98,0,0,0,normal
tcp,OTH,66,3393,0,52,0,0.15,0,normal
tcp,OTH,66,2830,0,45,0,0.09,0,normal
