% isAttack normal:	2000
% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,9,18-19,21,24,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
OTH,66,5109,49,1,0.16,0,normal
SF,946,2123,86,1,0,0,normal
OTH,66,2193,55,1,0.09,0,normal
SF,880,2274,100,1,0,0,normal
OTH,66,5733,41,1,0.05,0,normal
SF,946,3318,100,1,0,0,normal
OTH,66,4926,37,1,0.21,0,normal
SF,946,2078,100,1,0,0,normal
SF,946,3948,100,1,0,0,normal
SF,946,1861,92,1,0,0,normal
SF,946,1867,100,1,0,0,normal
SF,946,2192,100,1,0,0,normal
OTH,66,4129,100,1,0,0,normal
OTH,66,6303,50,1,0.12,0,normal
SF,946,3509,100,1,0,0,normal
SF,946,2240,100,1,0,0,normal
SF,946,3305,92,1,0,0,normal
SF,946,3915,100,1,0,0,normal
OTH,66,3143,39,1,0.07,0,normal
SF,946,1974,100,1,0,0,normal
SF,946,3265,94,1,0,0,normal
SF,946,2275,100,1,0,0,normal
OTH,66,5666,51,1,0,0,normal
OTH,66,2553,39,1,0.17,0,normal
OTH,66,2979,50,1,0.08,0,normal
S1,286,3052,100,1,0,0.7,normal
OTH,78,3130,94,1,0,0,normal
SF,946,2079,100,1,0,0,normal
SF,946,3369,100,1,0,0,normal
SF,946,4044,100,1,0,0,normal
OTH,66,5845,42,1,0.02,0,normal
SF,946,1950,91,1,0,0,normal
SF,946,460,100,1,0,0,normal
SF,946,2066,100,1,0,0,normal
OTH,66,4954,51,1,0.08,0,normal
SF,946,4046,100,1,0,0,normal
OTH,66,4151,88,1,0.03,0,normal
SF,946,3221,98,1,0,0,normal
OTH,66,1948,46,1,0.11,0,normal
SF,946,1853,100,1,0,0,normal
SF,946,2094,100,1,0,0,normal
SF,946,1953,97,1,0,0,normal
SF,946,4008,100,1,0,0,normal
SF,946,3335,100,1,0,0,normal
S2,734,2373,100,1,0,1,normal
SF,880,3072,65,1,0,0,normal
OTH,66,4967,52,1,0,0,normal
OTH,66,2871,48,1,0.04,0,normal
OTH,66,3625,42,1,0,0,normal
SF,946,3718,100,1,0,0,normal
SF,946,2858,100,1,0,0,normal
SF,946,2172,98,1,0,0,normal
OTH,66,3547,53,1,0.02,0,normal
SF,946,45,45,1,0,0,normal
OTH,66,5119,44,1,0.04,0,normal
SF,946,2678,95,1,0,0,normal
SF,946,3927,100,1,0,0,normal
OTH,66,5257,33,1,0.15,0,normal
OTH,66,3790,100,1,0,0,normal
OTH,66,2946,55,1,0.14,0,normal
OTH,78,1570,100,1,0.01,0,normal
