% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
tcp,374,129,httpFlood
tcp,374,133,httpFlood
tcp,60,55,httpFlood
tcp,245,1037,httpFlood
tcp,377,848,httpFlood
tcp,66,22,httpFlood
tcp,60,139,httpFlood
udp,60,125,udpFlood
tcp,60,180,httpFlood
tcp,60,142,httpFlood
tcp,446,505,httpFlood
tcp,377,692,httpFlood
tcp,374,143,httpFlood
tcp,374,100,httpFlood
tcp,446,646,httpFlood
tcp,60,148,httpFlood
tcp,60,177,httpFlood
tcp,374,125,httpFlood
tcp,60,166,httpFlood
tcp,446,520,httpFlood
tcp,377,886,httpFlood
tcp,446,498,httpFlood
tcp,374,145,httpFlood
tcp,374,356,httpFlood
tcp,374,105,httpFlood
tcp,374,147,httpFlood
tcp,377,338,httpFlood
tcp,380,753,httpFlood
tcp,242,183,httpFlood
tcp,380,942,httpFlood
tcp,66,109,httpFlood
tcp,380,980,httpFlood
tcp,374,136,httpFlood
udp,60,154,udpFlood
tcp,377,790,httpFlood
tcp,446,792,httpFlood
tcp,374,275,httpFlood
tcp,242,165,httpFlood
tcp,377,758,httpFlood
tcp,446,814,httpFlood
tcp,248,193,httpFlood
tcp,374,88,httpFlood
tcp,60,143,httpFlood
tcp,66,52,httpFlood
tcp,377,990,httpFlood
tcp,377,693,httpFlood
tcp,242,181,httpFlood
tcp,60,178,httpFlood
tcp,374,195,httpFlood
tcp,374,116,httpFlood
tcp,374,160,httpFlood
tcp,374,150,httpFlood
tcp,60,177,httpFlood
tcp,66,278,httpFlood
tcp,392,776,httpFlood
udp,60,107,udpFlood
tcp,66,171,httpFlood
tcp,242,153,httpFlood
tcp,377,806,httpFlood
tcp,374,305,httpFlood
tcp,377,393,httpFlood
tcp,374,144,httpFlood
udp,60,106,udpFlood
tcp,374,148,httpFlood
tcp,374,52,httpFlood
udp,60,98,udpFlood
tcp,377,864,httpFlood
tcp,374,155,httpFlood
tcp,446,543,httpFlood
tcp,66,131,httpFlood
tcp,60,174,httpFlood
tcp,374,106,httpFlood
tcp,377,1021,httpFlood
udp,60,114,udpFlood
tcp,377,658,httpFlood
udp,60,109,udpFlood
tcp,60,178,httpFlood
tcp,377,998,httpFlood
tcp,374,433,httpFlood
tcp,242,448,httpFlood
tcp,66,15,httpFlood
tcp,66,40,httpFlood
tcp,446,743,httpFlood
udp,60,93,udpFlood
tcp,60,178,httpFlood
tcp,377,723,httpFlood
tcp,374,20,httpFlood
tcp,374,406,httpFlood
tcp,66,263,httpFlood
tcp,386,130,httpFlood
tcp,60,174,httpFlood
tcp,242,151,httpFlood
tcp,374,158,httpFlood
tcp,377,524,httpFlood
tcp,60,138,httpFlood
tcp,377,527,httpFlood
tcp,377,669,httpFlood
tcp,377,379,httpFlood
tcp,374,153,httpFlood
tcp,374,173,httpFlood
udp,60,138,udpFlood
tcp,374,146,httpFlood
tcp,374,150,httpFlood
tcp,374,114,httpFlood
udp,60,131,udpFlood
udp,60,148,udpFlood
tcp,242,166,httpFlood
tcp,377,484,httpFlood
tcp,374,146,httpFlood
tcp,66,207,httpFlood
udp,60,108,udpFlood
tcp,60,1,httpFlood
tcp,60,174,httpFlood
tcp,377,590,httpFlood
tcp,386,131,httpFlood
tcp,374,35,httpFlood
tcp,374,443,httpFlood
tcp,374,143,httpFlood
tcp,66,138,httpFlood
tcp,374,148,httpFlood
tcp,374,147,httpFlood
udp,60,142,udpFlood
tcp,446,572,httpFlood
tcp,377,374,httpFlood
tcp,377,328,httpFlood
udp,60,13,udpFlood
tcp,374,124,httpFlood
tcp,374,307,httpFlood
tcp,60,178,httpFlood
tcp,386,140,httpFlood
tcp,446,445,httpFlood
tcp,377,924,httpFlood
tcp,377,705,httpFlood
tcp,374,37,httpFlood
