% isAttack HIGH_RATE:	1333
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,8,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
OTH,78,0,1375,HIGH_RATE
OTH,78,0,1435,HIGH_RATE
OTH,78,0,960,HIGH_RATE
OTH,78,0,1929,HIGH_RATE
OTH,78,0,770,HIGH_RATE
OTH,78,0,5997,HIGH_RATE
OTH,78,0,5321,HIGH_RATE
OTH,78,0,3336,HIGH_RATE
OTH,78,0,2751,HIGH_RATE
OTH,78,0,1814,HIGH_RATE
OTH,78,0,1812,HIGH_RATE
OTH,78,0,4460,HIGH_RATE
OTH,78,0,1271,HIGH_RATE
OTH,78,0,4942,HIGH_RATE
OTH,78,0,539,HIGH_RATE
OTH,78,0,4976,HIGH_RATE
OTH,78,0,4678,HIGH_RATE
OTH,78,0,431,HIGH_RATE
OTH,78,0,4717,HIGH_RATE
OTH,78,0,4735,HIGH_RATE
OTH,78,0,978,HIGH_RATE
OTH,78,0,4339,HIGH_RATE
OTH,78,0,2357,HIGH_RATE
OTH,78,0,4851,HIGH_RATE
OTH,78,0,2748,HIGH_RATE
OTH,78,0,677,HIGH_RATE
OTH,78,0,1874,HIGH_RATE
OTH,78,0,5514,HIGH_RATE
OTH,78,0,786,HIGH_RATE
OTH,78,0,3869,HIGH_RATE
OTH,78,0,2050,HIGH_RATE
OTH,78,0,6070,HIGH_RATE
OTH,78,0,1158,HIGH_RATE
OTH,78,0,5025,HIGH_RATE
OTH,78,0,6006,HIGH_RATE
OTH,78,0,1255,HIGH_RATE
OTH,78,0,504,HIGH_RATE
OTH,78,0,472,HIGH_RATE
OTH,78,0,6002,HIGH_RATE
OTH,78,0,1118,HIGH_RATE
OTH,78,0,3609,HIGH_RATE
OTH,78,0,24,HIGH_RATE
OTH,78,0,4760,HIGH_RATE
OTH,78,0,1365,HIGH_RATE
OTH,78,0,3727,HIGH_RATE
OTH,78,0,5400,HIGH_RATE
OTH,78,0,4145,HIGH_RATE
OTH,78,0,5369,HIGH_RATE
OTH,78,0,999,HIGH_RATE
OTH,78,0,758,HIGH_RATE
OTH,78,0,3386,HIGH_RATE
OTH,78,0,1982,HIGH_RATE
OTH,78,0,5433,HIGH_RATE
OTH,78,0,2296,HIGH_RATE
OTH,78,0,4758,HIGH_RATE
OTH,78,0,1430,HIGH_RATE
OTH,78,0,2270,HIGH_RATE
OTH,78,0,6062,HIGH_RATE
OTH,78,0,2843,HIGH_RATE
OTH,78,0,1217,HIGH_RATE
OTH,78,0,3622,HIGH_RATE
OTH,78,0,6219,HIGH_RATE
OTH,78,0,1468,HIGH_RATE
OTH,78,0,5779,HIGH_RATE
OTH,78,0,2793,HIGH_RATE
