% isAttack normal:	2000
% isAttack attack:	1866
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6,21,27-28,40'

@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute duration numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute isAttack {normal,attack}

@data
75,0,75,75,0,0,0,normal
68,0,68,68,0,0,0,normal
131,0,131,131,0,0,0,normal
126,0,126,126,0,0,0,normal
129,0,129,129,0,0,0,normal
90,0,90,90,0,0,0,normal
118,0,118,118,0,0,0,normal
128,0,128,128,0,0,0,normal
116,0,116,116,0,0,0,normal
63,0,63,63,0,0,0,normal
94,0,94,94,0,0,0,normal
174,0,174,174,0,0,0,normal
129,0,129,129,0,0,0,normal
300,0,300,300,0,0,0,normal
48,0,48,48,0,0,0,normal
92,0,92,92,0,0,0,normal
88,0,88,88,0,0,0,normal
434,0,129,144,8019402,4009701,5779198,normal
90,0,90,90,0,0,0,normal
90,0,90,90,0,0,0,normal
62,0,62,62,0,0,0,normal
127,0,127,127,0,0,0,normal
305,0,129,152,3098046,3098046,3098046,normal
74,0,74,74,0,0,0,normal
48,0,48,48,0,0,0,normal
72,0,72,72,0,0,0,normal
754,0,754,754,0,0,0,normal
116,0,58,58,3118516,3118516,3118516,normal
232,0,232,232,0,0,0,normal
240,0,80,80,4008227,2004113,2008874,normal
92,0,92,92,0,0,0,normal
126,0,126,126,0,0,0,normal
48,0,48,48,0,0,0,normal
174,0,174,174,0,0,0,normal
14840,0,1484,1484,87692,0,0,normal
129,0,129,129,0,0,0,normal
126,0,126,126,0,0,0,normal
44,0,44,44,0,0,0,normal
126,0,126,126,0,0,0,normal
92,0,92,92,0,0,0,normal
92,0,92,92,0,0,0,normal
48,0,48,48,0,0,0,normal
48,0,48,48,0,0,0,normal
255,0,255,255,0,0,0,normal
30,0,30,30,0,0,0,normal
71,0,71,71,0,0,0,normal
122,0,122,122,0,0,0,normal
93,0,93,93,0,0,0,normal
88,0,44,44,1270238,1270238,1270238,normal
44,0,44,44,0,0,0,normal
998,0,998,998,0,0,0,normal
129,0,129,129,0,0,0,normal
85,0,85,85,0,0,0,normal
141,0,141,141,0,0,0,normal
129,0,129,129,0,0,0,normal
131,0,131,131,0,0,0,normal
58,0,58,58,0,0,0,normal
116,0,58,58,3663234,3663234,3663234,normal
698,0,698,698,0,0,0,normal
390,0,130,130,6079133,3039566,4046572,normal
174,0,58,58,9590084,4795042,6171846,normal
262,0,131,131,3914969,3914969,3914969,normal
132,0,44,44,1088247,1085451,1085451,normal
229,0,229,229,0,0,0,normal
134,0,134,134,0,0,0,normal
1848,0,268,308,7755474,3101665,3110353,normal
82,0,82,82,0,0,0,normal
69,0,69,69,0,0,0,normal
730,0,730,730,0,0,0,normal
551,0,121,183,808937,0,0,normal
129,0,129,129,0,0,0,normal
77,0,77,77,0,0,0,normal
44,0,44,44,0,0,0,normal
126,0,126,126,0,0,0,normal
126,0,126,126,0,0,0,normal
285,0,285,285,0,0,0,normal
116,0,116,116,0,0,0,normal
300,0,300,300,0,0,0,normal
30,0,30,30,0,0,0,normal
152,0,152,152,0,0,0,normal
97,0,97,97,0,0,0,normal
73,0,73,73,0,0,0,normal
96,0,48,48,0,0,0,normal
97,0,97,97,0,0,0,normal
131,0,131,131,0,0,0,normal
71,0,71,71,0,0,0,normal
126,0,126,126,0,0,0,normal
44,0,44,44,0,0,0,normal
134,0,134,134,0,0,0,normal
58,0,58,58,0,0,0,normal
176,0,44,44,252311,0,0,normal
186,0,93,93,7424336,7424336,7424336,normal
145,0,145,145,0,0,0,normal
1108,0,1108,1108,0,0,0,normal
66,0,66,66,0,0,0,normal
58,0,58,58,0,0,0,normal
48,0,48,48,0,0,0,normal
92,0,92,92,0,0,0,normal
97,0,97,97,0,0,0,normal
126,0,126,126,0,0,0,normal
172,0,172,172,0,0,0,normal
90,0,90,90,0,0,0,normal
46,0,46,46,0,0,0,normal
64,0,64,64,0,0,0,normal
104,0,104,104,0,0,0,normal
92,0,92,92,0,0,0,normal
126,0,126,126,0,0,0,normal
11616,0,1452,1452,4762,0,0,normal
129,0,129,129,0,0,0,normal
300,0,300,300,0,0,0,normal
106,0,48,53,3360815,3360815,3360815,normal
44,0,44,44,0,0,0,normal
126,0,126,126,0,0,0,normal
921,0,48,131,608623,0,0,normal
64,0,32,32,5024324,5024324,5024324,normal
126,0,126,126,0,0,0,normal
47522,0,116,252,10441150,0,0,normal
1108,0,1108,1108,0,0,0,normal
126,0,126,126,0,0,0,normal
184,0,92,92,1989934,1989934,1989934,normal
48,0,48,48,0,0,0,normal
44,0,44,44,0,0,0,normal
876,0,876,876,0,0,0,normal
596,0,596,596,0,0,0,normal
126,0,126,126,0,0,0,normal
114,0,114,114,0,0,0,normal
129,0,129,129,0,0,0,normal
126,0,126,126,0,0,0,normal
213,0,213,213,0,0,0,normal
36523,0,164,344,9560179,0,0,normal
387,0,129,129,4770485,2385242,3240512,normal
64,0,64,64,0,0,0,normal
78,0,78,78,0,0,0,normal
318,0,125,159,376609,0,0,normal
70,0,70,70,0,0,0,normal
176,0,176,176,0,0,0,normal
222,0,222,222,0,0,0,normal
92,0,92,92,0,0,0,normal
1136,0,41,81,10077272,1775027,2005717,normal
144939,0,129,674,10372831,0,0,normal
174,0,58,58,3014944,1507472,1964159,normal
88,0,44,44,24884,0,0,normal
1192,0,596,596,929832,0,0,normal
1108,0,1108,1108,0,0,0,normal
44,0,44,44,0,0,0,normal
73,0,73,73,0,0,0,normal
71,0,71,71,0,0,0,normal
161,0,161,161,0,0,0,normal
95,0,95,95,0,0,0,normal
73,0,73,73,0,0,0,normal
169,0,169,169,0,0,0,normal
126,0,126,126,0,0,0,normal
46,0,46,46,0,0,0,normal
126,0,126,126,0,0,0,normal
72,0,72,72,0,0,0,normal
1060,0,1060,1060,0,0,0,normal
15650,0,107,200,10422287,1001077,1001077,normal
177,0,59,59,1019998,0,0,normal
145,0,145,145,0,0,0,normal
132,0,44,44,30896,0,0,normal
150,0,150,150,0,0,0,normal
281,0,281,281,0,0,0,normal
145,0,145,145,0,0,0,normal
30,0,30,30,0,0,0,normal
88,0,44,44,29375,0,0,normal
44,0,44,44,0,0,0,normal
116,0,116,116,0,0,0,normal
122,0,122,122,0,0,0,normal
126,0,126,126,0,0,0,normal
689,0,48,49,10157705,1796216,1855999,normal
138,0,138,138,0,0,0,normal
116,0,116,116,0,0,0,normal
132,0,132,132,0,0,0,normal
116,0,116,116,0,0,0,normal
232,0,232,232,0,0,0,normal
55,0,55,55,0,0,0,normal
73,0,73,73,0,0,0,normal
2371,0,69,76,9006259,1337124,2002237,normal
596,0,596,596,0,0,0,normal
425,0,425,425,0,0,0,normal
48,0,48,48,0,0,0,normal
74,0,74,74,0,0,0,normal
460,0,92,92,8041391,2010347,2011856,normal
102,0,102,102,0,0,0,normal
126,0,126,126,0,0,0,normal
68,0,68,68,0,0,0,normal
436,0,131,218,3028970,3028970,3028970,normal
75,0,75,75,0,0,0,normal
113,0,113,113,0,0,0,normal
2908,0,48,51,10397122,1714133,1714133,normal
131,0,131,131,0,0,0,normal
48,0,48,48,0,0,0,normal
596,0,596,596,0,0,0,normal
221,0,221,221,0,0,0,normal
126,0,126,126,0,0,0,normal
30,0,30,30,0,0,0,normal
126,0,126,126,0,0,0,normal
203,0,203,203,0,0,0,normal
71,0,71,71,0,0,0,normal
126,0,126,126,0,0,0,normal
58,0,58,58,0,0,0,normal
315,0,315,315,0,0,0,normal
457,0,129,152,524156,0,0,normal
72,0,72,72,0,0,0,normal
73,0,73,73,0,0,0,normal
73,0,73,73,0,0,0,normal
30,0,30,30,0,0,0,normal
44,0,44,44,0,0,0,normal
2814,0,637,703,8249371,4110447,4374118,normal
99,0,99,99,0,0,0,normal
44,0,44,44,0,0,0,normal
109,0,109,109,0,0,0,normal
258,0,129,129,808235,0,0,normal
72,0,72,72,0,0,0,normal
169,0,169,169,0,0,0,normal
31,0,31,31,0,0,0,normal
96,0,48,48,459262,0,0,normal
140,0,140,140,0,0,0,normal
95,0,95,95,0,0,0,normal
30,0,30,30,0,0,0,normal
316,0,316,316,0,0,0,normal
88,0,44,44,8059,0,0,normal
81,0,81,81,0,0,0,normal
44,0,44,44,0,0,0,normal
88,0,88,88,0,0,0,normal
2216,0,1108,1108,6014408,6014408,6014408,normal
77,0,77,77,0,0,0,normal
16230,0,1346,1352,5010506,4989752,4989752,normal
247,0,247,247,0,0,0,normal
75,0,75,75,0,0,0,normal
122,0,122,122,0,0,0,normal
232,0,116,116,10008921,10008921,10008921,normal
67,0,67,67,0,0,0,normal
66,0,66,66,0,0,0,normal
92,0,92,92,0,0,0,normal
74,0,74,74,0,0,0,normal
258,0,129,129,1620454,1620454,1620454,normal
88,0,44,44,53368,0,0,normal
92,0,92,92,0,0,0,normal
84,0,84,84,0,0,0,normal
129,0,129,129,0,0,0,normal
73,0,73,73,0,0,0,normal
62,0,62,62,0,0,0,normal
352,0,44,44,5097749,2523289,4031177,normal
165,0,165,165,0,0,0,normal
126,0,126,126,0,0,0,normal
125,0,125,125,0,0,0,normal
116,0,116,116,0,0,0,normal
75,0,75,75,0,0,0,normal
89,0,89,89,0,0,0,normal
54,0,54,54,0,0,0,normal
96,0,96,96,0,0,0,normal
95,0,95,95,0,0,0,normal
132,0,44,44,115914,0,0,normal
134,0,134,134,0,0,0,normal
126,0,126,126,0,0,0,normal
220,0,44,44,1048237,0,0,normal
290,0,29,29,8998679,1130358,1639824,normal
77,0,77,77,0,0,0,normal
74,0,74,74,0,0,0,normal
97,0,97,97,0,0,0,normal
631,0,631,631,0,0,0,normal
72,0,72,72,0,0,0,normal
44,0,44,44,0,0,0,normal
116,0,116,116,0,0,0,normal
92,0,92,92,0,0,0,normal
148,0,48,49,1120382,1120379,1120379,normal
870,0,129,145,8897793,2202024,4426067,normal
142,0,142,142,0,0,0,normal
184,0,92,92,2009159,2009159,2009159,normal
32,0,32,32,0,0,0,normal
174,0,174,174,0,0,0,normal
132,0,44,44,16955,0,0,normal
76,0,76,76,0,0,0,normal
354,0,354,354,0,0,0,normal
73,0,73,73,0,0,0,normal
183,0,183,183,0,0,0,normal
111,0,111,111,0,0,0,normal
171,0,57,57,98000,0,0,normal
73,0,73,73,0,0,0,normal
387,0,129,129,7703601,3851800,5078953,normal
116,0,116,116,0,0,0,normal
57,0,57,57,0,0,0,normal
211,0,58,70,4577975,2288987,3430838,normal
88,0,44,44,1820,0,0,normal
30,0,30,30,0,0,0,normal
2294,0,1143,1147,4998848,4998848,4998848,normal
44,0,44,44,0,0,0,normal
96,0,48,48,5383044,5383044,5383044,normal
1080,0,1080,1080,0,0,0,normal
7330,0,1466,1466,8691947,2172986,2603619,normal
147,0,52,73,7218145,7218145,7218145,normal
1060,0,1060,1060,0,0,0,normal
132,0,44,44,24355,0,0,normal
220,0,44,44,1126458,0,0,normal
84,0,84,84,0,0,0,normal
258,0,129,129,2656101,2656101,2656101,normal
1016,0,1016,1016,0,0,0,normal
172,0,172,172,0,0,0,normal
51,0,51,51,0,0,0,normal
129,0,129,129,0,0,0,normal
143,0,143,143,0,0,0,normal
129,0,129,129,0,0,0,normal
126,0,126,126,0,0,0,normal
63,0,63,63,0,0,0,normal
2002,0,77,77,10459951,0,0,normal
305,0,305,305,0,0,0,normal
224,0,64,112,2769783,2769783,2769783,normal
116,0,116,116,0,0,0,normal
129,0,129,129,0,0,0,normal
425,0,53,60,7432087,2406963,4046912,normal
596,0,596,596,0,0,0,normal
116,0,58,58,3021364,3021364,3021364,normal
766,0,766,766,0,0,0,normal
181,0,86,90,2000099,2000099,2000099,normal
92,0,92,92,0,0,0,normal
63,0,63,63,0,0,0,normal
116,0,116,116,0,0,0,normal
90,0,90,90,0,0,0,normal
1108,0,1108,1108,0,0,0,normal
148,0,51,74,6227480,6227480,6227480,normal
85,0,85,85,0,0,0,normal
528,0,48,88,8429688,2743405,3930256,normal
296,0,296,296,0,0,0,normal
225,0,225,225,0,0,0,normal
305,0,305,305,0,0,0,normal
296,0,296,296,0,0,0,normal
126,0,126,126,0,0,0,normal
616,0,53,205,242040,0,0,normal
116,0,116,116,0,0,0,normal
258,0,129,129,862682,0,0,normal
197,0,197,197,0,0,0,normal
173,0,173,173,0,0,0,normal
645,0,645,645,0,0,0,normal
268,0,268,268,0,0,0,normal
129,0,129,129,0,0,0,normal
1843,0,41,115,9151316,1380346,2001777,normal
619,0,619,619,0,0,0,normal
76,0,76,76,0,0,0,normal
131,0,131,131,0,0,0,normal
90,0,90,90,0,0,0,normal
464,0,144,154,4023137,3897964,3897964,normal
131,0,131,131,0,0,0,normal
29,0,29,29,0,0,0,normal
84,0,84,84,0,0,0,normal
