% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,8,11,15-17,21,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,SF,946,12461,2041,0,0,0,100,0,normal
0,tcp,OTH,66,0,3360,0,0,0,50,0.16,normal
0,tcp,OTH,66,0,5902,0,0,0,56,0,normal
0,tcp,OTH,66,0,3255,0,0,0,38,0.08,normal
0,tcp,OTH,66,0,2952,0,0,0,42,0.14,normal
0,tcp,OTH,66,0,5891,0,0,0,45,0,normal
0,tcp,SF,946,12461,2202,0,0,0,100,0,normal
0,tcp,RSTR,364,343,1912,0.13,0,0,100,0,normal
0,tcp,SF,946,12461,1241,0,0,0,100,0,normal
0,tcp,OTH,66,0,3721,0,0,0,50,0.02,normal
0,tcp,OTH,66,0,6276,0,0,0,50,0.12,normal
0,tcp,OTH,66,0,1889,0,0,0,45,0.04,normal
0,tcp,OTH,66,0,4318,0,0,0,53,0,normal
0,tcp,OTH,66,0,5082,0,0,0,31,0.19,normal
0,tcp,OTH,78,0,3876,0,0,0,100,0.01,normal
0,tcp,SF,352,272,1912,0,0,0,68,0,normal
0,tcp,SF,946,12461,2306,0,0,0,100,0,normal
0,tcp,OTH,66,0,5909,0,0,0,50,0.08,normal
0,tcp,SF,946,12461,1906,0,0,0,100,0,normal
0,tcp,SF,1024,12527,2214,0,0,0,100,0,normal
0,tcp,OTH,66,0,3217,0,0,0,47,0,normal
0,tcp,SF,946,12461,4263,0,0,0,64,0,normal
0,tcp,OTH,66,0,3013,0,0,0,43,0.14,normal
0,tcp,SF,946,12461,1945,0,0,0,100,0,normal
0,tcp,OTH,66,0,3030,0,0,0,45,0.17,normal
0,tcp,SF,946,12461,105,0,0,0,100,0,normal
0,tcp,SF,880,12395,3219,0,0,0,98,0,normal
0,tcp,OTH,66,0,3616,0,0,0,44,0,normal
0,tcp,SF,1120,12461,2113,0,0,0,100,0,normal
0,tcp,OTH,66,0,2856,0,0,0,48,0.18,normal
1,tcp,SF,1020,12461,1440,0,0,0,100,0,normal
0,tcp,SF,880,12395,1980,0,0,0,100,0,normal
1,tcp,SF,946,12461,2955,0,0,0,100,0,normal
0,tcp,SF,1120,12461,1530,0,0,0,100,0,normal
