% isAttack normal:	1000
% isAttack attack:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-10,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,66,3906,3906,0,0,51,0.13,0,normal
tcp,OTH,66,5189,5189,0,0,40,0.02,0,normal
tcp,SF,946,2440,2440,0,0,100,0,0,normal
tcp,OTH,78,1858,1858,0,0,100,0.01,0,normal
tcp,SF,946,2511,2511,0,0,100,0,0,normal
tcp,OTH,66,6237,6237,0,0,47,0.08,0,normal
tcp,OTH,78,5707,5707,0,0,46,0.02,0,normal
tcp,OTH,66,3207,3207,0,0,48,0.04,0,normal
tcp,SF,946,2612,2612,0,0,100,0,0,normal
tcp,S3,286,2762,2762,0.4,0,100,0,0,normal
tcp,OTH,66,4310,4310,0,0,48,0,0,normal
tcp,SF,946,280,280,0,0,100,0,0,normal
tcp,SF,946,642,642,0,0,100,0,0,normal
tcp,OTH,66,3156,3156,0,0,52,0,0,normal
tcp,SF,946,2282,2282,0,0,100,0,0,normal
tcp,SF,946,2125,2125,0,0,100,0,0,normal
tcp,S3,814,2126,2126,0.22,0,100,0,0,normal
tcp,SF,946,590,590,0,0,100,0,0,normal
tcp,SF,946,1925,1925,0,0,86,0,0,normal
tcp,OTH,66,5092,5092,0,0,69,0,0,normal
tcp,OTH,66,4840,4840,0,0,57,0,0,normal
