% isAttack normal:	1000
% isAttack highrate:	500
% isAttack lowrate:	500
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-9,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
OTH,66,2853,2853,0,49,0,0,normal
SF,946,4000,4000,0,98,0,0,normal
SF,946,3960,3960,0,100,0,0,normal
OTH,66,3160,3160,0,42,0,0,normal
SF,880,946,946,0,100,0,0,normal
SF,946,2324,2324,0,100,0,0,normal
SF,946,3248,3248,0,100,0,0,normal
OTH,66,3032,3032,0,39,0.03,0,normal
OTH,66,3158,3158,0,51,0.02,0,normal
OTH,66,3532,3532,0,46,0.02,0,normal
SF,946,2501,2501,0,100,0,0,normal
OTH,66,5687,5687,0,47,0.15,0,normal
SF,880,2315,2315,0,100,0,0,normal
OTH,66,4601,4601,0,48,0.06,0,normal
SF,946,1143,1143,0,100,0,0,normal
SF,946,2246,2246,0,100,0,0,normal
OTH,146,2987,2987,0,58,0.02,0,normal
OTH,66,2592,2592,0,68,0,0,normal
OTH,66,6255,6255,0,48,0.12,0,normal
SF,946,927,927,0,100,0,0,normal
SF,946,35,35,0,35,0,0,normal
RSTR,364,1894,1894,0,100,0,0,normal
OTH,66,4646,4646,0,52,0.02,0,normal
SF,946,1008,1008,0,100,0,0,normal
SF,946,2167,2167,0,50,0,0,normal
OTH,66,2616,2616,0,51,0.13,0,normal
SF,946,3363,3363,0,73,0,0,normal
S3,140,1966,1966,0,100,0,0,normal
SF,946,1192,1192,0,100,0,0,normal
SF,946,2882,2882,0,77,0,0,normal
OTH,78,2467,2467,0,85,0.01,0,normal
SF,946,746,746,0,100,0,0,normal
OTH,66,3089,3089,0,43,0,0,normal
SF,946,2152,2152,0,100,0,0,normal
SF,946,2137,2137,0,100,0,0,normal
SF,946,2502,2502,0,100,0,0,normal
OTH,66,3615,3615,0,94,0.05,0,normal
SF,946,2314,2314,0,100,0,0,normal
SF,946,2227,2227,0,100,0,0,normal
SF,1024,3094,3094,0,73,0,0,normal
OTH,66,5953,5953,0,44,0.04,0,normal
S1,286,3563,3563,0,100,0,0,normal
SF,946,3910,3910,0,100,0,0,normal
SF,946,4195,4195,0,76,0,0,normal
SF,946,2127,2127,0,92,0,0,normal
OTH,66,4924,4924,0,57,0,0,normal
OTH,66,5622,5622,0,49,0,0,normal
SF,946,3375,3375,0,100,0,0,normal
SF,946,2445,2445,0,100,0,0,normal
SF,946,1862,1862,0,100,0,0,normal
OTH,66,6368,6368,0,26,0,0,normal
SF,946,3219,3219,0,94,0,0,normal
OTH,66,3320,3320,0,63,0,0,normal
OTH,78,5709,5709,0,48,0.02,0,normal
SF,946,2113,2113,0,100,0,0,normal
SF,946,1866,1866,0,99,0,0,normal
S1,880,3489,3489,0,100,0,0,normal
OTH,66,3197,3197,0,84,0.07,0,normal
SF,946,2536,2536,0,100,0,0,normal
SF,946,4113,4113,0,100,0,0,normal
OTH,146,5840,5840,0,55,0,0,normal
OTH,66,2838,2838,0,45,0,0,normal
SF,946,2404,2404,0,99,0,0,normal
OTH,66,4689,4689,0,31,0.12,0,normal
OTH,66,3900,3900,0,80,0,0,normal
OTH,66,3302,3302,0,60,0.1,0,normal
SF,946,3157,3157,0,100,0,0,normal
OTH,66,3042,3042,0,48,0.12,0,normal
OTH,66,4468,4468,0,54,0.07,0,normal
SF,946,1455,1455,0,100,0,0,normal
OTH,78,3524,3524,0,66,0,0,normal
OTH,66,2693,2693,0,56,0,0,normal
SF,946,1836,1836,0,100,0,0,normal
SF,946,2246,2246,0,100,0,0,normal
SF,946,709,709,0,100,0,0,normal
OTH,146,2856,2856,0,74,0.01,0,normal
S3,946,3628,3628,0,100,0,0,normal
SF,946,1127,1127,0,100,0,0,normal
SF,946,2041,2041,0,100,0,0,normal
SF,946,3316,3316,0,100,0,0,normal
SF,946,2154,2154,0,98,0,0,normal
S2,352,2516,2516,0,100,0,0,normal
OTH,66,2092,2092,0,50,0.04,0,normal
SF,946,1087,1087,0,100,0,0,normal
SF,946,2528,2528,0,100,0,0,normal
SF,880,2565,2565,0,100,0,0,normal
SF,946,1856,1856,0,100,0,0,normal
SF,946,1893,1893,0,92,0,0,normal
SF,880,2341,2341,0,100,0,0,normal
OTH,66,3197,3197,0,62,0.05,0,normal
SF,946,3875,3875,0,100,0,0,normal
OTH,66,5764,5764,0,45,0.17,0,normal
SF,946,2263,2263,0,100,0,0,normal
OTH,66,2986,2986,0,53,0.07,0,normal
SF,946,2846,2846,0,77,0,0,normal
OTH,66,5961,5961,0,45,0.04,0,normal
SF,946,2541,2541,0,100,0,0,normal
OTH,66,3024,3024,0,19,0,0,normal
SF,946,1893,1893,0,50,0,0,normal
SF,946,3341,3341,0,100,0,0,normal
OTH,146,3579,3579,0,67,0.01,0,normal
OTH,78,2456,2456,0,86,0.01,0,normal
SF,946,3905,3905,0,100,0,0,normal
SF,946,1992,1992,0,100,0,0,normal
SF,946,2224,2224,0,100,0,0,normal
SF,946,1873,1873,0,100,0,0,normal
OTH,66,3515,3515,0,46,0.09,0,normal
OTH,66,3639,3639,0,85,0,0,normal
OTH,66,5435,5435,0,98,0.07,0,normal
SF,880,3854,3854,0,75,0,0,normal
SF,880,4472,4472,0,55,0,0,normal
OTH,66,2947,2947,0,48,0,0,normal
SF,946,3081,3081,0,90,0,0,normal
SF,946,797,797,0,100,0,0,normal
SF,946,2057,2057,0,86,0,0,normal
OTH,66,3936,3936,0,68,0.12,0,normal
OTH,66,4908,4908,0,61,0.13,0,normal
SF,880,1462,1462,0,100,0,0,normal
SF,1024,351,351,0,100,0,0,normal
SF,946,1971,1971,0,100,0,0,normal
OTH,66,1452,1452,0,52,0,0,normal
OTH,66,3258,3258,0,31,0.19,0,normal
