% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	571
% isAttack slowBody:	571
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4,7,9,11-12,23,27,30,33,38,40'

@attribute total_bvolume numeric
@attribute max_fpktl numeric
@attribute min_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute mean_active numeric
@attribute mean_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_bbytes numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,209,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,97,-1,-1,0,0,0,1,0,28,normal
0,62,-1,-1,0,0,0,1,0,28,normal
0,203,-1,-1,0,0,3308544,1,0,68,normal
0,92,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,0,0,1,0,28,normal
0,48,-1,-1,0,252096,0,120,0,2408,normal
0,1360,-1,-1,0,2700,2625830,2,0,88,normal
0,717,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,596,-1,-1,0,0,0,1,0,28,normal
0,89,-1,-1,0,109,8006891,24,0,968,normal
0,93,-1,-1,0,0,0,1,0,28,normal
0,129,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,176,-1,-1,0,0,7449730,1,0,48,normal
0,627,-1,-1,0,0,0,1,0,28,normal
0,116,-1,-1,0,0,0,1,0,28,normal
0,129,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,84882,0,2,0,48,normal
0,44,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,194,-1,-1,0,0,0,1,0,28,normal
0,131,-1,-1,0,0,0,1,0,28,normal
0,58,-1,-1,0,0,0,1,0,28,normal
0,72,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,3784,0,2,0,48,normal
0,44,-1,-1,0,33634,0,2,0,48,normal
0,58,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,0,0,1,0,28,normal
0,1105,-1,-1,0,0,4999122,1,0,48,normal
0,66,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,58,-1,-1,0,202189,0,3,0,68,normal
0,44,-1,-1,0,0,6087461,1,0,48,normal
0,48,-1,-1,0,0,0,1,0,28,normal
0,125,-1,-1,0,0,0,1,0,28,normal
0,67,-1,-1,0,0,0,1,0,28,normal
0,1108,-1,-1,0,0,0,1,0,28,normal
0,48,-1,-1,0,10000,0,2,0,48,normal
0,129,-1,-1,0,0,0,1,0,28,normal
0,635,-1,-1,0,0,0,1,0,28,normal
0,116,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,536,-1,-1,0,7469,0,19,0,388,normal
0,73,-1,-1,0,0,0,1,0,28,normal
0,78,-1,-1,0,0,1977816,1,0,48,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,72,-1,-1,0,0,3589747,1,0,48,normal
0,95,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,789026,0,2,0,48,normal
0,129,-1,-1,0,0,0,1,0,28,normal
0,74,-1,-1,0,0,0,1,0,28,normal
0,101,-1,-1,0,0,0,1,0,28,normal
0,172,-1,-1,0,0,0,1,0,28,normal
0,57,-1,-1,0,0,0,1,0,28,normal
0,90,-1,-1,0,0,0,1,0,28,normal
0,142,-1,-1,0,0,0,1,0,28,normal
0,127,-1,-1,0,0,0,1,0,28,normal
0,116,-1,-1,0,0,0,1,0,28,normal
0,300,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,48,-1,-1,0,0,0,1,0,28,normal
0,315,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,0,0,1,0,28,normal
0,75,-1,-1,0,0,0,1,0,28,normal
0,71,-1,-1,0,0,0,1,0,28,normal
0,92,-1,-1,0,0,0,1,0,28,normal
0,168,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,14559,0,2,0,48,normal
0,131,-1,-1,0,0,0,1,0,28,normal
0,97,-1,-1,0,0,0,1,0,28,normal
0,95,-1,-1,0,0,0,1,0,28,normal
0,72,-1,-1,0,0,0,1,0,28,normal
0,305,-1,-1,0,0,0,1,0,28,normal
0,93,-1,-1,0,0,0,1,0,28,normal
0,114,-1,-1,0,0,0,1,0,28,normal
0,58,-1,-1,0,0,0,1,0,28,normal
0,1108,-1,-1,0,0,0,1,0,28,normal
0,30,-1,-1,0,0,0,1,0,28,normal
0,147,-1,-1,0,0,0,1,0,28,normal
0,137,-1,-1,0,0,0,1,0,28,normal
0,171,-1,-1,0,0,0,1,0,28,normal
0,129,-1,-1,0,0,4937757,1,0,48,normal
0,634,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,79,-1,-1,0,0,0,1,0,28,normal
0,107,-1,-1,0,0,0,1,0,28,normal
0,123,-1,-1,0,0,0,1,0,28,normal
0,73,-1,-1,0,0,0,1,0,28,normal
0,281,-1,-1,0,0,0,1,0,28,normal
0,116,-1,-1,0,0,0,1,0,28,normal
0,51,-1,-1,0,0,0,1,0,28,normal
0,48,-1,-1,0,255979,0,2,0,48,normal
0,110,-1,-1,0,4516998,1189019,32,0,1308,normal
0,72,-1,-1,0,0,0,1,0,28,normal
0,92,-1,-1,0,0,0,1,0,28,normal
0,315,-1,-1,0,0,5007833,1,0,48,normal
0,116,-1,-1,0,0,0,1,0,28,normal
0,315,-1,-1,0,0,0,1,0,28,normal
0,74,-1,-1,0,0,0,1,0,28,normal
0,129,-1,-1,0,0,0,1,0,28,normal
0,53,-1,-1,0,0,0,1,0,28,normal
0,69,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,493907,8058246,1,0,68,normal
0,1108,-1,-1,0,28,2999567,2,0,228,normal
0,77,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,0,0,1,0,28,normal
0,1430,-1,-1,0,904878,1788772,3,0,288,normal
0,679,-1,-1,0,774201,1373433,4,0,288,normal
0,73,-1,-1,0,0,0,1,0,28,normal
0,46,-1,-1,0,0,0,1,0,28,normal
0,180,-1,-1,0,0,0,1,0,28,normal
0,78,-1,-1,0,0,0,1,0,28,normal
0,71,-1,-1,0,0,0,1,0,28,normal
0,175,-1,-1,0,0,0,1,0,28,normal
0,637,-1,-1,0,0,0,1,0,28,normal
0,389,-1,-1,0,10449682,0,189,0,3788,normal
0,97,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,0,0,1,0,28,normal
0,164,-1,-1,0,0,0,1,0,28,normal
0,71,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,22047,7982471,2,0,88,normal
0,768,-1,-1,0,0,0,1,0,28,normal
0,66,-1,-1,0,0,5007811,1,0,68,normal
0,63,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,676,-1,-1,0,0,0,1,0,28,normal
0,58,-1,-1,0,162863,0,2,0,48,normal
0,768,-1,-1,0,0,0,1,0,28,normal
0,1060,-1,-1,0,0,0,1,0,28,normal
0,58,-1,-1,0,0,0,1,0,28,normal
0,152,-1,-1,0,0,0,1,0,28,normal
0,153,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,88576,0,7,0,148,normal
0,74,-1,-1,0,0,0,1,0,28,normal
0,636,-1,-1,0,0,0,1,0,28,normal
0,172,-1,-1,0,0,0,1,0,28,normal
0,96,-1,-1,0,199628,0,2,0,48,normal
0,48,-1,-1,0,0,0,1,0,28,normal
0,221,-1,-1,0,0,0,1,0,28,normal
0,575,-1,-1,0,505098,2079782,1,0,148,normal
0,74,-1,-1,0,0,0,1,0,28,normal
0,97,-1,-1,0,0,0,1,0,28,normal
