% isAttack HIGH_RATE:	2000
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R8,17,34,40'

@attribute std_fpktl numeric
@attribute min_biat numeric
@attribute fpsh_cnt numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
171,30,1476,HIGH_RATE
175,34,251,HIGH_RATE
543,0,3,HIGH_RATE
46,47,2936,HIGH_RATE
101,2,4893,HIGH_RATE
10,51,12869,HIGH_RATE
433,0,6,HIGH_RATE
82,2,10267,HIGH_RATE
231,2,916,HIGH_RATE
100,2,5523,HIGH_RATE
33,3,12301,HIGH_RATE
170,2,328,HIGH_RATE
159,2,1742,HIGH_RATE
139,31,2469,HIGH_RATE
33,4,11453,HIGH_RATE
39,2,7524,HIGH_RATE
39,2,7674,HIGH_RATE
88,2,11383,HIGH_RATE
110,1,5112,HIGH_RATE
146,2,2371,HIGH_RATE
479,0,5,HIGH_RATE
185,2,2128,HIGH_RATE
202,31,1987,HIGH_RATE
69,1,10791,HIGH_RATE
114,2,5106,HIGH_RATE
161,15,2371,HIGH_RATE
220,2,1210,HIGH_RATE
103,2,5760,HIGH_RATE
26,4,10740,HIGH_RATE
49,2,9333,HIGH_RATE
33,2,12127,HIGH_RATE
186,2,2206,HIGH_RATE
146,2,3689,HIGH_RATE
63,5,5740,HIGH_RATE
214,3,1177,HIGH_RATE
96,2,5514,HIGH_RATE
106,2,9636,HIGH_RATE
292,2,1141,HIGH_RATE
108,2,5760,HIGH_RATE
190,2,1390,HIGH_RATE
50,2,5582,HIGH_RATE
74,2,2836,HIGH_RATE
55,3,9985,HIGH_RATE
126,3,2278,HIGH_RATE
55,3,8679,HIGH_RATE
130,2,2447,HIGH_RATE
37,2,11644,HIGH_RATE
