% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,9,11,14-15,18-19,23-24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,OTH,78,0,22072,0,1,0,62,1,0,0,tcpFlood
0,tcp,OTH,78,0,5266,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,15895,0,1,0,72,1,0,0,tcpFlood
0,tcp,OTH,78,0,20127,0,1,0,61,1,0,0,tcpFlood
0,tcp,OTH,78,0,7506,0,1,0,76,1,0,0,tcpFlood
0,tcp,OTH,78,0,1115,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,27161,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,11407,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,8971,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,10368,0,1,0,78,1,0,0,tcpFlood
0,tcp,OTH,78,0,14257,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,5531,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,14484,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,4550,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,11520,0,1,0,63,1,0,0,tcpFlood
0,tcp,OTH,78,0,2326,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,12334,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,10531,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,840,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,9361,0,1,0,72,1,0,0,tcpFlood
0,tcp,OTH,78,0,20749,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,2191,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,22213,0,1,0,72,1,0,0,tcpFlood
0,tcp,OTH,78,0,9904,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,24242,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,6456,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,9280,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,10868,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,24264,0,1,0,73,1,0,0,tcpFlood
