@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,114,33,0.97,highrate
OTH,60,110,37,0.97,highrate
OTH,60,81,37,0.97,highrate
OTH,60,143,30,0.97,highrate
OTH,60,141,28,0.97,highrate
OTH,60,117,33,0.97,highrate
OTH,60,145,33,0.97,highrate
OTH,60,142,33,0.97,highrate
OTH,60,141,32,0.97,highrate
OTH,60,70,28,0.97,highrate
OTH,60,86,42,0.98,highrate
OTH,60,117,36,0.97,highrate
OTH,60,110,33,0.97,highrate
OTH,60,107,34,0.97,highrate
OTH,60,128,33,0.97,highrate
OTH,60,145,33,0.97,highrate
OTH,60,131,33,0.97,highrate
OTH,60,110,33,0.97,highrate
OTH,60,137,33,0.97,highrate
OTH,60,112,33,0.97,highrate
OTH,60,145,33,0.97,highrate
OTH,60,160,33,0.97,highrate
OTH,60,138,33,0.97,highrate
OTH,60,153,33,0.97,highrate
OTH,60,104,34,0.97,highrate
OTH,60,113,34,0.97,highrate
OTH,60,124,33,0.97,highrate
OTH,60,85,41,0.98,highrate
OTH,60,131,33,0.97,highrate
OTH,60,142,33,0.97,highrate
OTH,60,117,33,0.97,highrate
OTH,60,87,40,0.98,highrate
OTH,60,155,33,0.97,highrate
OTH,60,17,17,0.94,highrate
OTH,60,141,24,0.96,highrate
OTH,60,112,33,0.97,highrate
OTH,60,141,33,0.97,highrate
OTH,60,109,38,0.97,highrate
OTH,60,83,42,0.98,highrate
OTH,60,138,14,0.93,highrate
OTH,60,88,40,0.98,highrate
OTH,60,114,37,0.97,highrate
OTH,60,75,31,0.97,highrate
OTH,60,109,33,0.97,highrate
OTH,60,112,33,0.97,highrate
OTH,60,57,24,0.96,highrate
OTH,60,138,21,0.95,highrate
OTH,60,128,33,0.97,highrate
OTH,60,101,34,0.97,highrate
