% isAttack HIGH_RATE:	1533
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R6,15,21,40'

@attribute mean_fpktl numeric
@attribute max_fiat numeric
@attribute duration numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
40,950796,27102124,HIGH_RATE
40,828205,29368750,HIGH_RATE
40,878907,29308543,HIGH_RATE
40,459362,29367913,HIGH_RATE
40,902933,27093702,HIGH_RATE
40,860526,29308257,HIGH_RATE
40,968758,27108782,HIGH_RATE
40,953135,27092751,HIGH_RATE
40,404563,30092717,HIGH_RATE
40,420327,30090495,HIGH_RATE
40,769555,29324193,HIGH_RATE
40,878962,29311416,HIGH_RATE
40,798382,20114818,HIGH_RATE
40,957641,27108522,HIGH_RATE
40,828028,29340486,HIGH_RATE
40,841275,29861883,HIGH_RATE
40,844948,29312649,HIGH_RATE
40,268245,30055573,HIGH_RATE
40,793923,29352644,HIGH_RATE
40,949724,27114521,HIGH_RATE
40,834989,29860581,HIGH_RATE
40,958040,27093196,HIGH_RATE
40,714639,29125660,HIGH_RATE
40,632217,27250762,HIGH_RATE
40,714183,27251472,HIGH_RATE
40,762667,29310024,HIGH_RATE
40,859279,28688363,HIGH_RATE
40,598804,29366747,HIGH_RATE
40,883043,23934316,HIGH_RATE
40,286774,30055500,HIGH_RATE
40,978961,27109574,HIGH_RATE
40,688320,27248664,HIGH_RATE
40,23986,29964567,HIGH_RATE
40,885581,23943533,HIGH_RATE
40,993427,28247266,HIGH_RATE
40,906093,29312739,HIGH_RATE
40,910935,29306927,HIGH_RATE
40,404150,29995977,HIGH_RATE
40,982237,28374540,HIGH_RATE
40,946026,29311539,HIGH_RATE
40,762656,29349743,HIGH_RATE
40,688719,27251851,HIGH_RATE
40,24886,9652284,HIGH_RATE
40,871000,28664542,HIGH_RATE
40,969638,29244628,HIGH_RATE
40,798171,29371133,HIGH_RATE
40,987876,28375546,HIGH_RATE
40,884842,20166124,HIGH_RATE
40,788800,23468241,HIGH_RATE
40,995821,29368802,HIGH_RATE
40,124477,29672772,HIGH_RATE
40,798210,29368577,HIGH_RATE
40,597201,29366508,HIGH_RATE
40,670986,29120355,HIGH_RATE
40,899669,28817851,HIGH_RATE
40,801157,29308368,HIGH_RATE
40,122511,29674506,HIGH_RATE
40,862872,28364368,HIGH_RATE
40,935344,5186398,HIGH_RATE
40,996781,29309923,HIGH_RATE
40,123871,29673849,HIGH_RATE
40,794738,28779553,HIGH_RATE
40,413443,30091738,HIGH_RATE
40,974349,28288858,HIGH_RATE
40,29654,9653281,HIGH_RATE
40,405058,29996751,HIGH_RATE
40,770014,29194939,HIGH_RATE
40,688077,27252502,HIGH_RATE
40,832110,29862815,HIGH_RATE
40,911329,28796490,HIGH_RATE
40,806467,29359374,HIGH_RATE
40,598810,29366479,HIGH_RATE
40,16755,29964047,HIGH_RATE
40,667147,29125585,HIGH_RATE
40,632332,27252358,HIGH_RATE
40,868011,29312597,HIGH_RATE
40,878391,18281343,HIGH_RATE
40,22505,7748462,HIGH_RATE
40,820666,28382190,HIGH_RATE
40,973709,28805426,HIGH_RATE
40,894414,29313775,HIGH_RATE
40,597882,29366421,HIGH_RATE
40,840299,29866750,HIGH_RATE
40,800221,29368428,HIGH_RATE
40,841561,29861393,HIGH_RATE
40,968824,29241313,HIGH_RATE
40,974571,28809597,HIGH_RATE
40,834040,29867468,HIGH_RATE
40,34839,9651936,HIGH_RATE
40,23363,9653921,HIGH_RATE
40,869943,29309237,HIGH_RATE
40,859684,29306593,HIGH_RATE
40,911856,28822634,HIGH_RATE
40,859748,28685537,HIGH_RATE
40,861545,29304925,HIGH_RATE
40,33513,9653777,HIGH_RATE
40,988419,28247810,HIGH_RATE
40,968479,29245828,HIGH_RATE
40,816802,30091362,HIGH_RATE
40,987712,28371148,HIGH_RATE
40,844062,28377694,HIGH_RATE
40,126989,29670731,HIGH_RATE
40,987316,28374623,HIGH_RATE
40,812768,28373797,HIGH_RATE
40,870101,29312102,HIGH_RATE
40,890345,28784332,HIGH_RATE
40,968012,29243323,HIGH_RATE
40,287608,30054911,HIGH_RATE
40,63462,30326141,HIGH_RATE
40,912637,27107696,HIGH_RATE
40,811431,21088495,HIGH_RATE
40,632651,27251835,HIGH_RATE
40,43421,30326904,HIGH_RATE
40,900980,27113992,HIGH_RATE
40,995865,28370839,HIGH_RATE
40,865731,29868217,HIGH_RATE
40,861942,29313094,HIGH_RATE
40,901832,29309967,HIGH_RATE
40,459329,29366411,HIGH_RATE
40,123633,29673998,HIGH_RATE
40,665790,29115108,HIGH_RATE
40,414865,29995954,HIGH_RATE
40,459577,29367463,HIGH_RATE
40,808164,19761579,HIGH_RATE
40,889305,29311115,HIGH_RATE
40,756489,29339957,HIGH_RATE
40,18789,29956729,HIGH_RATE
40,123563,29674115,HIGH_RATE
40,970426,28821504,HIGH_RATE
40,129791,29672902,HIGH_RATE
40,287406,30055620,HIGH_RATE
40,30245,9653986,HIGH_RATE
40,459247,29368970,HIGH_RATE
40,43360,30326909,HIGH_RATE
40,661122,29105994,HIGH_RATE
40,792800,21254160,HIGH_RATE
40,664094,29105667,HIGH_RATE
40,862114,29310495,HIGH_RATE
40,969151,29246211,HIGH_RATE
40,755724,29319298,HIGH_RATE
40,902425,23466253,HIGH_RATE
40,794951,29365226,HIGH_RATE
40,916946,27081520,HIGH_RATE
40,867259,21723524,HIGH_RATE
40,903134,27116414,HIGH_RATE
40,863438,29312481,HIGH_RATE
40,827501,28379056,HIGH_RATE
40,789113,16834434,HIGH_RATE
40,43778,30326903,HIGH_RATE
40,790097,23943259,HIGH_RATE
40,834577,29867195,HIGH_RATE
40,809115,28382466,HIGH_RATE
40,688705,29116478,HIGH_RATE
40,985761,28385296,HIGH_RATE
40,867647,29273225,HIGH_RATE
40,992849,29313551,HIGH_RATE
40,877631,29310190,HIGH_RATE
40,129931,29674000,HIGH_RATE
40,808492,28387907,HIGH_RATE
40,41610,8766433,HIGH_RATE
40,973976,28368695,HIGH_RATE
40,894089,29305437,HIGH_RATE
40,794203,29364579,HIGH_RATE
40,759900,29352410,HIGH_RATE
40,973165,28788738,HIGH_RATE
40,26988,9653102,HIGH_RATE
40,793473,29364201,HIGH_RATE
40,459614,29364233,HIGH_RATE
40,911766,29370257,HIGH_RATE
40,288041,30038565,HIGH_RATE
40,287672,30055363,HIGH_RATE
40,33223,9651319,HIGH_RATE
40,894266,29295154,HIGH_RATE
40,63851,30326856,HIGH_RATE
40,874636,28641515,HIGH_RATE
40,459570,29366117,HIGH_RATE
40,986836,28388054,HIGH_RATE
40,951735,29310070,HIGH_RATE
40,9209,9758446,HIGH_RATE
40,20583,9653009,HIGH_RATE
40,10247,9758306,HIGH_RATE
40,975512,28367414,HIGH_RATE
40,766481,29370264,HIGH_RATE
40,43382,30326673,HIGH_RATE
40,902651,27104694,HIGH_RATE
40,984506,28818179,HIGH_RATE
40,863207,29311207,HIGH_RATE
40,891136,28812523,HIGH_RATE
40,888998,28822276,HIGH_RATE
40,967972,29245801,HIGH_RATE
40,992982,28387369,HIGH_RATE
40,874100,29311211,HIGH_RATE
