@relation 'slowRead-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.StringToNominal-R4-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute src_port numeric
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {NORMAL,LOW_RATE,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
55712,80,6,60.711141,30,16,10,1054,1680,0.263543,0.671679,17.360899,112.842012,1.6,0.627381,52,65.875,226,41.51788,52,168,628,230.012174,0.000472,4.047409,16.149569,5.045845,0,1.65423,7.42332,2.358926,1,0,1,0,LOW_RATE
57400,80,6,60.739034,30,16,10,1223,1680,0.263422,0.682004,20.135322,114.576733,1.6,0.727976,52,76.4375,395,82.339973,52,168,628,230.012174,0.000521,4.049269,16.14308,5.090695,0.000001,1.629185,7.434945,2.345297,1,0,1,0,LOW_RATE
34512,80,6,60.930813,30,14,12,999,1784,0.229769,0.207953,16.395645,30.915634,1.166667,0.559978,52,71.357143,307,65.414729,52,148.666667,628,214.375579,0.001583,4.686986,29.190759,7.986929,0.000017,5.245948,29.186575,8.556011,1,0,1,0,LOW_RATE
56382,80,6,60.792476,30,16,8,1884,1576,0.26319,0.201365,30.990677,39.668929,2,1.195431,52,117.75,307,109.312339,52,197,628,248.851361,0.001225,4.052832,20.442555,5.88918,0.00032,5.675547,20.445369,6.813488,4,0,1,0,LOW_RATE
45626,80,6,60.74553,30,15,12,1103,1784,0.246932,0.219572,18.157715,32.643084,1.25,0.618274,52,73.533333,351,74.223866,52,148.666667,628,214.375579,0.000756,4.338966,27.398761,7.320463,0.000008,4.968336,27.391566,8.129135,1,0,1,0,LOW_RATE
48004,80,6,60.658567,30,15,8,1577,1576,0.247286,0.257015,25.997976,50.632005,1.875,1.000635,52,105.133333,307,100.98968,52,197,628,248.851361,0.002282,4.332755,22.462995,6.489359,0.000005,4.446651,15.584801,5.190145,3,0,1,0,LOW_RATE
41776,80,6,0.005921,31,13,5,941,11844,2195.616977,1120.393204,158928.890392,2653987.422588,2.6,0.07945,46,72.384615,351,80.53431,52,2368.8,7292,2979.286787,0.000002,0.000493,0.002718,0.000825,0.000458,0.001116,0.001536,0.000441,1,0,1,0,LOW_RATE
42140,80,6,60.511079,30,13,12,879,1784,0.214837,0.203527,14.526265,30.257741,1.083333,0.492713,52,67.615385,247,51.827433,52,148.666667,628,214.375579,0.001412,5.04259,29.191312,8.216425,0.000001,5.360011,29.191985,8.50736,1,0,1,0,LOW_RATE
35722,80,6,60.87243,30,15,11,1007,1732,0.246417,0.389961,16.542793,61.401125,1.363636,0.581409,52,67.133333,247,48.198017,52,157.454545,628,221.828912,0.002747,4.348031,25.541898,6.95345,0.000009,2.820795,14.07978,4.324297,1,0,1,0,LOW_RATE
56080,80,6,1.022125,2,2,0,120,0,1.956707,0,117.402442,0,0,0,60,60,60,0,0,0,0,0,1.022125,1.022125,1.022125,0,0,0,0,0,0,0,-1,-1,LOW_RATE
37260,80,6,60.960993,30,15,11,1067,1732,0.246059,0.399026,17.502996,62.828421,1.363636,0.616051,52,71.133333,307,63.134636,52,157.454545,628,221.828912,0.00096,4.354357,26.232058,7.074879,0.00007,2.756714,13.810053,4.231787,1,0,1,0,LOW_RATE
44338,80,6,7.060419,2,4,0,240,0,0.566539,0,33.992315,0,0,0,60,60,60,0,0,0,0,0,1.008027,2.353473,4.036249,1.259067,0,0,0,0,0,0,-1,-1,LOW_RATE
47274,80,6,60.705988,30,16,11,1046,1732,0.263565,0.384387,17.23059,60.523554,1.454545,0.603926,52,65.375,226,41.633633,52,157.454545,628,221.828912,0.000001,4.047066,16.77371,5.165345,0.000003,2.861696,14.346365,4.394043,1,0,1,0,LOW_RATE
59478,80,6,60.806369,30,13,12,939,1784,0.213793,0.215135,15.442461,31.983373,1.083333,0.526345,52,72.230769,307,67.805325,52,148.666667,628,214.375579,0.000916,5.067197,28.167657,7.994656,0.000179,5.070817,28.164515,8.345491,1,0,1,0,LOW_RATE
41822,80,6,60.736664,30,16,7,2359,1524,0.263432,0.181784,38.839802,39.576909,2.285714,1.5479,52,147.4375,351,137.278899,52,217.714286,628,259.501563,0.005466,4.049111,21.504896,6.275412,0.000006,6.417884,21.503003,7.554076,5,0,1,0,LOW_RATE
45626,80,6,60.970506,30,15,12,1059,1784,0.246021,0.215788,17.369054,32.080465,1.25,0.59361,52,70.6,307,63.260098,52,148.666667,628,214.375579,0.000292,4.355036,28.425863,7.565579,0.000002,5.05547,28.423017,8.390701,1,0,1,0,LOW_RATE
48532,80,6,7.064136,2,4,0,240,0,0.566241,0,33.974431,0,0,0,60,60,60,0,0,0,0,0,1.016058,2.354712,4.031043,1.253808,0,0,0,0,0,0,-1,-1,LOW_RATE
57788,80,6,60.635184,30,16,11,1127,1732,0.263873,0.388812,18.586569,61.22028,1.454545,0.650693,52,70.4375,307,61.189224,52,157.454545,628,221.828912,0.000001,4.042346,16.966472,5.164438,0.000001,2.829128,14.075973,4.323888,1,0,1,0,LOW_RATE
58350,80,6,60.972321,30,13,12,858,1784,0.213212,0.210678,14.071959,31.320811,1.083333,0.480942,52,66,226,46.236848,52,148.666667,628,214.375579,0.001206,5.081027,27.651259,7.798818,0.000005,5.178085,27.648113,8.133592,1,0,1,0,LOW_RATE
55582,80,6,60.902388,30,13,12,858,1784,0.213456,0.218496,14.088117,32.483073,1.083333,0.480942,52,66,226,46.236848,52,148.666667,628,214.375579,0.000993,5.075199,26.882924,7.632004,0.000165,4.99281,26.87996,7.961484,1,0,1,0,LOW_RATE
56794,80,6,60.971265,30,13,12,1027,1784,0.213215,0.203419,16.844,30.241677,1.083333,0.575673,52,79,395,91.246075,52,148.666667,628,214.375579,0.001088,5.080939,28.673969,8.062193,0.00026,5.362858,28.675072,8.360243,1,0,1,0,LOW_RATE
56910,80,6,60.801664,30,16,9,1223,1628,0.263151,0.556456,20.114581,100.656738,1.777778,0.751229,52,76.4375,395,82.339973,52,180.888889,628,239.003693,0.000267,4.053444,16.151093,4.925161,0.000001,2.021723,8.20225,2.689321,1,0,1,0,LOW_RATE
46634,80,6,60.823764,30,16,11,1127,1732,0.263055,0.387981,18.528942,61.0894,1.454545,0.650693,52,70.4375,307,61.189224,52,157.454545,628,221.828912,0.001817,4.054918,17.033518,5.175088,0.000001,2.835189,14.075166,4.325313,1,0,1,0,LOW_RATE
