% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-9,17,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute dst_host_count numeric
@attribute isAttack {highrate,lowrate}

@data
60,0,178,178,33,highrate
60,0,144,144,33,highrate
374,755,150,150,100,highrate
66,0,222,222,98,highrate
374,755,161,161,100,highrate
377,755,774,614,99,highrate
377,755,851,691,99,highrate
374,755,145,145,100,highrate
374,755,312,312,100,highrate
380,755,915,915,100,highrate
374,755,229,229,100,highrate
377,755,778,618,99,highrate
377,755,309,149,69,highrate
377,755,630,470,100,highrate
377,755,798,638,99,highrate
374,755,87,87,98,highrate
377,755,306,146,68,highrate
60,0,180,180,33,highrate
374,755,91,91,91,highrate
60,0,6,6,6,highrate
386,821,129,129,100,highrate
377,755,585,425,100,highrate
374,755,184,184,100,highrate
248,140,169,169,100,highrate
377,755,1008,848,100,highrate
446,755,480,480,100,highrate
66,0,0,0,0,highrate
66,0,27,27,27,highrate
60,0,79,117,23,highrate
374,755,96,96,100,highrate
446,755,530,530,100,highrate
66,0,261,261,98,highrate
60,0,105,105,33,highrate
374,755,3,3,98,highrate
446,755,401,401,100,highrate
60,0,147,147,33,highrate
60,0,178,178,33,highrate
374,755,6,6,6,highrate
66,0,117,117,100,highrate
248,140,152,152,100,highrate
374,755,152,152,100,highrate
60,0,162,162,33,highrate
60,0,117,117,33,highrate
242,140,457,457,100,highrate
446,755,352,352,100,highrate
377,755,628,468,100,highrate
374,755,131,131,100,highrate
377,755,509,349,100,highrate
60,0,98,98,42,highrate
446,755,706,706,100,highrate
380,755,770,770,100,highrate
374,755,9,9,9,highrate
60,0,109,109,33,highrate
374,755,351,351,100,highrate
377,755,825,665,99,highrate
374,755,149,149,100,highrate
60,0,169,169,33,highrate
377,755,850,690,99,highrate
242,140,171,171,100,highrate
66,0,59,59,94,highrate
377,755,636,476,100,highrate
374,755,30,30,30,highrate
374,755,134,134,100,highrate
374,755,152,152,100,highrate
374,755,120,120,100,highrate
60,0,177,177,33,highrate
374,755,179,179,100,highrate
374,755,166,166,100,highrate
60,0,117,117,33,highrate
60,0,113,113,38,highrate
374,755,165,165,100,highrate
374,755,152,152,100,highrate
446,755,461,461,100,highrate
60,0,110,110,34,highrate
60,0,137,137,20,highrate
60,0,144,144,31,highrate
374,755,175,175,100,highrate
377,755,897,737,100,highrate
380,755,771,771,100,highrate
377,755,853,693,99,highrate
446,755,486,486,100,highrate
446,755,843,843,100,highrate
446,755,689,689,100,highrate
380,755,145,145,100,highrate
377,755,928,768,100,highrate
245,140,1034,875,100,highrate
60,0,177,177,33,highrate
374,755,150,150,100,highrate
248,140,200,200,100,highrate
60,0,153,153,33,highrate
60,0,179,179,33,highrate
60,0,104,104,34,highrate
374,755,133,133,100,highrate
464,1370,107,107,100,highrate
374,755,142,142,100,highrate
66,0,85,85,57,highrate
377,755,1028,868,100,highrate
66,0,99,99,100,highrate
374,755,137,137,94,highrate
374,755,170,170,100,highrate
374,755,150,150,100,highrate
374,755,196,196,100,highrate
374,755,398,398,100,highrate
446,755,729,729,100,highrate
60,0,137,137,11,highrate
66,0,7,7,7,highrate
380,755,874,874,100,highrate
374,755,294,294,100,highrate
60,0,141,141,31,highrate
60,0,119,119,31,highrate
446,755,692,692,100,highrate
60,0,100,100,40,highrate
60,0,178,178,33,highrate
377,755,821,661,99,highrate
374,755,50,50,50,highrate
66,0,311,311,100,highrate
446,755,423,423,100,highrate
374,755,151,151,100,highrate
374,755,296,296,100,highrate
446,755,610,610,100,highrate
374,755,170,170,100,highrate
60,0,112,112,38,highrate
374,755,149,149,100,highrate
60,0,177,177,33,highrate
66,0,35,35,88,highrate
377,755,643,483,100,highrate
60,0,136,174,33,highrate
66,0,60,60,41,highrate
374,755,157,157,100,highrate
60,0,89,89,41,highrate
60,0,95,133,37,highrate
66,0,31,31,85,highrate
374,755,133,133,100,highrate
66,0,72,72,56,highrate
66,0,86,86,96,highrate
446,755,848,848,100,highrate
380,755,162,162,100,highrate
374,755,121,121,100,highrate
374,755,444,444,100,highrate
60,0,107,107,33,highrate
60,0,126,164,33,highrate
60,0,178,178,33,highrate
446,755,363,363,100,highrate
374,755,154,154,100,highrate
446,755,538,538,100,highrate
377,755,713,553,100,highrate
377,755,819,659,99,highrate
374,755,438,438,100,highrate
60,0,177,177,33,highrate
66,0,289,289,100,highrate
60,0,111,111,33,highrate
248,140,192,192,100,highrate
380,755,906,906,100,highrate
374,755,54,54,98,highrate
242,140,182,182,100,highrate
374,755,135,135,100,highrate
60,0,114,114,32,highrate
60,0,111,111,38,highrate
374,755,150,150,100,highrate
377,755,987,827,100,highrate
374,755,145,145,100,highrate
374,755,146,146,100,highrate
60,0,135,135,26,highrate
60,0,169,169,33,highrate
66,0,64,64,50,highrate
374,755,110,110,100,highrate
60,0,51,51,23,highrate
374,755,148,148,100,highrate
60,0,122,122,33,highrate
374,755,39,39,39,highrate
377,755,541,381,100,highrate
374,755,93,93,98,highrate
60,0,125,125,33,highrate
374,755,150,150,100,highrate
377,755,384,224,93,highrate
66,0,42,42,38,highrate
60,0,104,104,33,highrate
66,0,265,265,98,highrate
66,0,105,53,57,highrate
60,0,160,160,33,highrate
386,821,314,314,100,highrate
446,755,428,428,100,highrate
374,755,148,148,100,highrate
66,0,60,60,48,highrate
60,0,174,174,33,highrate
374,755,156,156,100,highrate
66,0,142,87,52,highrate
66,0,81,81,94,highrate
377,755,858,698,100,highrate
66,0,135,135,100,highrate
377,755,694,534,100,highrate
374,755,141,141,100,highrate
446,755,671,671,100,highrate
380,755,888,888,100,highrate
392,821,777,777,100,highrate
374,755,139,139,100,highrate
377,755,828,668,99,highrate
374,755,144,144,100,highrate
377,755,569,409,100,highrate
377,755,796,636,99,highrate
374,755,149,149,100,highrate
374,755,143,143,100,highrate
374,755,141,141,100,highrate
377,755,512,352,100,highrate
464,1370,104,104,100,highrate
374,755,149,149,100,highrate
380,755,730,730,100,highrate
374,755,167,167,100,highrate
60,0,132,132,36,highrate
374,755,242,242,100,highrate
374,755,137,137,100,highrate
242,140,175,175,100,highrate
374,755,129,129,100,highrate
377,755,555,395,100,highrate
380,755,756,756,100,highrate
386,821,370,370,100,highrate
60,0,136,174,33,highrate
392,821,749,749,100,highrate
374,755,84,84,84,highrate
377,755,786,626,99,highrate
66,0,62,62,42,highrate
374,755,21,21,98,highrate
60,0,19,19,19,highrate
374,755,214,214,100,highrate
374,755,247,247,100,highrate
446,755,804,804,100,highrate
374,755,159,159,100,highrate
66,0,46,46,39,highrate
60,0,122,122,33,highrate
380,755,135,135,100,highrate
374,755,152,152,100,highrate
377,755,305,145,68,highrate
60,0,180,180,33,highrate
374,755,164,164,100,highrate
464,1370,121,121,100,highrate
374,755,115,115,100,highrate
66,0,275,275,99,highrate
66,0,274,274,99,highrate
446,755,539,539,100,highrate
374,755,161,161,100,highrate
374,755,134,134,100,highrate
60,0,174,174,33,highrate
446,755,529,529,100,highrate
377,755,843,683,99,highrate
446,755,510,510,100,highrate
374,755,133,133,100,highrate
386,821,201,201,100,highrate
377,755,395,235,97,highrate
374,755,373,373,100,highrate
386,821,123,123,100,highrate
66,0,111,111,100,highrate
374,755,174,174,100,highrate
446,755,542,542,100,highrate
374,755,119,119,100,highrate
377,755,913,753,100,highrate
66,0,110,58,58,highrate
60,0,180,180,33,highrate
60,0,171,171,33,highrate
374,755,150,150,100,highrate
374,755,133,133,100,highrate
60,0,110,110,33,highrate
377,755,989,829,100,highrate
446,755,708,708,100,highrate
446,755,630,630,100,highrate
374,755,106,106,100,highrate
446,755,416,416,100,highrate
374,755,118,118,100,highrate
377,755,568,408,100,highrate
374,755,233,233,100,highrate
374,755,142,142,100,highrate
380,755,728,728,100,highrate
60,0,180,180,33,highrate
374,755,58,58,98,highrate
66,0,118,65,46,highrate
66,0,56,56,46,highrate
446,755,624,624,100,highrate
60,0,137,175,33,highrate
374,755,160,160,100,highrate
374,755,67,67,67,highrate
60,0,110,110,40,highrate
60,0,170,170,33,highrate
60,0,94,94,42,highrate
242,140,171,171,100,highrate
374,755,33,33,33,highrate
60,0,179,179,33,highrate
374,755,139,139,100,highrate
446,755,545,545,100,highrate
245,140,1044,885,100,highrate
446,755,457,457,100,highrate
60,0,117,117,33,highrate
374,755,154,154,100,highrate
66,0,135,80,50,highrate
