% isAttack HIGH_RATE:	1705
% isAttack LOW_RATE:	2000
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,8,21,27'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
0,OTH,78,8297,0.03,HIGH_RATE
0,OTH,78,12277,0.03,HIGH_RATE
0,OTH,78,8129,0.01,HIGH_RATE
0,OTH,78,20424,0.02,HIGH_RATE
0,OTH,78,10602,0.02,HIGH_RATE
0,OTH,78,22482,0.05,HIGH_RATE
0,OTH,78,23547,0,HIGH_RATE
0,OTH,78,7145,0,HIGH_RATE
0,OTH,78,10908,0.01,HIGH_RATE
0,OTH,78,7560,0.05,HIGH_RATE
0,OTH,78,5571,0.01,HIGH_RATE
0,OTH,78,6333,0.03,HIGH_RATE
0,OTH,78,16614,0.04,HIGH_RATE
0,OTH,78,22645,0.01,HIGH_RATE
0,OTH,78,317,0.03,HIGH_RATE
0,OTH,78,5457,0.01,HIGH_RATE
0,OTH,78,20717,0.05,HIGH_RATE
0,OTH,78,10387,0,HIGH_RATE
0,OTH,78,1851,0.01,HIGH_RATE
0,OTH,78,9889,0.01,HIGH_RATE
0,OTH,78,4518,0.01,HIGH_RATE
0,OTH,78,15195,0.01,HIGH_RATE
0,OTH,78,6776,0.04,HIGH_RATE
0,OTH,78,21826,0,HIGH_RATE
0,OTH,78,4590,0.08,HIGH_RATE
0,OTH,78,7977,0.01,HIGH_RATE
0,OTH,78,12097,0.01,HIGH_RATE
0,OTH,78,24058,0.03,HIGH_RATE
0,OTH,78,20170,0.03,HIGH_RATE
0,OTH,78,9890,0.03,HIGH_RATE
0,OTH,78,23812,0.02,HIGH_RATE
0,OTH,78,13,0,HIGH_RATE
0,OTH,78,20387,0.02,HIGH_RATE
0,OTH,78,15235,0.01,HIGH_RATE
0,OTH,78,12898,0.01,HIGH_RATE
0,OTH,78,8340,0.01,HIGH_RATE
0,OTH,78,27017,0.01,HIGH_RATE
0,OTH,78,11800,0.04,HIGH_RATE
0,OTH,78,2718,0.04,HIGH_RATE
0,OTH,78,11521,0.01,HIGH_RATE
0,OTH,78,8192,0.01,HIGH_RATE
0,OTH,78,6468,0.01,HIGH_RATE
0,OTH,78,4590,0,HIGH_RATE
0,OTH,78,20462,0.01,HIGH_RATE
0,OTH,78,8185,0.08,HIGH_RATE
0,OTH,78,22336,0.03,HIGH_RATE
0,OTH,78,16674,0.04,HIGH_RATE
0,OTH,78,8553,0.01,HIGH_RATE
0,OTH,78,11799,0.05,HIGH_RATE
0,OTH,78,12166,0.06,HIGH_RATE
0,OTH,78,9427,0.04,HIGH_RATE
0,OTH,78,20947,0,HIGH_RATE
0,OTH,78,26959,0.01,HIGH_RATE
0,OTH,78,14118,0,HIGH_RATE
0,OTH,78,11519,0.01,HIGH_RATE
