@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,attack}

@data
OTH,66,3387,51,normal
OTH,66,2674,46,normal
SF,946,3725,59,normal
OTH,66,2210,47,normal
OTH,78,5828,43,normal
SF,946,2403,98,normal
OTH,66,5816,45,normal
OTH,146,3068,61,normal
SF,946,2865,100,normal
SF,880,2129,100,normal
OTH,66,5230,61,normal
OTH,66,3101,44,normal
OTH,66,2609,44,normal
SF,958,3206,55,normal
SF,1024,2696,92,normal
SF,946,2060,100,normal
SF,946,2892,100,normal
OTH,66,2702,51,normal
SF,880,1904,99,normal
OTH,78,2488,54,normal
SF,946,1425,100,normal
OTH,66,2033,47,normal
SF,1120,2122,100,normal
OTH,66,2856,52,normal
SF,1024,3214,54,normal
SF,946,2235,100,normal
OTH,66,4308,49,normal
OTH,66,3243,47,normal
SF,946,3725,65,normal
OTH,66,3045,72,normal
OTH,66,3351,55,normal
SF,946,1303,100,normal
OTH,66,2590,67,normal
SF,946,2215,100,normal
OTH,66,6288,48,normal
SF,946,2640,100,normal
OTH,66,3841,40,normal
RSTR,880,3016,100,normal
OTH,66,3635,38,normal
OTH,66,3364,51,normal
OTH,66,5029,45,normal
OTH,66,3103,84,normal
SF,946,2157,100,normal
SF,1120,2629,100,normal
OTH,66,4425,47,normal
OTH,66,2208,46,normal
SF,946,768,100,normal
S2,352,2509,100,normal
OTH,66,3123,47,normal
SF,1120,2143,86,normal
SF,946,3269,100,normal
OTH,66,5800,42,normal
SF,946,3075,69,normal
SF,946,3082,100,normal
SF,880,3845,100,normal
OTH,66,2891,50,normal
OTH,66,2772,50,normal
OTH,66,5021,45,normal
OTH,66,2289,65,normal
OTH,66,2781,50,normal
OTH,66,3121,46,normal
