% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,12,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute rerror_rate numeric
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,29,attack
tcp,OTH,0,100,attack
tcp,OTH,0,99,attack
udp,OTH,0,41,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,100,attack
udp,OTH,0,33,attack
tcp,OTH,0,92,attack
tcp,S3,0,98,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,31,attack
udp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,OTH,0,23,attack
tcp,S3,0,100,attack
tcp,OTH,0,31,attack
tcp,S3,0,100,attack
tcp,S1,0,100,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,OTH,0,31,attack
tcp,OTH,0,49,attack
udp,OTH,0,27,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,13,attack
tcp,S1,0,100,attack
tcp,S3,0,100,attack
udp,OTH,0,33,attack
tcp,S1,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,5,attack
tcp,S3,0,83,attack
tcp,OTH,0,33,attack
tcp,OTH,0,100,attack
udp,OTH,0,23,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,94,attack
tcp,S3,0,79,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,94,attack
tcp,S3,0,100,attack
tcp,S3,0,98,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,OTH,0,29,attack
tcp,S3,0,100,attack
udp,OTH,0,33,attack
udp,OTH,0,25,attack
tcp,S3,0,100,attack
tcp,OTH,0,98,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
udp,OTH,0,34,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
udp,OTH,0,42,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
udp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,88,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S1,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,98,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S1,0,100,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,OTH,0,31,attack
tcp,OTH,0,33,attack
tcp,S3,0,20,attack
tcp,S3,0,98,attack
tcp,OTH,0,98,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,21,attack
tcp,S3,0,100,attack
tcp,OTH,0,98,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,75,attack
tcp,OTH,0,98,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
udp,OTH,0,29,attack
tcp,S3,0,100,attack
udp,OTH,0,33,attack
tcp,RSTO,0,100,attack
tcp,S3,0,99,attack
tcp,S3,0,52,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,98,attack
tcp,OTH,0,58,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,OTH,0,33,attack
tcp,OTH,0,33,attack
tcp,S3,0,3,attack
tcp,S3,0,86,attack
tcp,RSTO,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,71,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
udp,OTH,0,42,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
tcp,OTH,0,33,attack
tcp,OTH,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,99,attack
tcp,S3,0,100,attack
tcp,OTH,0,99,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,65,attack
tcp,S3,0,75,attack
tcp,OTH,0,16,attack
tcp,S3,0,100,attack
udp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,70,attack
tcp,OTH,0,33,attack
tcp,S3,0,74,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,15,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,99,attack
tcp,S3,0,100,attack
