% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8,11,14-15,17-18,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,946,12461,2211,0,1,0,100,100,normal
0,tcp,946,12461,5668,0,1,0,72,72,normal
0,tcp,74,140,2677,0.38,1,0,100,100,normal
0,tcp,946,12461,467,0,1,0,100,100,normal
0,tcp,66,0,5364,0,1,0,96,96,normal
0,tcp,78,0,3393,0,1,0,99,99,normal
0,tcp,946,12461,2081,0,1,0,88,88,normal
0,tcp,946,12461,1835,0,1,0,100,100,normal
0,tcp,66,0,2985,0,1,0,71,71,normal
0,tcp,946,12461,3886,0,1,0,100,100,normal
0,tcp,66,0,2344,0,1,0,68,68,normal
0,tcp,946,12461,2150,0,1,0,100,100,normal
1,tcp,1020,12461,1444,0,1,0,100,100,normal
0,tcp,946,12461,3513,0,1,0,100,100,normal
0,tcp,66,0,2431,0,1,0,52,52,normal
0,tcp,946,12461,2109,0,1,0,100,100,normal
0,tcp,66,0,5880,0,1,0,48,48,normal
0,tcp,946,12461,2435,0,1,0,100,100,normal
0,tcp,146,0,4911,0,1,0,48,48,normal
0,tcp,1012,12461,2266,0,1,0,100,100,normal
0,tcp,982,12461,1655,0,1,0,100,100,normal
0,tcp,66,0,4961,0,1,0,54,54,normal
0,tcp,66,0,3057,0,1,0,55,55,normal
0,tcp,946,12461,3010,0,1,0,100,100,normal
0,tcp,66,0,2670,0,1,0,50,50,normal
0,tcp,66,0,4837,0,1,0,57,57,normal
0,tcp,946,12461,1749,0,1,0,100,100,normal
0,tcp,66,0,3397,0,1,0,46,46,normal
0,tcp,146,0,5154,0,1,0,51,51,normal
0,tcp,66,0,5787,0,1,0,13,13,normal
0,tcp,78,0,5743,0,1,0,65,65,normal
0,tcp,946,12461,899,0,1,0,99,99,normal
0,tcp,1024,12527,2726,0,1,0,72,72,normal
0,tcp,946,12461,1019,0,1,0,100,100,normal
0,tcp,946,12461,3346,0,1,0,93,93,normal
0,tcp,352,12406,3172,0,1,0,87,87,normal
0,tcp,946,12461,2913,0,1,0,98,98,normal
0,tcp,946,12461,3296,0,1,0,100,100,normal
0,tcp,946,12461,3533,0,1,0,100,100,normal
0,tcp,146,0,2498,0,1,0,37,37,normal
0,tcp,946,12461,2255,0,1,0,100,100,normal
0,tcp,946,12461,2205,0,1,0,100,100,normal
0,tcp,946,12461,2149,0,1,0,100,100,normal
0,tcp,946,12461,1429,0,1,0,100,100,normal
0,tcp,946,12461,2860,0,1,0,100,100,normal
0,tcp,66,0,5778,0,1,0,43,43,normal
0,tcp,66,0,4955,0,1,0,57,57,normal
0,tcp,946,12461,2243,0,1,0,100,100,normal
0,tcp,66,0,3140,0,1,0,39,39,normal
0,tcp,78,0,5813,0,1,0,50,50,normal
0,tcp,880,12395,1674,0.05,1,0,100,100,normal
0,tcp,1024,272,3832,0,1,0,54,54,normal
0,tcp,66,0,4935,0,1,0,45,45,normal
0,tcp,946,12461,3062,0,1,0,24,24,normal
0,tcp,78,0,5701,0,1,0,45,45,normal
0,tcp,946,12461,2599,0,1,0,100,100,normal
0,tcp,946,12461,2968,0,1,0,63,63,normal
0,tcp,880,12395,3348,0,1,0,93,93,normal
0,tcp,218,12387,2462,0.32,1,0,100,100,normal
0,tcp,66,0,3430,0,1,0,47,47,normal
0,tcp,66,0,3142,0,1,0,50,50,normal
0,tcp,66,0,4051,0,1,0,99,99,normal
0,tcp,78,0,5515,0,1,0,81,81,normal
0,tcp,946,12461,1939,0,1,0,100,100,normal
0,tcp,66,0,3286,0,1,0,69,69,normal
0,tcp,946,12461,3042,0,1,0,88,88,normal
0,tcp,66,0,3483,0,1,0,60,60,normal
0,tcp,66,0,3201,0,1,0,49,49,normal
0,tcp,78,0,4813,0,1,0,44,44,normal
0,tcp,146,0,2521,0,1,0,44,44,normal
0,tcp,66,0,2494,0,1,0,34,34,normal
0,tcp,946,12461,2222,0,1,0,100,100,normal
0,tcp,146,0,2618,0,1,0,41,41,normal
0,tcp,1120,12461,2613,0,1,0,100,100,normal
0,tcp,66,0,4192,0,1,0,45,45,normal
0,tcp,946,12461,2225,0,1,0,100,100,normal
0,tcp,74,132,2830,0.41,1,0,100,100,normal
0,tcp,946,12461,2515,0,1,0,94,94,normal
0,tcp,946,12461,3521,0,1,0,100,100,normal
0,tcp,946,12461,1525,0,1,0,100,100,normal
0,tcp,946,12461,2222,0,1,0,100,100,normal
0,tcp,880,12329,2201,0,1,0,100,100,normal
0,tcp,946,12461,2228,0,1,0,100,100,normal
0,tcp,66,0,2903,0,1,0,49,49,normal
0,tcp,946,12461,1899,0,1,0,100,100,normal
0,tcp,946,12461,4252,0,1,0,73,73,normal
0,tcp,946,12461,2155,0,1,0,98,98,normal
0,tcp,946,12461,3998,0,1,0,95,95,normal
