@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-5,9,14,18,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute same_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,0,116,1,33,0.97,highrate
OTH,60,0,46,1,33,0.97,highrate
S3,377,755,174,0.09,54,0,highrate
S1,248,140,208,1,100,0,highrate
S3,377,755,207,0.17,76,0,highrate
RSTO,446,755,744,1,100,0,highrate
OTH,66,0,11,1,11,0,highrate
S3,377,755,699,0.65,100,0,highrate
S3,377,755,440,0.49,100,0,highrate
S3,374,755,157,1,100,0,highrate
S3,374,755,74,1,98,0,highrate
OTH,60,0,79,1,35,0.97,highrate
S3,374,755,165,1,100,0,highrate
OTH,66,0,176,1,99,0,highrate
OTH,60,0,68,1,27,0.96,highrate
S3,374,755,169,1,100,0,highrate
S3,377,755,206,0.17,75,0,highrate
OTH,60,0,109,1,33,0.97,highrate
S3,374,755,284,1,100,0,highrate
S3,374,755,159,1,100,0,highrate
S3,374,755,98,1,100,0,highrate
S3,377,755,835,0.69,100,0,highrate
S3,374,755,180,1,100,0,highrate
S3,374,755,25,1,25,0,highrate
OTH,66,0,83,1,56,0.02,highrate
S3,374,755,119,1,100,0,highrate
OTH,60,0,177,1,33,0.97,highrate
OTH,60,0,176,1,33,0.97,highrate
S3,374,755,51,1,51,0,highrate
S3,374,755,149,1,100,0,highrate
OTH,60,0,129,1,33,0.97,highrate
S3,374,755,75,1,75,0,highrate
OTH,66,0,302,1,100,0,highrate
S3,374,755,148,1,100,0,highrate
S3,377,755,783,0.68,100,0,highrate
S3,377,755,330,0.38,100,0,highrate
S3,374,755,127,1,100,0,highrate
RSTO,446,755,391,1,100,0,highrate
S3,374,755,27,1,98,0,highrate
OTH,66,0,66,1,44,0,highrate
S3,377,755,767,0.67,100,0,highrate
OTH,60,0,135,1,25,0.96,highrate
OTH,60,0,114,1,33,0.97,highrate
OTH,78,0,17007,1,70,0.03,highrate
OTH,78,0,3663,1,65,0.02,highrate
OTH,78,0,11613,1,68,0.03,highrate
OTH,78,0,6156,1,68,0.03,highrate
OTH,78,0,5214,1,71,0.01,highrate
OTH,78,0,4320,1,69,0.01,highrate
OTH,78,0,10000,1,72,0.01,highrate
OTH,78,0,18425,1,68,0.03,highrate
OTH,78,0,20717,1,65,0,highrate
OTH,78,0,24762,1,75,0.01,highrate
RSTO,446,755,601,1,100,0,highrate
OTH,78,0,9671,1,70,0.03,highrate
OTH,78,0,9098,1,69,0.01,highrate
OTH,78,0,25246,1,75,0.04,highrate
OTH,78,0,15815,1,73,0.03,highrate
OTH,78,0,22637,1,68,0.01,highrate
OTH,78,0,9869,1,68,0,highrate
OTH,78,0,10618,1,70,0.01,highrate
OTH,306,0,4669,1,53,0,highrate
S3,374,755,134,1,100,0,highrate
OTH,78,0,20626,1,65,0.03,highrate
OTH,78,0,8132,1,69,0.07,highrate
OTH,78,0,9329,1,63,0.02,highrate
OTH,78,0,11705,1,66,0.01,highrate
OTH,78,0,6153,1,67,0.01,highrate
OTH,78,0,22734,1,74,0.01,highrate
OTH,78,0,7975,1,77,0,highrate
OTH,78,0,7838,1,75,0.07,highrate
OTH,78,0,16794,1,75,0.04,highrate
OTH,60,0,157,1,33,0.97,highrate
OTH,78,0,3296,1,68,0.03,highrate
OTH,78,0,6495,1,68,0.01,highrate
OTH,78,0,12183,1,71,0.01,highrate
OTH,78,0,23247,1,72,0.03,highrate
OTH,78,0,9986,1,68,0.01,highrate
OTH,78,0,12059,1,71,0.01,highrate
OTH,78,0,23687,1,74,0.01,highrate
OTH,78,0,27078,1,68,0,highrate
OTH,78,0,15688,1,72,0.01,highrate
OTH,60,0,118,1,36,0.97,highrate
OTH,78,0,10036,1,70,0.03,highrate
OTH,78,0,7358,1,61,0,highrate
OTH,78,0,5480,1,70,0,highrate
OTH,78,0,24465,1,64,0.03,highrate
OTH,78,0,20869,1,71,0,highrate
OTH,78,0,22892,1,69,0.01,highrate
OTH,78,0,25893,1,70,0.01,highrate
OTH,78,0,8175,1,71,0.01,highrate
OTH,78,0,11825,1,72,0.05,highrate
OTH,78,0,20785,1,64,0.03,highrate
OTH,60,0,178,1,33,0.97,highrate
OTH,78,0,9997,1,72,0.01,highrate
OTH,78,0,11047,1,74,0.03,highrate
OTH,78,0,10625,1,73,0.01,highrate
OTH,78,0,6158,1,71,0.03,highrate
OTH,60,0,142,1,33,0.97,highrate
OTH,78,0,9901,1,68,0.01,highrate
OTH,78,0,22032,1,64,0.02,highrate
OTH,78,0,19528,1,68,0,highrate
OTH,78,0,23835,1,56,0.02,highrate
OTH,78,0,6092,1,70,0.01,highrate
OTH,78,0,19539,1,71,0.01,highrate
OTH,78,0,18114,1,73,0.01,highrate
OTH,78,0,22473,1,69,0.01,highrate
OTH,60,0,96,1,35,0.17,highrate
OTH,78,0,22140,1,69,0.03,highrate
OTH,78,0,2571,1,61,0,highrate
OTH,78,0,7679,1,76,0.03,highrate
OTH,78,0,7625,1,72,0.01,highrate
OTH,78,0,8459,1,68,0.01,highrate
OTH,78,0,22393,1,67,0.03,highrate
OTH,78,0,11148,1,71,0.03,highrate
OTH,78,0,20617,1,71,0.01,highrate
OTH,78,0,16144,1,76,0.01,highrate
OTH,78,0,2217,1,72,0,highrate
OTH,78,0,6069,1,76,0.01,highrate
OTH,78,0,7335,1,71,0.01,highrate
OTH,78,0,2221,1,67,0.03,highrate
OTH,78,0,8697,1,72,0.07,highrate
OTH,60,0,179,1,33,0.97,highrate
OTH,78,0,9904,1,71,0.01,highrate
OTH,78,0,23493,1,69,0.01,highrate
OTH,78,0,15105,1,75,0.01,highrate
OTH,78,0,6574,1,68,0,highrate
OTH,78,0,17068,1,73,0.03,highrate
OTH,78,0,1923,1,71,0.01,highrate
OTH,78,0,17787,1,70,0.01,highrate
OTH,78,0,6671,1,66,0.03,highrate
OTH,78,0,9357,1,65,0.05,highrate
OTH,78,0,20333,1,75,0.03,highrate
OTH,78,0,10946,1,68,0.01,highrate
OTH,78,0,8615,1,71,0.03,highrate
OTH,78,0,7598,1,66,0.01,highrate
OTH,78,0,26346,1,72,0,highrate
OTH,78,0,8034,1,71,0.06,highrate
OTH,78,0,12887,1,80,0.02,highrate
OTH,78,0,15107,1,76,0.03,highrate
OTH,78,0,20406,1,68,0.03,highrate
OTH,78,0,7465,1,75,0.01,highrate
OTH,78,0,7172,1,68,0.01,highrate
OTH,78,0,20389,1,67,0.01,highrate
OTH,78,0,10183,1,68,0.01,highrate
OTH,78,0,7715,1,64,0.03,highrate
OTH,78,0,7917,1,80,0.02,highrate
OTH,78,0,23486,1,68,0.03,highrate
OTH,78,0,7589,1,68,0.01,highrate
OTH,78,0,6531,1,72,0.03,highrate
OTH,78,0,14777,1,81,0.04,highrate
OTH,78,0,23563,1,68,0.01,highrate
OTH,60,0,116,1,32,0.97,highrate
OTH,78,0,4537,1,74,0.05,highrate
OTH,78,0,3676,1,67,0.01,highrate
OTH,78,0,8609,1,68,0.03,highrate
OTH,60,0,145,1,31,0.97,highrate
OTH,78,0,10540,1,69,0.03,highrate
OTH,60,0,28,1,25,0.96,highrate
OTH,78,0,912,1,64,0.02,highrate
OTH,78,0,889,1,64,0.02,highrate
OTH,78,0,15185,1,71,0.01,highrate
OTH,78,0,20716,1,69,0.03,highrate
OTH,78,0,10228,1,72,0.01,highrate
OTH,78,0,6478,1,74,0.01,highrate
OTH,78,0,22171,1,67,0.03,highrate
OTH,78,0,8721,1,75,0.03,highrate
OTH,78,0,12553,1,69,0.03,highrate
OTH,78,0,6898,1,67,0.01,highrate
OTH,78,0,8330,1,68,0.03,highrate
OTH,78,0,4084,1,60,0.02,highrate
