@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-V-R4,12,29,40'

@attribute total_bvolume numeric
@attribute std_bpktl numeric
@attribute std_idle numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
699,240,2495200,HIGH_RATE
699,240,0,HIGH_RATE
699,240,356345,HIGH_RATE
699,240,0,HIGH_RATE
699,240,358616,HIGH_RATE
699,240,268376,HIGH_RATE
699,240,1062973,HIGH_RATE
699,240,3915050,HIGH_RATE
699,240,8160980,HIGH_RATE
699,240,5311173,HIGH_RATE
699,240,3908346,HIGH_RATE
699,240,8249547,HIGH_RATE
699,240,6779750,HIGH_RATE
699,240,0,HIGH_RATE
699,240,1086560,HIGH_RATE
699,240,2476663,HIGH_RATE
699,240,5307614,HIGH_RATE
699,240,0,HIGH_RATE
699,240,0,HIGH_RATE
699,240,5318528,HIGH_RATE
699,240,0,HIGH_RATE
699,240,8711424,HIGH_RATE
699,240,8164985,HIGH_RATE
699,240,2491559,HIGH_RATE
699,240,3889125,HIGH_RATE
699,240,6740485,HIGH_RATE
699,240,0,HIGH_RATE
699,240,6762084,HIGH_RATE
699,240,0,HIGH_RATE
699,240,1052403,HIGH_RATE
699,240,0,HIGH_RATE
699,240,345211,HIGH_RATE
699,240,3905422,HIGH_RATE
699,240,8161809,HIGH_RATE
699,240,355055,HIGH_RATE
699,240,0,HIGH_RATE
699,240,8167438,HIGH_RATE
699,240,0,HIGH_RATE
699,240,0,HIGH_RATE
699,240,1048002,HIGH_RATE
699,240,0,HIGH_RATE
699,240,1065528,HIGH_RATE
699,240,5315833,HIGH_RATE
699,240,0,HIGH_RATE
699,240,5370507,HIGH_RATE
699,240,0,HIGH_RATE
699,240,2509871,HIGH_RATE
699,240,0,HIGH_RATE
699,240,2567467,HIGH_RATE
699,240,0,HIGH_RATE
699,240,5312443,HIGH_RATE
699,240,0,HIGH_RATE
699,240,0,HIGH_RATE
699,240,6748974,HIGH_RATE
699,240,0,HIGH_RATE
699,240,3913687,HIGH_RATE
699,240,364630,HIGH_RATE
699,240,8168052,HIGH_RATE
699,240,347509,HIGH_RATE
699,240,3927157,HIGH_RATE
699,240,2544880,HIGH_RATE
699,240,0,HIGH_RATE
699,240,352011,HIGH_RATE
699,240,361747,HIGH_RATE
699,240,0,HIGH_RATE
699,240,0,HIGH_RATE
699,240,6826378,HIGH_RATE
11896,2177,0,LOW_RATE
11896,2177,0,LOW_RATE
806,197,4621493,LOW_RATE
806,197,4614217,LOW_RATE
806,197,4621131,LOW_RATE
806,197,4620763,LOW_RATE
806,197,4618805,LOW_RATE
806,197,4618442,LOW_RATE
806,197,4618235,LOW_RATE
806,197,4617838,LOW_RATE
806,197,4617288,LOW_RATE
806,197,4616928,LOW_RATE
806,197,4616547,LOW_RATE
806,197,4616170,LOW_RATE
806,197,4615818,LOW_RATE
806,197,4615324,LOW_RATE
806,197,4614930,LOW_RATE
806,197,4614588,LOW_RATE
806,197,4613821,LOW_RATE
806,197,4613513,LOW_RATE
806,197,4612951,LOW_RATE
806,197,4612579,LOW_RATE
806,197,4612219,LOW_RATE
806,197,4611929,LOW_RATE
806,197,4611502,LOW_RATE
806,197,4611045,LOW_RATE
806,197,4610652,LOW_RATE
806,197,4610287,LOW_RATE
806,197,4609939,LOW_RATE
806,197,4609573,LOW_RATE
806,197,4609086,LOW_RATE
806,197,4608727,LOW_RATE
806,197,4608370,LOW_RATE
806,197,4608026,LOW_RATE
806,197,4607139,LOW_RATE
806,197,4606782,LOW_RATE
806,197,4606445,LOW_RATE
806,197,4606084,LOW_RATE
806,197,4605718,LOW_RATE
806,197,4605229,LOW_RATE
806,197,4604866,LOW_RATE
806,197,4604508,LOW_RATE
806,197,4604165,LOW_RATE
806,197,4603801,LOW_RATE
806,197,4602963,LOW_RATE
806,197,4602609,LOW_RATE
806,197,4602241,LOW_RATE
806,197,4601689,LOW_RATE
806,197,4601273,LOW_RATE
806,197,4600913,LOW_RATE
806,197,4600565,LOW_RATE
806,197,4600209,LOW_RATE
806,197,4599858,LOW_RATE
806,197,4599415,LOW_RATE
806,197,4599059,LOW_RATE
806,197,4597851,LOW_RATE
806,197,4597509,LOW_RATE
806,197,4597035,LOW_RATE
806,197,4596731,LOW_RATE
806,197,4596383,LOW_RATE
806,197,4596036,LOW_RATE
806,197,4595708,LOW_RATE
806,197,4595356,LOW_RATE
806,197,4594793,LOW_RATE
806,197,4594438,LOW_RATE
806,197,4594056,LOW_RATE
806,197,4593267,LOW_RATE
806,197,4592909,LOW_RATE
806,197,4592559,LOW_RATE
806,197,4592215,LOW_RATE
806,197,4591696,LOW_RATE
806,197,4591335,LOW_RATE
806,197,4590999,LOW_RATE
806,197,4590656,LOW_RATE
806,197,4590229,LOW_RATE
806,197,4589886,LOW_RATE
806,197,4589549,LOW_RATE
806,197,4589207,LOW_RATE
806,197,4607508,LOW_RATE
806,197,4619193,LOW_RATE
806,197,4593618,LOW_RATE
806,197,4603306,LOW_RATE
806,197,4622151,LOW_RATE
806,197,4619683,LOW_RATE
806,197,4598210,LOW_RATE
806,197,4622427,LOW_RATE
858,183,4620062,LOW_RATE
858,183,4620415,LOW_RATE
858,183,4598723,LOW_RATE
858,183,4621873,LOW_RATE
858,183,4588728,LOW_RATE
858,183,4588029,LOW_RATE
858,183,4588374,LOW_RATE
858,183,4587684,LOW_RATE
858,183,4586476,LOW_RATE
858,183,4587167,LOW_RATE
858,183,4586800,LOW_RATE
858,183,4585444,LOW_RATE
858,183,4586131,LOW_RATE
858,183,4585788,LOW_RATE
858,183,4584945,LOW_RATE
858,183,4584595,LOW_RATE
858,183,4583439,LOW_RATE
806,197,4584273,LOW_RATE
858,183,4583100,LOW_RATE
858,183,4582764,LOW_RATE
858,183,4582264,LOW_RATE
858,183,4583931,LOW_RATE
858,183,4581082,LOW_RATE
858,183,4581574,LOW_RATE
858,183,4580741,LOW_RATE
858,183,4581924,LOW_RATE
858,183,4580429,LOW_RATE
806,197,4579248,LOW_RATE
910,171,4580068,LOW_RATE
910,171,4578930,LOW_RATE
910,171,4579584,LOW_RATE
858,183,4540839,LOW_RATE
858,183,4540625,LOW_RATE
858,183,4540138,LOW_RATE
858,183,4516584,LOW_RATE
858,183,4540430,LOW_RATE
858,183,4516448,LOW_RATE
858,183,4539877,LOW_RATE
858,183,4539578,LOW_RATE
858,183,4448124,LOW_RATE
858,183,4447994,LOW_RATE
858,183,4373798,LOW_RATE
858,183,4373450,LOW_RATE
858,183,4447847,LOW_RATE
858,183,4373339,LOW_RATE
858,183,4774366,LOW_RATE
910,171,4447578,LOW_RATE
858,183,4775476,LOW_RATE
858,183,4776642,LOW_RATE
858,183,4373258,LOW_RATE
910,171,4825795,LOW_RATE
910,171,4826194,LOW_RATE
910,171,4826879,LOW_RATE
858,183,4372726,LOW_RATE
910,171,4447387,LOW_RATE
858,183,4514981,LOW_RATE
858,183,4515620,LOW_RATE
858,183,4372606,LOW_RATE
858,183,4372070,LOW_RATE
910,171,4447304,LOW_RATE
910,171,4446939,LOW_RATE
858,183,4371717,LOW_RATE
11948,1545,0,LOW_RATE
11896,2177,0,LOW_RATE
855,182,4574140,LOW_RATE
855,182,4573688,LOW_RATE
855,182,4572511,LOW_RATE
855,182,4571897,LOW_RATE
855,182,4571320,LOW_RATE
855,182,4570490,LOW_RATE
855,182,4569575,LOW_RATE
855,182,4569345,LOW_RATE
855,182,4568758,LOW_RATE
855,182,4568354,LOW_RATE
855,182,4567766,LOW_RATE
855,182,4567170,LOW_RATE
855,182,4566575,LOW_RATE
855,182,4566103,LOW_RATE
855,182,4565408,LOW_RATE
855,182,4564952,LOW_RATE
855,182,4564321,LOW_RATE
803,196,4563771,LOW_RATE
855,182,4563079,LOW_RATE
855,182,4562380,LOW_RATE
855,182,4561884,LOW_RATE
855,182,4561329,LOW_RATE
855,182,4560777,LOW_RATE
