% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,8,17,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,OTH,60,0,174,31,0.86,0.11,NORMAL
tcp,OTH,60,0,144,30,0.86,0.12,NORMAL
tcp,OTH,60,0,106,12,0.92,0,NORMAL
tcp,SF,272,140,2,7,0,0.86,NORMAL
tcp,OTH,60,0,21,21,0.41,0.58,NORMAL
tcp,OTH,60,0,21,37,0.95,0.03,NORMAL
tcp,OTH,74,0,239,25,0.57,0.42,NORMAL
tcp,OTH,60,0,35,35,0.61,0.38,NORMAL
tcp,OTH,155,0,24,24,0.51,0.48,NORMAL
tcp,SF,852,1243,1,2,0,0.94,NORMAL
tcp,OTH,171,0,0,0,0,1,NORMAL
tcp,OTH,66,0,57,36,0.95,0.03,NORMAL
tcp,OTH,60,0,323,34,0.97,0,NORMAL
tcp,OTH,170,0,0,18,0.35,0.65,NORMAL
tcp,OTH,60,0,230,33,0.97,0,NORMAL
tcp,OTH,60,0,5,7,0.12,0.88,NORMAL
tcp,OTH,60,0,167,33,0.97,0,NORMAL
tcp,OTH,60,0,92,20,0.91,0.05,NORMAL
tcp,OTH,112,0,2,2,0.04,0.96,NORMAL
tcp,OTH,66,0,95,39,0.95,0.03,NORMAL
tcp,OTH,60,0,61,38,0.97,0,NORMAL
tcp,OTH,66,0,10,10,0.33,0.66,NORMAL
tcp,OTH,60,0,12,20,0.41,0.58,NORMAL
tcp,OTH,60,0,160,33,0.92,0.06,NORMAL
tcp,OTH,60,0,58,34,0.71,0.28,NORMAL
tcp,OTH,60,0,48,32,0.97,0,NORMAL
tcp,S1,1956,6878,0,0,0,1,NORMAL
tcp,SF,2297,7807,0,1,0,0.98,NORMAL
tcp,OTH,170,0,15,0,0,1,NORMAL
tcp,OTH,224,0,1,11,0.12,0.8,NORMAL
tcp,OTH,66,0,1,1,0.02,0.98,NORMAL
tcp,OTH,60,0,61,37,0.84,0.14,NORMAL
tcp,OTH,66,0,183,33,0.85,0.13,NORMAL
tcp,SF,4794,4364,0,0,0,1,NORMAL
tcp,OTH,60,0,129,33,0.94,0.03,NORMAL
tcp,OTH,66,0,14,14,0.3,0.7,NORMAL
tcp,OTH,60,0,15,19,0.4,0.6,NORMAL
tcp,OTH,60,0,39,38,0.95,0.03,NORMAL
tcp,OTH,60,0,50,40,0.98,0,NORMAL
tcp,OTH,60,0,218,28,0.97,0,NORMAL
tcp,OTH,60,0,1,1,0.02,0.98,NORMAL
tcp,OTH,60,0,4,6,0.12,0.88,NORMAL
tcp,OTH,60,0,237,21,0.5,0.49,NORMAL
tcp,OTH,74,0,212,37,0.97,0,NORMAL
tcp,OTH,66,0,5,5,0.83,0,NORMAL
tcp,OTH,549,0,2,7,0,0.87,NORMAL
tcp,OTH,60,0,36,36,0.8,0.18,NORMAL
tcp,OTH,60,0,87,16,0.89,0.06,NORMAL
tcp,SF,2736,8503,0,0,0,1,NORMAL
tcp,OTH,60,0,99,37,0.97,0,NORMAL
tcp,OTH,60,0,88,33,0.94,0.03,NORMAL
tcp,OTH,60,0,244,33,0.97,0,NORMAL
tcp,OTH,60,0,91,34,0.94,0.03,NORMAL
tcp,OTH,60,0,57,38,0.97,0,NORMAL
tcp,OTH,112,0,8,38,0.72,0.27,NORMAL
tcp,OTH,66,0,3,6,0.12,0.88,NORMAL
tcp,OTH,60,0,62,34,0.97,0,NORMAL
tcp,OTH,996,0,0,0,0,1,NORMAL
tcp,OTH,66,0,15,15,0.36,0.63,NORMAL
tcp,OTH,60,0,25,25,0.54,0.44,NORMAL
tcp,OTH,60,0,123,37,0.97,0,NORMAL
tcp,OTH,100,0,0,0,0,1,NORMAL
tcp,OTH,138,0,29,29,0.62,0.37,NORMAL
tcp,OTH,66,0,1,1,0.02,0.98,NORMAL
tcp,OTH,66,0,0,1,0.02,0.98,NORMAL
tcp,OTH,60,0,55,34,0.71,0.28,NORMAL
tcp,OTH,60,0,107,28,0.97,0,NORMAL
tcp,SF,2193,7245,0,0,0,1,NORMAL
tcp,OTH,60,0,69,40,0.98,0,NORMAL
tcp,OTH,66,0,7,19,0.36,0.63,NORMAL
tcp,OTH,60,0,307,32,0.97,0,NORMAL
tcp,SF,2549,4942,0,2,0,0.95,NORMAL
tcp,OTH,60,0,201,39,0.97,0,NORMAL
tcp,OTH,85,0,0,0,0,1,NORMAL
tcp,OTH,60,0,253,50,0.98,0,NORMAL
tcp,OTH,60,0,319,42,0.98,0,NORMAL
tcp,OTH,1434,0,6,32,0.6,0.38,NORMAL
tcp,OTH,66,0,1,1,0.02,0.98,NORMAL
tcp,SF,272,140,1,11,0,0.71,NORMAL
tcp,S1,14198,8461,4,4,0,0.9,NORMAL
tcp,OTH,60,0,23,23,0.48,0.51,NORMAL
tcp,S1,5510,25437,0,0,0,1,NORMAL
tcp,OTH,112,0,15,5,0.17,0.82,NORMAL
tcp,OTH,60,0,250,23,0.92,0.04,NORMAL
tcp,OTH,60,0,22,22,0.45,0.54,NORMAL
tcp,OTH,60,0,456,50,0.98,0,NORMAL
tcp,OTH,60,0,66,33,0.97,0,NORMAL
tcp,OTH,60,0,45,36,0.97,0,NORMAL
tcp,OTH,60,0,43,42,0.98,0,NORMAL
tcp,OTH,60,0,19,34,0.69,0.29,NORMAL
tcp,OTH,60,0,147,39,0.97,0,NORMAL
tcp,OTH,60,0,307,27,0.96,0,NORMAL
tcp,OTH,60,0,26,26,0.55,0.43,NORMAL
tcp,OTH,60,0,135,35,0.9,0.08,NORMAL
tcp,OTH,112,0,13,3,0.06,0.94,NORMAL
tcp,OTH,60,0,309,30,0.97,0,NORMAL
tcp,OTH,60,0,71,37,0.97,0,NORMAL
tcp,OTH,60,0,121,34,0.94,0.03,NORMAL
tcp,OTH,60,0,49,14,0.74,0.22,NORMAL
tcp,S1,4289,10368,0,0,0,1,NORMAL
tcp,OTH,60,0,64,24,0.56,0.43,NORMAL
tcp,OTH,60,0,284,39,0.97,0,NORMAL
tcp,OTH,60,0,241,49,0.98,0,NORMAL
tcp,OTH,60,0,327,50,0.98,0,NORMAL
tcp,OTH,199,0,27,9,0.19,0.8,NORMAL
tcp,SF,272,140,1,8,0,0,NORMAL
tcp,OTH,155,0,49,36,0.97,0,NORMAL
tcp,OTH,60,0,309,41,0.93,0.05,NORMAL
tcp,OTH,66,0,255,34,0.97,0,NORMAL
tcp,OTH,60,0,162,35,0.97,0,NORMAL
tcp,SF,1334,4409,10,13,0,0.58,NORMAL
tcp,SF,2168,2548,1,4,0,0.92,NORMAL
tcp,OTH,60,0,75,33,0.97,0,NORMAL
tcp,OTH,60,0,32,32,0.7,0.29,NORMAL
tcp,OTH,66,0,2,10,0.22,0.77,NORMAL
tcp,OTH,60,0,163,36,0.92,0.05,NORMAL
tcp,OTH,60,0,113,27,0.93,0.04,NORMAL
